The Offbeat Of Avenues,The Manhattan Transfer,1991,https://www.discogs.com/master/335207,Jazz,Smooth Jazz|Swing
Secret Story,Pat Metheny,1992,https://www.discogs.com/master/53902,Jazz,Contemporary Jazz|Post Bop
The Road To You (Recorded Live In Europe),Pat Metheny Group,1993,https://www.discogs.com/master/378990,Jazz,Contemporary Jazz
Out Of The Loop,The Brecker Brothers,1994,https://www.discogs.com/master/170153,Jazz,Fusion|Jazz-Rock
High Life,Wayne Shorter,1995,https://www.discogs.com/master/648354,Jazz,Fusion|Jazz-Funk
We Live Here,Pat Metheny Group,1995,https://www.discogs.com/master/169774,Jazz,Contemporary Jazz|Fusion
Into The Sun,Randy Brecker,1996,https://www.discogs.com/master/906849,Jazz,
Imaginary Day,Pat Metheny Group,1997,https://www.discogs.com/master/240843,Jazz,Contemporary Jazz
Inside,David Sanborn,1999,https://www.discogs.com/master/622501,Jazz,Contemporary Jazz
Outbound,Béla Fleck & The Flecktones,2000,https://www.discogs.com/master/143415,Jazz|Rock,Contemporary Jazz|Jazz-Rock
M²,Marcus Miller,2001,https://www.discogs.com/master/62253,Funk / Soul|Jazz,Smooth Jazz|Soul-Jazz
Speaking Of Now,Pat Metheny Group,2002,https://www.discogs.com/master/381286,Jazz,Fusion
34th N Lex,Randy Brecker,2003,https://www.discogs.com/master/1320290,Jazz,Contemporary Jazz|Cool Jazz|Fusion|Jazz-Rock
Unspeakable,Bill Frisell,2004,https://www.discogs.com/master/1316067,Electronic|Jazz,Contemporary Jazz|Downtempo|Fusion
The Way Up,Pat Metheny Group,2005,https://www.discogs.com/master/366834,Jazz,Fusion
The Hidden Land,Béla Fleck & The Flecktones,2006,https://www.discogs.com/master/438721,Jazz|Rock,Contemporary Jazz
River: The Joni Letters,Herbie Hancock,2007,https://www.discogs.com/master/163820,Funk / Soul|Jazz,Contemporary Jazz|Instrumental|Soul-Jazz
75th,"Joe Zawinul, The Zawinul Syndicate",2008,https://www.discogs.com/master/373895,Jazz,Fusion|Jazz-Rock
Randy In Brasil,Randy Brecker,2008,https://www.discogs.com/master/903135,Jazz|Latin|Pop|Rock,Fusion|MPB
The Stanley Clarke Band,The Stanley Clarke Band,2010,https://www.discogs.com/master/650622,Jazz,Fusion
