Fitzgerald & Pass...Again,"Ella Fitzgerald, Joe Pass",1976,https://www.discogs.com/master/243845,Jazz,
All Fly Home,Al Jarreau,1978,https://www.discogs.com/master/38041,Funk / Soul|Jazz|Pop,Vocal
Fine And Mellow,Ella Fitzgerald,1979,https://www.discogs.com/master/260701,Jazz,
Nothing But The Blues,"Joe Williams, Red Holloway & His Blues All-Stars",1984,https://www.discogs.com/master/498805,Blues,
He Is Christmas,Take 6,1991,https://www.discogs.com/master/187035,Funk / Soul,Gospel
Play,"Bobby McFerrin, Chick Corea",1992,https://www.discogs.com/master/68383,Jazz,Bop|Free Improvisation
Take A Look,Natalie Cole,1993,https://www.discogs.com/master/229022,Funk / Soul|Pop,Ballad|Soul
Mystery Lady: Songs Of Billie Holiday,Etta James,1994,https://www.discogs.com/master/451633,Blues|Funk / Soul|Jazz|Pop,Contemporary Jazz|Cool Jazz|Electric Blues|Rhythm & Blues|Smooth Jazz|Soul|Soul-Jazz
An Evening With,Lena Horne,1995,https://www.discogs.com/master/1117446,Jazz|Pop,Vocal
New Moon Daughter,Cassandra Wilson,1995,https://www.discogs.com/master/40912,Jazz,Contemporary Jazz|Vocal
Dear Ella,Dee Dee Bridgewater,1997,https://www.discogs.com/master/553392,Jazz,Hard Bop|Soul-Jazz
I Remember Miles,Shirley Horn,1998,https://www.discogs.com/master/410364,Jazz,Vocal
When I Look In Your Eyes,Diana Krall,1999,https://www.discogs.com/master/139447,Jazz,Contemporary Jazz
In The Moment / Live In Concert,Dianne Reeves,2000,https://www.discogs.com/master/1146186,Jazz,Cool Jazz|Post Bop|Vocal
The Calling (Celebrating Sarah Vaughan),Dianne Reeves,2001,https://www.discogs.com/master/650803,Jazz,Cool Jazz|Post Bop|Swing|Vocal
Live In Paris,Diana Krall,2002,https://www.discogs.com/master/139444,Jazz,Contemporary Jazz|Smooth Jazz
A Little Moonlight,Dianne Reeves,2003,https://www.discogs.com/master/768765,Jazz,Smooth Jazz
"R.S.V.P. (Rare Songs, Very Personal)",Nancy Wilson,2004,https://www.discogs.com/master/973302,Blues|Jazz|Pop,Ballad|Bossa Nova|Easy Listening|Vocal
"Good Night, And Good Luck. (Music From And Inspired By The Motion Picture)",Dianne Reeves,2005,https://www.discogs.com/master/888858,Jazz|Stage & Screen,Cool Jazz|Post Bop|Soundtrack|Vocal
Turned To Blue,Nancy Wilson,2006,https://www.discogs.com/release/4001170,Funk / Soul|Jazz,Easy Listening|Soul-Jazz|Swing|Vocal
Avant Gershwin,Patti Austin,2007,https://www.discogs.com/master/1098731,Jazz|Pop,Big Band|Contemporary Jazz|Vocal
Loverly,Cassandra Wilson,2008,https://www.discogs.com/master/40941,Jazz,Contemporary Jazz
Dedicated To You,Kurt Elling,2009,https://www.discogs.com/master/1123092,Jazz,
Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee Bridgewater,Dee Dee Bridgewater,2010,https://www.discogs.com/master/698468,Jazz,Bop|Contemporary Jazz
The Mosaic Project,Terri Lyne Carrington,2011,https://www.discogs.com/master/679566,Funk / Soul|Jazz,Contemporary Jazz|Soul-Jazz
Radio Music Society,Esperanza Spalding,2012,https://www.discogs.com/master/429411,Funk / Soul|Jazz,Contemporary Jazz|Soul
Beautiful Life,Dianne Reeves,2013,https://www.discogs.com/master/748239,Funk / Soul|Jazz,
Liquid Spirit,Gregory Porter,2013,https://www.discogs.com/master/592975,Jazz,Soul-Jazz
For One To Love,Cécile McLorin Salvant,2015,https://www.discogs.com/master/901817,Jazz,Contemporary Jazz
Take Me To The Alley,Gregory Porter,2016,https://www.discogs.com/master/996786,Funk / Soul|Jazz,Contemporary Jazz|Soul
Dreams And Daggers,Cécile McLorin Salvant,2017,https://www.discogs.com/master/1249219,Jazz,Contemporary Jazz
12 Little Spells,Esperanza Spalding,2018,https://www.discogs.com/master/1545831,Funk / Soul|Jazz,
The Window,Cécile McLorin Salvant,2018,https://www.discogs.com/master/1438563,Jazz,
