Fabulosos Calavera,Los Fabulosos Cadillacs,1997,https://www.discogs.com/master/530193,Latin|Reggae|Rock,
Sueños Líquidos,Maná,1997,https://www.discogs.com/master/379163,Latin|Rock,Arena Rock|Pop Rock
Resurrection,Chris Perez Band,1999,https://www.discogs.com/master/1579795,Latin|Rock,
Uno,La Ley,2000,https://www.discogs.com/master/300379,Electronic|Latin|Pop|Rock,Pop Rock
Embrace The Chaos,Ozomatli,2001,https://www.discogs.com/master/51548,Electronic|Hip Hop,Hip Hop|Latin
Revolución De Amor,Maná,2002,https://www.discogs.com/master/161779,Latin|Rock,Pop Rock
Cuatro Caminos,Cafe Tacuba,2003,https://www.discogs.com/master/378027,Latin|Rock,
Street Signs,Ozomatli,2004,https://www.discogs.com/master/51552,"Folk, World, & Country|Hip Hop|Latin",
Fijación Oral (Vol. 1),Shakira,2005,https://www.discogs.com/master/47309,Latin|Pop|Rock,Latin|Pop Rock
Amar Es Combatir,Maná,2006,https://www.discogs.com/master/384088,Latin|Rock,
No Hay Espacio,Black Guayaba,2007,,Latin,
45,Jaguares,2008,https://www.discogs.com/master/1596136,Latin|Rock,
Los De Atrás Vienen Conmigo,Calle 13,2008,https://www.discogs.com/master/1003837,Hip Hop|Latin,Reggaeton
El Existencial,Grupo Fantasma,2010,https://www.discogs.com/release/6625725,Latin|Rock,
Imaginaries,Quetzal,2011,https://www.discogs.com/release/8287965,Latin|Rock,
Treinta Días,La Santa Cecilia,2013,,Latin|Pop|Rock,
Multiviral,Calle 13,2014,https://www.discogs.com/master/757268,Hip Hop|Latin,
Dale,Pitbull,2015,https://www.discogs.com/master/892066,Hip Hop|Latin|Pop,Electro|Pop Rap|Reggaeton
Hasta la Raíz,Natalia Lafourcade,2015,https://www.discogs.com/master/846474,Latin|Pop,Folk
Ilevitable,Ileana Cabra Joglar,2016,https://www.discogs.com/master/1202236,Latin,Boogaloo|Mambo
Residente,Residente,2017,https://www.discogs.com/master/1417977,Latin|Pop|Rock,
Aztlán,Zoé,2018,https://www.discogs.com/master/1508056,Latin|Rock,Alternative Rock
El Mal Querer,Rosalía,2018,https://www.discogs.com/master/1447781,"Electronic|Folk, World, & Country|Latin|Pop",Flamenco
