Voodoo Lounge,The Rolling Stones,1994,https://www.discogs.com/master/54387,Rock,Classic Rock
Jagged Little Pill,Alanis Morissette,1995,https://www.discogs.com/master/31513,Rock,Acoustic|Alternative Rock|Pop Rock
Sheryl Crow,Sheryl Crow,1996,https://www.discogs.com/master/130289,Rock,Country Rock|Pop Rock
Blue Moon Swamp,John Fogerty,1997,https://www.discogs.com/master/267909,Rock,Blues Rock|Southern Rock
The Globe Sessions,Sheryl Crow,1998,https://www.discogs.com/master/130301,Rock,Alternative Rock|Country Rock
Supernatural,Santana,1999,https://www.discogs.com/master/77696,Latin|Rock,Blues Rock|Classic Rock
There Is Nothing Left To Lose,Foo Fighters,1999,https://www.discogs.com/master/62148,Rock,Alternative Rock|Hard Rock
All That You Can't Leave Behind,U2,2000,https://www.discogs.com/master/32791,Rock,Pop Rock
One By One,Foo Fighters,2002,https://www.discogs.com/master/62175,Rock,Alternative Rock|Hard Rock
The Rising,Bruce Springsteen,2002,https://www.discogs.com/master/27201,Rock,Classic Rock|Folk Rock
American Idiot,Green Day,2004,https://www.discogs.com/master/33161,Rock,Pop Punk|Pop Rock
How To Dismantle An Atomic Bomb,U2,2004,https://www.discogs.com/master/63023,Rock,Pop Rock
Stadium Arcadium,Red Hot Chili Peppers,2006,https://www.discogs.com/master/38645,Rock,Alternative Rock
"Echoes, Silence, Patience & Grace",Foo Fighters,2007,https://www.discogs.com/master/62208,Rock,Hard Rock
Viva La Vida Or Death And All His Friends,Coldplay,2008,https://www.discogs.com/master/26600,Rock,Acoustic|Alternative Rock|Art Rock|Pop Rock
21st Century Breakdown,Green Day,2009,https://www.discogs.com/master/105207,Rock,Alternative Rock|Punk
The Resistance,Muse,2009,https://www.discogs.com/master/179503,Rock,Alternative Rock|Art Rock|Prog Rock|Space Rock|Symphonic Rock
El Camino,The Black Keys,2011,https://www.discogs.com/master/390739,Rock,Alternative Rock|Blues Rock|Garage Rock|Indie Rock|Lo-Fi
Wasting Light,Foo Fighters,2011,https://www.discogs.com/master/326257,Rock,Alternative Rock
Celebration Day,Led Zeppelin,2012,https://www.discogs.com/master/493246,Rock,Classic Rock|Hard Rock
Morning Phase,Beck,2014,https://www.discogs.com/master/657658,"Folk, World, & Country|Pop|Rock",Alternative Rock|Folk
Drones,Muse,2015,https://www.discogs.com/master/842235,Rock,Alternative Rock|Indie Rock
Tell Me I'm Pretty,Cage The Elephant,2015,https://www.discogs.com/master/929357,Pop|Rock,Alternative Rock
A Deeper Understanding,The War On Drugs,2017,https://www.discogs.com/master/1227468,Rock,Alternative Rock|Indie Rock
From The Fires,Greta Van Fleet,2017,https://www.discogs.com/master/1269747,Rock,Rock & Roll
Social Cues,Cage The Elephant,2019,https://www.discogs.com/master/1534634,Rock,New Wave|Pop Rock
