"A Sunshiny Day With Charley Pride","Charley Pride","1972","AMA for Country","https://www.discogs.com/master/553934","411865","Folk, World, & Country","Country"
"Let Me Be There","Olivia Newton-John","1973","AMA for Country","https://www.discogs.com/master/156911","162670","Folk, World, & Country; Rock","Soft Rock"
"Back Home Again","John Denver","1974","AMA for Country","https://www.discogs.com/master/97867","252391","Rock","Folk Rock; Soft Rock"
"Rhinestone Cowboy","Glen Campbell","1975","AMA for Country","https://www.discogs.com/master/172884","175776","Folk, World, & Country","Country"
"New Harvest ... First Gathering","Dolly Parton","1977","AMA for Country","https://www.discogs.com/master/303569","39776","Folk, World, & Country; Rock","Country; Country Rock"
"Ten Years Of Gold","Kenny Rogers","1978","AMA for Country","https://www.discogs.com/master/157855","223131","Folk, World, & Country; Pop","Ballad; Country; Country Rock; Vocal"
"The Gambler","Kenny Rogers","1978","AMA for Country; AMA for Country","https://www.discogs.com/master/253932","223131","Rock","Country Rock"
"Greatest Hits","Kenny Rogers","1980","AMA for Country; AMA for Pop/Rock","https://www.discogs.com/master/113508","223131","Folk, World, & Country; Pop","Ballad; Country Rock"
"Always On My Mind","Willie Nelson","1982","AMA for Country; AMA for Pop/Rock","https://www.discogs.com/master/112479","249449","Folk, World, & Country; Rock","Ballad; Country"
"Eyes That See In The Dark","Kenny Rogers","1983","AMA for Country","https://www.discogs.com/master/6365","223131","Folk, World, & Country; Rock","Country; Pop Rock"
"The Closer You Get...","Alabama","1983","AMA for Country","https://www.discogs.com/master/113657","294902","Folk, World, & Country; Rock","Country Rock"
"40 Hour Week","Alabama","1985","AMA for Country","https://www.discogs.com/master/113651","294902","Folk, World, & Country","Country Rock"
"Alabama Greatest Hits","Alabama","1986","AMA for Country","https://www.discogs.com/master/113655","294902","Folk, World, & Country","Country"
"Always & Forever","Randy Travis","1987","AMA for Country; AMA for Country","https://www.discogs.com/master/148465","205019","Folk, World, & Country","Country"
"Old 8x10","Randy Travis","1988","AMA for Country","https://www.discogs.com/master/148466","205019","Folk, World, & Country","Country"
"Live","Reba McEntire","1989","AMA for Country","https://www.discogs.com/master/677372","110245","Folk, World, & Country","Country"
"No Fences","Garth Brooks","1990","AMA for Country","https://www.discogs.com/master/62387","288409","Folk, World, & Country","Country"
"For My Broken Heart","Reba McEntire","1991","AMA for Country","https://www.discogs.com/master/471419","110245","Folk, World, & Country","Country"
"A Lot About Livin' (And A Little 'Bout Love)","Alan Jackson","1992","AMA for Country","https://www.discogs.com/master/491336","405816","Folk, World, & Country; Rock","Country; Country Rock"
"Read My Mind","Reba McEntire","1994","AMA for Country","https://www.discogs.com/master/493247","110245","Blues; Folk, World, & Country; Rock","Country Rock"
"The Hits","Garth Brooks","1994","AMA for Country","https://www.discogs.com/master/127928","288409","Folk, World, & Country","Country"
"Blue Clear Sky","George Strait","1996","AMA for Country","https://www.discogs.com/master/347902","829795","Folk, World, & Country","Country"
"Carrying Your Love With Me","George Strait","1997","AMA for Country","https://www.discogs.com/master/437221","829795","Folk, World, & Country","Country"
"Sevens","Garth Brooks","1997","AMA for Country","https://www.discogs.com/master/168000","288409","Folk, World, & Country","Country"
"Double Live","Garth Brooks","1998","AMA for Country","https://www.discogs.com/master/167999","288409","Folk, World, & Country","Country"
"Breathe","Faith Hill","1999","AMA for Country; Grammy for Best Country","https://www.discogs.com/master/132466","137767","Pop","Europop; Pop Rock"
"Set This Circus Down","Tim McGraw","2001","AMA for Country","https://www.discogs.com/master/674271","313771","Folk, World, & Country","Country"
"Home","Dixie Chicks","2002","AMA for Country; Grammy for Best Country","https://www.discogs.com/master/121572","299586","Folk, World, & Country; Rock","Acoustic; Country Rock"
"Unleashed","Toby Keith","2002","AMA for Country","https://www.discogs.com/master/449001","969727","Folk, World, & Country","Country"
"Shock'n Y'all","Toby Keith","2003","AMA for Country","https://www.discogs.com/master/226859","969727","Folk, World, & Country","Country"
"Live Like You Were Dying","Tim McGraw","2004","AMA for Country","https://www.discogs.com/master/1096241","313771","Folk, World, & Country","Country"
"Some Hearts","Carrie Underwood","2005","AMA for Country","https://www.discogs.com/master/430709","1011680","Folk, World, & Country; Rock","Country; Country Rock"
"Greatest Hits Vol 2 Reflected","Tim McGraw","2006","AMA for Country","https://www.discogs.com/master/1250297","313771","Folk, World, & Country","Country"
"Carnival Ride","Carrie Underwood","2007","AMA for Country","https://www.discogs.com/master/577211","1011680","Folk, World, & Country","Country"
"Fearless","Taylor Swift","2009","AMA for Country; Grammy for Album of the Year; Grammy for Best Country","https://www.discogs.com/master/222553","1124645","Folk, World, & Country; Rock","Country Rock; Pop Rock"
"Play On","Carrie Underwood","2009","AMA for Country","https://www.discogs.com/master/869137","1011680","Folk, World, & Country","Country"
"Speak Now","Taylor Swift","2010","AMA for Country","https://www.discogs.com/master/288143","1124645","Folk, World, & Country; Pop","Country"
"Blown Away","Carrie Underwood","2012","AMA for Country","https://www.discogs.com/master/438307","1011680","Folk, World, & Country; Rock","Country; Country Rock"
"Red","Taylor Swift","2012","AMA for Country","https://www.discogs.com/master/488435","1124645","Folk, World, & Country; Pop; Rock","Country Rock; Pop Rock"
"Anything Goes","Florida Georgia Line","2014","AMA for Country","https://www.discogs.com/master/745447","3042765","Folk, World, & Country; Pop; Rock","Country; Pop Rock"
"Just As I Am","Brantley Gilbert","2014","AMA for Country","https://www.discogs.com/master/925825","2736262","Folk, World, & Country; Rock","Country Rock"
"Storyteller","Carrie Underwood","2015","AMA for Country","https://www.discogs.com/master/907733","1011680","Folk, World, & Country; Rock","Country; Country Rock; Soft Rock"
"Kane Brown","Kane Brown","2016","AMA for Country","https://www.discogs.com/master/1211102","5405126","Folk, World, & Country",""
"Ripcord","Keith Urban","2016","AMA for Country","https://www.discogs.com/master/1023225","320518","Folk, World, & Country; Pop; Rock","Country; Country Rock; Pop Rock"
"Cry Pretty","Carrie Underwood","2018","AMA for Country","https://www.discogs.com/master/1423250","1011680","Folk, World, & Country; Hip Hop","Country; RnB/Swing"
"Fully Loaded: God's Country","Blake Shelton","2019","AMA for Country","https://www.discogs.com/master/1840525","1314996","Folk, World, & Country","Country"
