"He's The DJ, I'm The Rapper","DJ Jazzy Jeff & The Fresh Prince","1988","AMA for Rap/HipHop","https://www.discogs.com/master/16611","14648","Hip Hop","",""
"Let's Get It Started","MC Hammer","1988","AMA for Rap/HipHop","https://www.discogs.com/master/96485","36621","Hip Hop","Pop Rap",""
"Please Hammer Don't Hurt 'Em","MC Hammer","1990","AMA for Rap/HipHop; AMA for Soul/R&B","https://www.discogs.com/master/96501","36621","Funk / Soul; Hip Hop; Pop","Pop Rap",""
"Homebase","DJ Jazzy Jeff & The Fresh Prince","1991","AMA for Rap/HipHop","https://www.discogs.com/master/93319","14648","Hip Hop","",""
"The Eminem Show","Eminem","2002","AMA for Pop/Rock; AMA for Rap/HipHop; AMA for Soul/R&B; Grammy for Best Rap; Brit Award for International Album of the Year","https://www.discogs.com/master/12344","38661","Hip Hop","",""
"Get Rich Or Die Tryin'","50 Cent","2003","1001 Albums You Must Hear Before You Die; AMA for Rap/HipHop","https://www.discogs.com/master/34201","79578","Hip Hop","Gangsta; Pop Rap",""
"Speakerboxxx / The Love Below","OutKast","2003","1001 Albums You Must Hear Before You Die; AMA for Rap/HipHop; Grammy for Album of the Year; Grammy for Best Rap; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/26106","38561","Electronic; Funk / Soul; Hip Hop; Jazz","Drum n Bass; Funk; Fusion; Hip Hop; P.Funk; Soul",""
"Monkey Business","Black Eyed Peas","2005","AMA for Rap/HipHop","https://www.discogs.com/master/89646","79759","Funk / Soul; Hip Hop","Conscious; Contemporary R&B; Pop Rap",""
"The Massacre","50 Cent","2005","AMA for Rap/HipHop","https://www.discogs.com/master/34250","79578","Hip Hop","Gangsta",""
"Graduation","Kanye West","2007","AMA for Rap/HipHop; Grammy for Best Rap; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/8497","137880","Hip Hop","Pop Rap",""
"T.I. Vs T.I.P.","T.I.","2007","AMA for Rap/HipHop","https://www.discogs.com/master/154930","180140","Hip Hop","Thug Rap",""
"The Blueprint 3","Jay-Z","2009","AMA for Rap/HipHop","https://www.discogs.com/master/181678","21742","Hip Hop","",""
"Pink Friday","Nicki Minaj","2010","AMA for Rap/HipHop","https://www.discogs.com/master/295002","1615988","Funk / Soul; Hip Hop","Contemporary R&B; Pop Rap",""
"Recovery","Eminem","2010","AMA for Rap/HipHop; Grammy for Best Rap","https://www.discogs.com/master/264119","38661","Hip Hop","",""
"Pink Friday: Roman Reloaded","Nicki Minaj","2012","AMA for Rap/HipHop","https://www.discogs.com/master/424383","1615988","Electronic; Funk / Soul; Hip Hop; Pop","Contemporary R&B; Electro; Pop Rap",""
"The Heist","Macklemore, Ryan Lewis","2012","AMA for Rap/HipHop; Grammy for Best Rap","https://www.discogs.com/master/481686","792536; 803809","Hip Hop","",""
"The New Classic","Iggy Azalea","2014","AMA for Rap/HipHop","https://www.discogs.com/master/679573","2685102","Electronic; Hip Hop; Pop","Crunk; Pop Rap; Synth-pop",""
"The Pinkprint","Nicki Minaj","2014","AMA for Rap/HipHop","https://www.discogs.com/master/769161","1615988","Electronic; Funk / Soul; Hip Hop; Pop","Contemporary R&B; Pop Rap; Synth-pop; Trap",""
"Views","Drake","2016","AMA for Rap/HipHop","https://www.discogs.com/master/997631","151199","Hip Hop","",""
"Damn.","Kendrick Lamar","2017","AMA for Rap/HipHop; Grammy for Best Rap; Pitchfork Album of the Year","https://www.discogs.com/master/1164779","1778977","Hip Hop","Conscious",""
"Beerbongs & Bentleys","Post Malone","2018","AMA for Rap/HipHop","https://www.discogs.com/master/1355120","4016434","Hip Hop","Cloud Rap; Trap",""
"Hollywood's Bleeding","Post Malone","2019","AMA for Rap/HipHop","https://www.discogs.com/master/1611652","4016434","Hip Hop","Cloud Rap; Pop Rap; Trap",""
"Please Excuse Me For Being Antisocial","Roddy Ricch","2019","AMA for Rap/HipHop","https://www.discogs.com/master/1679136","6878369","Hip Hop","",""
