"I'm Still In Love With You","Al Green","1972","AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/141247","25261","Funk / Soul","Soul"
"Imagination","Gladys Knight And The Pips","1973","AMA for Soul/R&B","https://www.discogs.com/master/92915","30135","Funk / Soul","Soul"
"A Song For You","The Temptations","1975","AMA for Soul/R&B","https://www.discogs.com/master/36372","28332","Funk / Soul","Disco; Soul"
"Songs In The Key Of Life","Stevie Wonder","1976","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/87440","18956","Funk / Soul","Disco; Soul"
"Saturday Night Fever (The Original Movie Sound Track)","Various","1977","AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/23443","194","Funk / Soul; Pop; Stage & Screen","Disco; Soundtrack"
"Off The Wall","Michael Jackson","1979","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B; AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/435524","15885","Funk / Soul; Pop","Ballad; Disco; Soul"
"Street Songs","Rick James","1981","AMA for Soul/R&B","https://www.discogs.com/master/129703","20957","Funk / Soul","Boogie; Disco; Funk"
"Jump To It","Aretha Franklin","1982","AMA for Soul/R&B","https://www.discogs.com/master/122982","38863","Funk / Soul","Boogie; Funk; Soul"
"Thriller","Michael Jackson","1982","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/8883","15885","Funk / Soul; Pop","Contemporary R&B; Disco; Soul"
"Emergency","Kool & The Gang","1984","AMA for Soul/R&B","https://www.discogs.com/master/113392","48865","Funk / Soul","Disco"
"Purple Rain","Prince And The Revolution","1984","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; /mu/ Essentials","https://www.discogs.com/master/16245","96774","Funk / Soul; Pop; Rock; Stage & Screen","Funk; Minneapolis Sound; Pop Rock; Soundtrack"
"Whitney Houston","Whitney Houston","1985","AMA for Pop/Rock; AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/51607","30542","Electronic; Funk / Soul; Pop; Rock","Ballad; Contemporary R&B; Dance-pop; Soul; Vocal"
"Rapture","Anita Baker","1986","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B","https://www.discogs.com/master/113203","64805","Funk / Soul; Jazz","Smooth Jazz; Soul"
"Faith","George Michael","1987","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/96689","32990","Electronic; Funk / Soul; Pop; Rock","Pop Rock; Soft Rock"
"Don't Be Cruel","Bobby Brown","1988","AMA for Soul/R&B","https://www.discogs.com/master/112766","46233","Funk / Soul","Contemporary R&B; New Jack Swing"
"Please Hammer Don't Hurt 'Em","MC Hammer","1990","AMA for Rap/HipHop; AMA for Soul/R&B","https://www.discogs.com/master/96501","36621","Hip Hop","Pop Rap"
"Power Of Love / Love Power (12"" Power Mixes)","Luther Vandross","1991","AMA for Soul/R&B","https://www.discogs.com/master/155541","22757","Funk / Soul","Disco"
"Funky Divas","En Vogue","1992","AMA for Soul/R&B","https://www.discogs.com/master/115320","21295","Electronic; Funk / Soul; Hip Hop","Contemporary R&B"
"The Bodyguard (Original Soundtrack Album)","Various","1992","AMA for Pop/Rock; AMA for Soul/R&B; Grammy for Album of the Year","https://www.discogs.com/master/61126","194","Electronic; Rock; Stage & Screen","Modern Classical; Soundtrack; Synth-pop; Theme"
"Toni Braxton","Toni Braxton","1993","AMA for Soul/R&B","https://www.discogs.com/master/96167","13936","Funk / Soul; Hip Hop","Contemporary R&B; Soul"
"II","Boyz II Men","1994","AMA for Soul/R&B; Grammy for Best R&B","https://www.discogs.com/master/77912","101552","Funk / Soul","Ballad; Contemporary R&B; Soul"
"Secrets","Toni Braxton","1996","AMA for Soul/R&B","https://www.discogs.com/master/96174","13936","Funk / Soul; Jazz","Contemporary R&B; Soul; Soul-Jazz"
"Big Willie Style","Will Smith","1997","AMA for Pop/Rock; AMA for Soul/R&B","https://www.discogs.com/master/6028","74169","Hip Hop","Pop Rap"
"Share My World","Mary J. Blige","1997","AMA for Soul/R&B","https://www.discogs.com/master/78808","4778","Funk / Soul","Contemporary R&B; Soul"
