"Sgt. Pepper's Lonely Hearts Club Band","The Beatles","1967","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Pop Vocal; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year; /mu/ Essentials","https://www.discogs.com/master/23934","82730","Pop; Rock","Pop Rock; Psychedelic Rock; Rock & Roll",""
"Kings Of The Wild Frontier","Adam And The Ants","1980","1001 Albums You Must Hear Before You Die; Brit Award for British Album of the Year","https://www.discogs.com/master/63446","69887","Pop; Rock","New Wave; Post-Punk",""
"Memories","Barbra Streisand","1981","Brit Award for British Album of the Year","https://www.discogs.com/master/74324","53248","Pop; Stage & Screen","",""
"Thriller","Michael Jackson","1982","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/8883","15885","Funk / Soul; Pop","Contemporary R&B; Disco; Soul",""
"Diamond Life","Sade","1984","1001 Albums You Must Hear Before You Die; Brit Award for British Album of the Year","https://www.discogs.com/master/43936","19731","Funk / Soul; Jazz","Soul",""
"Brothers In Arms","Dire Straits","1985","1001 Albums You Must Hear Before You Die; Rolling Stone's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/23684","103687","Rock","AOR; Classic Rock",""
"No Jacket Required","Phil Collins","1985","Grammy for Album of the Year; Brit Award for British Album of the Year","https://www.discogs.com/master/98041","101028","Funk / Soul; Pop; Rock","Pop Rock",""
"...Nothing Like The Sun","Sting","1987","Brit Award for British Album of the Year","https://www.discogs.com/master/33572","13961","Reggae; Rock","Art Rock; Pop Rock; Reggae; Soft Rock",""
"The First Of A Million Kisses","Fairground Attraction","1988","Brit Award for British Album of the Year","https://www.discogs.com/master/122442","139983","Pop; Rock","Folk Rock",""
"The Raw & The Cooked","Fine Young Cannibals","1988","Brit Award for British Album of the Year","https://www.discogs.com/master/70185","4711","Electronic","Synth-pop",""
"Listen Without Prejudice Vol. 1","George Michael","1990","1001 Albums You Must Hear Before You Die; Brit Award for British Album of the Year","https://www.discogs.com/master/96742","32990","Electronic; Funk / Soul; Pop; Rock","Contemporary R&B; Dance-pop; Pop Rock; Soul",""
"Seal","Seal","1991","Brit Award for British Album of the Year","https://www.discogs.com/master/61188","10643","Electronic; Funk / Soul; Pop; Rock","Pop Rock; Soul",""
"Connected","Stereo MC's","1992","1001 Albums You Must Hear Before You Die; Brit Award for British Album of the Year","https://www.discogs.com/master/108368","4834","Electronic; Funk / Soul","Acid Jazz; Funk; Trip Hop",""
"Diva","Annie Lennox","1992","Brit Award for British Album of the Year","https://www.discogs.com/master/33599","23825","Electronic; Pop","Ballad; Synth-pop",""
"Parklife","Blur","1994","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/94761","7551","Rock","Brit Pop; Indie Rock",""
"(What's The Story) Morning Glory?","Oasis","1995","1001 Albums You Must Hear Before You Die; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/52220","140140","Pop; Rock","Brit Pop",""
"Everything Must Go","Manic Street Preachers","1996","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/102213","7161","Rock","Alternative Rock",""
"Urban Hymns","The Verve","1997","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year","https://www.discogs.com/master/20634","10359","Rock","Alternative Rock; Brit Pop",""
"This Is My Truth Tell Me Yours","Manic Street Preachers","1998","Brit Award for British Album of the Year","https://www.discogs.com/master/102232","7161","Rock","Alternative Rock",""
"No Angel","Dido","1999","Brit Award for British Album of the Year","https://www.discogs.com/master/29015","6277","Electronic","Downtempo",""
