"Chuck Person's Eccojams Vol. 1","Chuck Person","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/HyOYy5sD4Kn76LTz9tTwAQOkpK9BvZyzkWSqgGLu1Fg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/MTc1NzItMTUxMzc3/Njk3Mi0yNjU0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/853927","1928716","Electronic","Vaporwave",""
"Congratulations","MGMT","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/hghrBN9BVVchmaBxPlwBl1ofeU_bcNOYO1FX5LkV40Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/NDI5NDAtMTMwMzU3/ODU0MS5qcGVn.jpeg"")","https://www.discogs.com/master/240064","985480","Rock","Indie Rock; Pop Rock; Psychedelic Rock",""
"Contra","Vampire Weekend","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/rb7EbDSDPYb9IxCQJJiMzr_Hhwst5AUkJWdFOe0uPzE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIw/NTgxODktMTUzNjY5/MzA2OS05NjA1Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/214015","861083","Electronic; Pop; Rock","Art Rock; Avantgarde; Indie Rock",""
"Cosmogramma","Flying Lotus","2010","Fantano Top 200 Albums of 2010s; /mu/ Essentials","=IMAGE(""https://i.discogs.com/q0lDJCVPuC0x1b77DaYhO9aPXsRjqsrQQ8Rkg_YX8Bk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/OTU0NjctMTQyMzk4/NDQ2Ni0xNzAzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/244669","365248","Electronic; Hip Hop","Abstract; Downtempo; Experimental; Future Jazz; Glitch; IDM",""
"Flockaveli","Waka Flocka Flame","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/CysN22_S3cU-TsnE8PaT5eMovx_zp3b5jROZIWnkgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI3/MzQxODUtMTUxOTQ3/ODM3MS0yMjI2Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/450196","1689694","Hip Hop","Crunk; Gangsta; Pop Rap; Thug Rap",""
"Halcyon Digest","Deerhunter","2010","1001 Albums You Must Hear Before You Die; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/rcGBsa476MO9R_zeSh81Ii10rJF_FTAxScJza4kfVjY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/NjkyMTMtMTQ1NDE1/Mzc4My01OTUyLnBu/Zw.jpeg"")","https://www.discogs.com/master/278175","724296","Rock","Art Rock; Indie Rock; Shoegaze",""
"Have One On Me","Joanna Newsom","2010","Fantano Top 200 Albums of 2010s; /mu/ Essentials","=IMAGE(""https://i.discogs.com/CJ3Tm3z7HjpfOnh1JIZM7bvnZbgQZbnd28wUSvNYpAE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/NDgwMjktMTI2Njg4/MDQ3My5qcGVn.jpeg"")","https://www.discogs.com/master/227203","268383","Folk, World, & Country","Acoustic; Folk",""
"I'm New Here","Gil Scott-Heron","2010","Fantano Top 200 Albums of 2010s; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/7bSRGXVC_oy9QzHhJWqwHSPE6ijcCmnW_bwck8Eqhao/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MzU2MTYtMTMwNzAw/ODk4My5qcGVn.jpeg"")","https://www.discogs.com/master/225047","16533","Funk / Soul","Soul",""
"Kvelertak","Kvelertak","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/Mgsa486P0FYFk8ING8cuBYc6Sbc46VQUIhtFoNG2FGE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/NjA3MDMtMTI3OTQ3/NTY1MS5qcGVn.jpeg"")","https://www.discogs.com/master/269865","1868277","Rock","Black Metal; Hardcore; Rock & Roll; Stoner Rock",""
"Marrow Of The Spirit","Agalloch","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/Er9Tc35yIyc9HH95LCSfGuHTyYBBDvoVR5_t3X4VB84/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/NTMwNzItMTMwNTI0/NzYyNi5qcGVn.jpeg"")","https://www.discogs.com/master/291660","221549","Rock","Atmospheric Black Metal; Neofolk; Progressive Metal",""
"Plastic Beach","Gorillaz","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/iIdVA9Hy1DWZGF4Y-5CMhiSXmliBXnkQwc5ogbiTROI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/NDA4MTgtMTQwMTM3/MTA0MC0yNjI0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/231219","6378","Electronic; Hip Hop; Pop","Electro; Leftfield; Synth-pop",""
"Public Strain","Women","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/qSaZsCf67mWsNRSCW12DKNJyYwQmS4GtHz-Kty3_uek/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/MzgxMjEtMTI4NTM2/OTE2My5qcGVn.jpeg"")","https://www.discogs.com/master/280193","150315","Electronic; Rock","Indie Rock; Lo-Fi; Noise",""
"Teen Dream","Beach House","2010","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/R2nUMy5mI4lOG7S8f8TbvJ8-VJ0CkfGjHCElu34L7bI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIw/NTU3OTEtMTQ1NjE2/NzExMC05MDY5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/220456","592308","Pop; Rock","Dream Pop; Indie Pop",""
"The ArchAndroid","Janelle Monáe","2010","1001 Albums You Must Hear Before You Die; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/6FKpu1L2iFN0FVX8j75s1JvVVu79ZB6I3rprtlZ3IK8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/NTg2MzgtMTI3OTg5/MDM0MC5qcGVn.jpeg"")","https://www.discogs.com/master/260095","445868","Funk / Soul; Hip Hop; Pop; Rock","Contemporary R&B; Funk; Neo Soul; New Wave",""
"The Monitor","Titus Andronicus","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/lv2HbCCgqV-7x0P8NHpbMrMEqhchpFOh8332oWy9qs8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/NzI5NjgtMTI2Nzk1/MjEzNy5qcGVn.jpeg"")","https://www.discogs.com/master/246871","974806","Rock","Indie Rock; Punk",""
"The Suburbs","Arcade Fire","2010","Grammy for Album of the Year; NME's 500 Greatest Albums of All Time; Brit Award for International Album of the Year; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/NFaf0dVgS11YTw_TENCj3wFJiSV1tbJ_RUttwwCBnTM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/ODAwMDQtMTU3OTQ3/ODg0Mi01NTAzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/264742","281232","Rock","Alternative Rock; Indie Rock",""
"The Way Out","The Books","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/rzgmv6oIiTdCOgiOmxzm-CCWX0Y5f9dAAnpfF-NGFKI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/Nzc5NDMtMTU0OTUx/NzE4MC00NDM1Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/266708","92547","Blues; Classical; Electronic; Folk, World, & Country; Funk / Soul; Hip Hop; Jazz; Non-Music; Pop; Rock","Abstract",""
"There Is Love In You","Four Tet","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/uzv1l4b-4uAww5oEOr_4N6J-BrbaudtjN6w7VdS8ktU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MTM4NjEtMTI5Mzg1/Mzg4Ni5qcGVn.jpeg"")","https://www.discogs.com/master/220989","3543","Electronic","Experimental; House; IDM; Techno",""
"Throat","Little Women","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/PYXvkUauBxre3xwLoZjtwWkKslMv8IGcIZ0cAHOFYc8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/Mjg1NDAtMTI4MzUy/NDc0NS5qcGVn.jpeg"")","https://www.discogs.com/master/272520","1206975","Jazz; Rock","Avantgarde; Jazz-Rock",""
"Unsilent Death","Nails","2010","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/C6asAbjkMKen87DyoZbgZTNKdnStv0aai1ndN5zsbNI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/NTY2NjYtMTI5MDI4/OTMwNC5qcGVn.jpeg"")","https://www.discogs.com/master/288444","1769424","Rock","Grindcore; Hardcore",""
"93 Million Miles","Africa HiTech","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/1VVVM8RHTTMeMQemgAjxCGdaxlfLx2bh0egwjkrzIf0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ2/ODc2OTEtMTM3MjI1/OTkxMi00OTMxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/334705","1650633","Electronic","Dubstep; Electro; Glitch; IDM; UK Garage",""
"A I A : Alien Observer","Grouper","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/g0g3kDaKs_whOXXfs6C4fsGwSekWCADXw4e3JCQQ0CY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/MzE1NzctMTM1NzM2/NDAxOS0xNzM0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/498680","688281","Rock","Experimental",""
"An Empty Bliss Beyond This World","The Caretaker","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/Z81aN3rDWW4GdX58YuVlGW1MCGblXlLUpLgsNCvyfRI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/OTk3NjUtMTMxNTY1/MTU2Ni5qcGVn.jpeg"")","https://www.discogs.com/master/338796","7734","Electronic","Dark Ambient; Experimental; Musique Concrète",""
"Black Up","Shabazz Palaces","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/HINLN7obZrh-fkDnYKT1ZsZ5PvcW5lV9-cCl_5iCpk4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NjI0MDktMTMyNzk2/OTU0Mi5naWY.jpeg"")","https://www.discogs.com/master/348228","1935123","Electronic; Hip Hop","Abstract; Conscious; Experimental",""
"Far Side Virtual","James Ferraro","2011","Fantano Top 200 Albums of 2010s; /mu/ Essentials","=IMAGE(""https://i.discogs.com/u_um_1jTASgrievN1PWzXjGiQBZs9J3gXc3V2h0D5Fs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMx/OTI2NjItMTM0ODU2/NTU3MS0yNjAzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/496200","502318","Electronic; Pop","Abstract; Ambient; Experimental; Leftfield; Parody; Vaporwave",""
"Gloss Drop","Battles","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/ZQRrOi2PcKLakXyr9XWvKbK0FlGtpCE0FxGJfn0buNM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/NjkwMDktMTMwNzEw/OTIzOC5qcGVn.jpeg"")","https://www.discogs.com/master/338823","238372","Electronic; Rock","Math Rock",""
"Helplessness Blues","Fleet Foxes","2011","Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/IPDtRnRNUGTF0WtEdx6WO_5jaKtgGDH3bazNl5aDw18/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/NTY2NDUtMTMyMTg2/Mzc2MC5qcGVn.jpeg"")","https://www.discogs.com/master/332326","1105843","Folk, World, & Country; Rock","Folk; Indie Rock",""
