"Strong Persuader","Robert Cray","1986","Grammy for Best Contemporary Blues","https://www.discogs.com/master/131477","276076","Blues; Rock","Blues Rock; Modern Electric Blues"
"Don't Be Afraid Of The Dark","The Robert Cray Band","1988","Grammy for Best Contemporary Blues","https://www.discogs.com/master/43617","292478","Blues; Rock","Blues Rock; Soul"
"In Step","Stevie Ray Vaughan & Double Trouble","1989","Grammy for Best Contemporary Blues","https://www.discogs.com/master/49325","284965","Blues; Rock","Blues Rock; Electric Blues"
"Damn Right, I've Got The Blues","Buddy Guy","1991","Grammy for Best Contemporary Blues","https://www.discogs.com/master/519237","259799","Blues","Modern Electric Blues"
"The Sky Is Crying","Stevie Ray Vaughan & Double Trouble","1991","Grammy for Best Contemporary Blues","https://www.discogs.com/master/49352","284965","Blues; Rock","Blues Rock; Electric Blues"
"Feels Like Rain","Buddy Guy","1993","Grammy for Best Contemporary Blues","https://www.discogs.com/master/190231","259799","Blues; Rock","Blues Rock; Chicago Blues"
"Father Father","Pops Staples","1994","Grammy for Best Contemporary Blues","https://www.discogs.com/master/450397","311808","Funk / Soul","Gospel"
"Slippin' In","Buddy Guy","1994","Grammy for Best Contemporary Blues","https://www.discogs.com/master/190232","259799","Blues","Chicago Blues"
"Just Like You","Keb' Mo'","1996","Grammy for Best Contemporary Blues","https://www.discogs.com/master/263333","569276","Blues","Modern Electric Blues"
"Señor Blues","Taj Mahal","1997","Grammy for Best Contemporary Blues","https://www.discogs.com/master/305552","15158","Blues; Rock","Blues Rock"
"Slow Down","Keb' Mo'","1998","Grammy for Best Contemporary Blues","https://www.discogs.com/master/263334","569276","Blues",""
"Take Your Shoes Off","The Robert Cray Band","1999","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1181373","292478","Blues; Rock","Blues Rock; Electric Blues; Modern Electric Blues"
"Nothing Personal","Delbert McClinton","2001","Grammy for Best Contemporary Blues","https://www.discogs.com/master/643114","439406","Blues; Folk, World, & Country","Country Blues"
"Don't Give Up On Me","Solomon Burke","2002","Grammy for Best Contemporary Blues","https://www.discogs.com/master/179853","109435","Blues; Funk / Soul","Soul"
"Let's Roll","Etta James","2003","Grammy for Best Contemporary Blues","https://www.discogs.com/master/838975","89660","Blues; Funk / Soul; Jazz","Rhythm & Blues; Soul"
"Keep It Simple","Keb' Mo'","2004","Grammy for Best Contemporary Blues","https://www.discogs.com/master/543089","569276","Blues","Modern Electric Blues"
"Cost Of Living","Delbert McClinton","2005","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1450183","439406","Folk, World, & Country; Funk / Soul; Rock","Blues Rock; Country; Rhythm & Blues"
"After The Rain","Irma Thomas","2006","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1462430","381633","Blues; Funk / Soul",""
"The Road To Escondido","J.J. Cale, Eric Clapton","2006","Grammy for Best Contemporary Blues","https://www.discogs.com/master/248547","290587; 17827","Blues; Rock","Blues Rock; Classic Rock"
"City That Care Forgot","Dr. John, The Lower 911","2008","Grammy for Best Contemporary Blues","https://www.discogs.com/master/267249","15152; 1213591","Rock","Blues Rock"
"Already Free","The Derek Trucks Band","2009","Grammy for Best Contemporary Blues","https://www.discogs.com/master/241939","1425928","Blues; Rock","Blues Rock; Modern Electric Blues; Southern Rock"
"Living Proof","Buddy Guy","2010","Grammy for Best Contemporary Blues","https://www.discogs.com/master/334230","259799","Blues","Chicago Blues"
"The Last Days Of Oakland","Fantastic Negrito","2016","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1035675","4283651","Blues; Rock",""
"TajMo","Taj Mahal, Keb' Mo'","2017","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1176617","15158; 569276","Blues",""
"Please Don't Be Dead","Fantastic Negrito","2018","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1381756","4283651","Blues; Rock",""
"This Land","Gary Clark Jr.","2019","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1505941","2699369","Blues; Rock","Blues Rock; Electric Blues"
"Have You Lost Your Mind Yet?","Fantastic Negrito","2020","Grammy for Best Contemporary Blues","https://www.discogs.com/master/1790243","4283651","Blues; Rock",""
"662","Christone ""Kingfish"" Ingram","2021","Grammy for Best Contemporary Blues","https://www.discogs.com/master/2321125","5586985","Blues","Electric Blues"
