"And If Our God Is For Us...","Chris Tomlin","2010","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1275909","433370","Pop; Rock","",""
"Eye On It","TobyMac","2012","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/611740","418864","Pop; Rock","",""
"Overcomer (Deluxe Edition)","Mandisa","2013","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1175204","470185","Pop","",""
"Run Wild. Live Free. Love Strong.","for KING & COUNTRY","2014","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/874087","3070925","Pop; Rock","Pop Rock",""
"This Is Not A Test","TobyMac","2015","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/877523","418864","Electronic; Hip Hop; Jazz; Pop; Rock","Disco; Dubstep; Electro House; Gospel; House",""
"Love Remains","Hillary Scott & The Scott Family","2016","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1126611","5456481","Folk, World, & Country","Country; Folk; Gospel",""
"Chain Breaker","Zach Williams","2017","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1372263","5754339","Blues; Folk, World, & Country; Rock","Acoustic; Country Rock",""
"Burn The Ships","For King & Country","2018","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1439907","3070925","Pop; Rock","",""
"Look Up Child","Lauren Daigle","2018","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1427337","4558153","Pop","",""
"Jesus Is King","Kanye West","2019","Grammy for Best Contemporary Christian Music","https://www.discogs.com/master/1626636","137880","Folk, World, & Country; Hip Hop","Contemporary R&B; Gospel",""
