"Symphony No.1","Joe Jackson","1999","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/534966","75280","Classical","Contemporary; Modern"
"No Substitutions ""Live In Osaka""","Larry Carlton, Steve Lukather","2001","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1066202","258119; 272796","Jazz","Contemporary Jazz; Fusion"
"Just Chillin' ","Norman Brown","2002","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/565813","151553","Funk / Soul; Jazz","Smooth Jazz"
"Mambo Sinuendo","Ry Cooder, Manuel Galbán","2003","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/81132","55080; 364194","Latin","Cubano"
"Henry Mancini: Pink Guitar","Various","2004","Grammy for Best Contemporary Instrumental","https://www.discogs.com/release/14013447","194","Jazz; Stage & Screen",""
"At This Time","Burt Bacharach","2005","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/86646","58359","Jazz","Easy Listening"
"Fingerprints","Peter Frampton","2006","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/617628","228859","Rock","Indie Rock; Rock & Roll"
"The Mix-Up","Beastie Boys","2007","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/20242","10783","Funk / Soul","Experimental"
"Jingle All The Way","Béla Fleck & The Flecktones","2008","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/445221","1167014","Folk, World, & Country; Jazz","Folk; Free Jazz"
"Potato Hole","Booker T. Jones","2009","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/283673","248403","Funk / Soul; Rock","Blues Rock; Funk; Southern Rock"
"Take Your Pick","Larry Carlton, Tak Matsumoto","2010","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1142307","258119; 858824","Jazz; Pop; Rock",""
"The Road From Memphis","Booker T. Jones","2011","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/341342","248403","Funk / Soul","Funk; Neo Soul; Soul"
"Impressions","Chris Botti","2012","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/567072","199605","Jazz","Cool Jazz"
"Steppin' Out","Herb Alpert, Lani Hall","2013","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1118385","35022; 104680","Funk / Soul; Jazz","Easy Listening; Rhythm & Blues; Smooth Jazz"
"Bass & Mandolin","Chris Thile, Edgar Meyer","2014","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/826033","502434; 561465","Classical; Folk, World, & Country",""
"Sylva","Snarky Puppy, Metropole Orchestra","2015","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/829721","2675674; 303897","Funk / Soul; Jazz",""
"Culcha Vulcha","Snarky Puppy","2016","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1002833","2675674","Jazz; Rock","Fusion; Jazz-Rock; Prog Rock"
"Prototype","The Jeff Lorber Fusion","2017","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1419287","199117","Jazz","Fusion"
"Steve Gadd Band","Steve Gadd Band","2018","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1355578","4920092","Jazz","Contemporary Jazz; Fusion"
"Mettavolution","Rodrigo Y Gabriela","2019","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1539147","514314","Folk, World, & Country; Rock","Acoustic; Flamenco; Hard Rock"
"Live At The Royal Albert Hall","Snarky Puppy","2020","Grammy for Best Contemporary Instrumental","https://www.discogs.com/master/1693536","2675674","Jazz; Rock","Fusion; Jazz-Funk; Jazz-Rock"
