"The Offbeat Of Avenues","The Manhattan Transfer","1991","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/335207","49605","Jazz; Pop","Smooth Jazz; Swing; Vocal"
"Secret Story","Pat Metheny","1992","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/53902","20185","Jazz","Contemporary Jazz; Post Bop"
"The Road To You (Recorded Live In Europe)","Pat Metheny Group","1993","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/378990","38210","Jazz","Contemporary Jazz"
"Out Of The Loop","The Brecker Brothers","1994","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/170153","30007","Jazz","Fusion; Jazz-Rock"
"High Life","Wayne Shorter","1995","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/648354","29979","Jazz","Fusion; Jazz-Funk"
"We Live Here","Pat Metheny Group","1995","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/169774","38210","Jazz","Contemporary Jazz; Fusion"
"Into The Sun","Randy Brecker","1996","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/906849","253774","Jazz",""
"Imaginary Day","Pat Metheny Group","1997","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/240843","38210","Jazz","Contemporary Jazz"
"Inside","David Sanborn","1999","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/622501","185751","Funk / Soul; Jazz","Contemporary Jazz"
"Outbound","Béla Fleck & The Flecktones","2000","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/143415","1167014","Jazz; Rock","Contemporary Jazz; Jazz-Rock"
"M²","Marcus Miller","2001","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/62253","79989","Funk / Soul; Jazz","Smooth Jazz; Soul-Jazz"
"34th N Lex","Randy Brecker","2002","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/1320290","253774","Jazz","Contemporary Jazz; Cool Jazz; Fusion; Jazz-Rock"
"Speaking Of Now","Pat Metheny Group","2002","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/381286","38210","Jazz","Fusion"
"Unspeakable","Bill Frisell","2004","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/1316067","144927","Electronic; Jazz","Contemporary Jazz; Downtempo; Fusion"
"The Way Up","Pat Metheny Group","2005","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/366834","38210","Jazz","Fusion"
"The Hidden Land","Béla Fleck & The Flecktones","2006","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/438721","1167014","Jazz; Rock","Contemporary Jazz"
"River: The Joni Letters","Herbie Hancock","2007","Grammy for Album of the Year; Grammy for Best Contemporary Jazz","https://www.discogs.com/master/163820","3865","Funk / Soul; Jazz","Contemporary Jazz; Instrumental; Soul-Jazz"
"75th","Joe Zawinul, The Zawinul Syndicate","2008","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/373895","56960; 299635","Jazz","Fusion; Jazz-Rock"
"Randy In Brasil","Randy Brecker","2008","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/903135","253774","Jazz; Latin; Pop; Rock","Fusion; MPB"
"The Stanley Clarke Band","The Stanley Clarke Band","2010","Grammy for Best Contemporary Jazz","https://www.discogs.com/master/650622","88832","Jazz","Fusion"
