"Roger And Out","Roger Miller","1964","Grammy for Best Country","https://www.discogs.com/master/230032","75604","Folk, World, & Country","Country",""
"The Return Of Roger Miller","Roger Miller","1965","Grammy for Best Country","https://www.discogs.com/master/336991","75604","Folk, World, & Country","Country",""
"Stones In The Road","Mary Chapin Carpenter","1994","Grammy for Best Country","https://www.discogs.com/master/332048","266181","Folk, World, & Country; Pop; Rock","Country Rock; Folk Rock; Pop Rock; Soft Rock",""
"The Woman In Me","Shania Twain","1995","Grammy for Best Country","https://www.discogs.com/master/132438","130060","Folk, World, & Country; Rock","Country Rock; Pop Rock",""
"The Road To Ensenada","Lyle Lovett","1996","Grammy for Best Country","https://www.discogs.com/master/411646","264439","Folk, World, & Country; Rock","Country; Country Rock",""
"Unchained","Johnny Cash","1996","Grammy for Best Country","https://www.discogs.com/master/27882","135946","Folk, World, & Country; Rock","Country Rock",""
"Wide Open Spaces","Dixie Chicks","1998","Grammy for Best Country","https://www.discogs.com/master/121570","299586","Rock","Country Rock",""
"Breathe","Faith Hill","1999","AMA for Country; Grammy for Best Country","https://www.discogs.com/master/132466","137767","Pop","Europop; Pop Rock",""
"Fly","Dixie Chicks","1999","Grammy for Best Country","https://www.discogs.com/master/121571","299586","Rock","Country Rock; Pop Rock",""
"Timeless","Various","2001","Grammy for Best Country","https://www.discogs.com/master/341343","194","Blues; Folk, World, & Country; Rock","Acoustic; Blues Rock; Country; Rock & Roll",""
"Home","Dixie Chicks","2002","AMA for Country; Grammy for Best Country","https://www.discogs.com/master/121572","299586","Folk, World, & Country; Rock","Acoustic; Country Rock",""
"Livin', Lovin',  Losin' - Songs Of The Louvin Brothers","Various","2003","Grammy for Best Country","https://www.discogs.com/master/305304","194","Folk, World, & Country","Bluegrass; Country",""
"Lonely Runs Both Ways","Alison Krauss & Union Station","2004","Grammy for Best Country","https://www.discogs.com/master/267907","263648","Folk, World, & Country; Rock","Acoustic; Bluegrass; Country Rock",""
"Van Lear Rose","Loretta Lynn","2004","Grammy for Best Country","https://www.discogs.com/master/156217","320517","Folk, World, & Country; Rock","Country; Country Rock",""
"Taking The Long Way","Dixie Chicks","2006","Grammy for Album of the Year; Grammy for Best Country","https://www.discogs.com/master/121575","299586","Rock","Acoustic; Country Rock",""
"These Days","Vince Gill","2006","Grammy for Best Country","https://www.discogs.com/master/1736607","255427","Folk, World, & Country; Jazz; Rock","Bluegrass; Country; Folk",""
"Fearless","Taylor Swift","2008","AMA for Country; Grammy for Album of the Year; Grammy for Best Country","https://www.discogs.com/master/222553","1124645","Folk, World, & Country; Rock","Country; Country Rock",""
"Troubadour","George Strait","2008","Grammy for Best Country","https://www.discogs.com/master/430128","829795","Folk, World, & Country","Country",""
"Need You Now","Lady Antebellum","2010","Grammy for Best Country","https://www.discogs.com/master/260355","1333451","Folk, World, & Country; Rock","Country; Country Rock",""
"Own The Night","Lady Antebellum","2011","Grammy for Best Country","https://www.discogs.com/master/380949","1333451","Folk, World, & Country; Pop; Rock","Country; Country Rock",""
"Uncaged","Zac Brown Band","2012","Grammy for Best Country","https://www.discogs.com/master/521843","1484583","Folk, World, & Country; Rock","",""
"Same Trailer Different Park","Kacey Musgraves","2013","Grammy for Best Country","https://www.discogs.com/master/546085","2866928","Folk, World, & Country; Pop","Country; Soft Rock",""
"Platinum","Miranda Lambert","2014","Grammy for Best Country","https://www.discogs.com/master/745791","1314995","Folk, World, & Country","Country",""
"Traveller","Chris Stapleton","2015","Grammy for Best Country","https://www.discogs.com/master/845230","805983","Folk, World, & Country","Country",""
"A Sailor's Guide To Earth","Sturgill Simpson","2016","Grammy for Best Country; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/986307","3388603","Folk, World, & Country","Country",""
"From A Room: Volume 1","Chris Stapleton","2017","Grammy for Best Country","https://www.discogs.com/master/1175078","805983","Folk, World, & Country","Country",""
"Golden Hour","Kacey Musgraves","2018","Grammy for Album of the Year; Grammy for Best Country","https://www.discogs.com/master/1338231","2866928","Folk, World, & Country; Pop","",""
"While I'm Livin'","Tanya Tucker","2019","Grammy for Best Country","https://www.discogs.com/master/1595708","357985","Folk, World, & Country","",""
"Wildcard","Miranda Lambert","2019","Grammy for Best Country","https://www.discogs.com/master/1630573","1314995","Folk, World, & Country","Country",""
