"Kish Kash","Basement Jaxx","2003","Grammy for Best Dance-Electronic","https://www.discogs.com/master/35632","1600","Electronic","Breakbeat; Leftfield; UK Garage"
"Confessions On A Dance Floor","Madonna","2005","Grammy for Best Dance-Electronic","https://www.discogs.com/master/34205","8760","Electronic; Pop","Dance-pop; Disco; Euro House"
"Push The Button","The Chemical Brothers","2005","Grammy for Best Dance-Electronic","https://www.discogs.com/master/27064","2290","Electronic; Hip Hop","Big Beat; Downtempo; House; Pop Rap; Tech House"
"Alive 2007","Daft Punk","2007","Grammy for Best Dance-Electronic","https://www.discogs.com/master/27126","1289","Electronic","French House; House"
"We Are The Night","The Chemical Brothers","2007","Grammy for Best Dance-Electronic","https://www.discogs.com/master/27127","2290","Electronic","Big Beat; Electro; House"
"The Fame","Lady Gaga","2008","Grammy for Best Dance-Electronic; Brit Award for International Album of the Year","https://www.discogs.com/master/11126","1103159","Electronic; Hip Hop; Pop","Contemporary R&B; Electro; Synth-pop"
"La Roux","La Roux","2009","Grammy for Best Dance-Electronic","https://www.discogs.com/master/150781","1262427","Electronic; Pop","Synth-pop"
"Scary Monsters And Nice Sprites","Skrillex","2010","Grammy for Best Dance-Electronic","https://www.discogs.com/master/290272","1472585","Electronic","Dubstep; Electro; Electro House; Progressive House"
"Bangarang","Skrillex","2011","Grammy for Best Dance-Electronic","https://www.discogs.com/master/403802","1472585","Electronic","Dubstep; Electro; Electro House"
"Random Access Memories","Daft Punk","2013","Grammy for Album of the Year; Grammy for Best Dance-Electronic; NME's 500 Greatest Albums of All Time; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/556257","1289","Electronic; Funk / Soul; Pop","Disco; Electro; Funk; Synth-pop"
"Syro","Aphex Twin","2014","Grammy for Best Dance-Electronic","https://www.discogs.com/master/734427","45","Electronic","Breakbeat; Downtempo; IDM"
"Skrillex And Diplo Present Jack Ü","Jack Ü","2015","Grammy for Best Dance-Electronic","https://www.discogs.com/master/842162","4010464","Electronic; Hip Hop; Pop","Bass Music; Dubstep; Experimental; Future Bass; Trap"
"Skin","Flume","2016","Grammy for Best Dance-Electronic","https://www.discogs.com/master/1004715","2384511","Electronic","Bass Music; Dance-pop; Downtempo; Experimental; Future Bass; Glitch Hop; Hip Hop"
"3-D (Der Katalog)","Kraftwerk","2017","Grammy for Best Dance-Electronic","https://www.discogs.com/master/1185775","4654","Electronic","Electro; Experimental"
"Woman Worldwide","Justice","2018","Grammy for Best Dance-Electronic","https://www.discogs.com/master/1409973","52758","Electronic","Electro; Nu-Disco; Synth-pop; Techno"
"Bubba","Kaytranada","2019","Grammy for Best Dance-Electronic","https://www.discogs.com/master/1660007","3160392","Electronic; Hip Hop; Pop","Contemporary R&B; Hip Hop; House"
"No Geography","The Chemical Brothers","2019","Grammy for Best Dance-Electronic","https://www.discogs.com/master/1522509","2290","Electronic","Big Beat; Electro"
"Subconsciously","Blackcoffee","2021","Grammy for Best Dance-Electronic","https://www.discogs.com/release/17272786","673106","Electronic; Funk / Soul","Contemporary R&B; House"
