"Barton Hollow","The Civil Wars","2011","Grammy for Best Folk","https://www.discogs.com/master/343560","2001094","Folk, World, & Country","Folk"
"The Goat Rodeo Sessions","Yo-Yo Ma, Stuart Duncan, Edgar Meyer, Chris Thile","2011","Grammy for Best Folk","https://www.discogs.com/master/466090","276145; 405840; 561465; 502434","Classical",""
"My Favorite Picture Of You","Guy Clark","2013","Grammy for Best Folk","https://www.discogs.com/master/577122","569757","Folk, World, & Country",""
"Béla Fleck & Abigail Washburn","Béla Fleck, Abigail Washburn","2014","Grammy for Best Folk","https://www.discogs.com/master/871975","305844; 1887748","Folk, World, & Country",""
"Remedy","Old Crow Medicine Show","2014","Grammy for Best Folk","https://www.discogs.com/master/718071","732390","Folk, World, & Country","Bluegrass"
"Undercurrent","Sarah Jarosz","2016","Grammy for Best Folk","https://www.discogs.com/master/1022201","1652367","Blues; Folk, World, & Country; Jazz","Bluegrass"
"Mental Illness","Aimee Mann","2017","Grammy for Best Folk","https://www.discogs.com/master/1158451","11068","Rock","Alternative Rock; Indie Rock"
"All Ashore","Punch Brothers","2018","Grammy for Best Folk","https://www.discogs.com/master/1420521","1209457","Folk, World, & Country","Bluegrass; Folk"
"Patty Griffin","Patty Griffin","2019","Grammy for Best Folk","https://www.discogs.com/master/1514418","315889","Folk, World, & Country","Country; Folk"
"All The Good Times (Are Past & Gone)","Gillian Welch, David Rawlings","2020","Grammy for Best Folk","https://www.discogs.com/master/1781588","255403; 255406","Folk, World, & Country",""
