"Hello Fear","Kirk Franklin","2011","Grammy for Best Gospel","https://www.discogs.com/master/1511503","178301","Funk / Soul","Gospel"
"Gravity","Lecrae","2012","Grammy for Best Gospel","https://www.discogs.com/master/933431","1496549","Hip Hop","Conscious"
"Greater Than","Tye Tribbett","2013","Grammy for Best Gospel","https://www.discogs.com/release/7102750","346746","Funk / Soul; Jazz","Gospel"
"Help","Erica Campbell","2014","Grammy for Best Gospel","https://www.discogs.com/master/700645","1413924","Funk / Soul","Gospel"
"Covered: Alive In Asia","Israel & New Breed","2015","Grammy for Best Gospel","https://www.discogs.com/master/1310816","1946247","Funk / Soul","Gospel"
"Losing My Religion","Kirk Franklin","2015","Grammy for Best Gospel","https://www.discogs.com/release/7757282","178301","Funk / Soul","Gospel"
"Let Them Fall In Love","CeCe Winans","2017","Grammy for Best Gospel","https://www.discogs.com/master/1135601","228461","Funk / Soul","Contemporary R&B; Gospel"
"Hiding Place","Tori Kelly","2018","Grammy for Best Gospel","https://www.discogs.com/master/2467720","3821621","Funk / Soul","Contemporary R&B; Gospel; Soul"
"Long Live Love","Kirk Franklin","2019","Grammy for Best Gospel","https://www.discogs.com/release/14058327","178301","Funk / Soul","Gospel"
"Gospel According To PJ (From The Songbook Of PJ Morton)","PJ Morton","2020","Grammy for Best Gospel","https://www.discogs.com/master/2026495","1608292","Funk / Soul","Gospel"
