"Basie","Count Basie Orchestra, Neal Hefti","1958","1001 Albums You Must Hear Before You Die; Grammy for Best Jazz Instrumental","https://www.discogs.com/master/303975","253011; 154315","Jazz","Swing",""
"I Dig Chicks","The Jonah Jones Quartet","1959","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/345736","270027","Jazz","",""
"West Side Story","André Previn & His Pals","1960","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/326700","1637813","Jazz","",""
"André Previn Plays Songs By Harold Arlen","André Previn, Harold Arlen","1961","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/745767","224329; 301975","Jazz; Stage & Screen","",""
"Conversations With Myself","Bill Evans","1963","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/280623","252310","Jazz","Modal; Post Bop",""
"Getz / Gilberto","Stan Getz, João Gilberto","1964","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Jazz Instrumental; Rolling Stone's 500 Greatest Albums of All Time; /mu/ Bossa Nova; /mu/ Essentials","https://www.discogs.com/master/85178","30486; 346760","Jazz","Bossa Nova; Latin Jazz",""
"The In Crowd","The Ramsey Lewis Trio","1965","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/56896","149249","Jazz","Soul-Jazz",""
"Goin' Out Of My Head","Wes Montgomery","1966","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/82168","129805","Jazz","",""
"Mercy, Mercy, Mercy! - Live At ""The Club""","The Cannonball Adderley Quintet","1967","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/118128","277633","Blues; Funk / Soul; Jazz","Hard Bop",""
"Alone","Bill Evans","1968","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/243667","252310","Jazz","Post Bop",""
"At The Montreux Jazz Festival","Bill Evans","1968","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/68359","252310","Jazz","",""
"Willow Weep For Me","Wes Montgomery","1969","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/82211","129805","Jazz","Hard Bop",""
"First Light","Freddie Hubbard","1971","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/72355","55745","Jazz","Fusion; Soul-Jazz",""
"The Bill Evans Album","Bill Evans","1971","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/333441","252310","Jazz","",""
"Supersax Plays Bird","Supersax","1973","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/256424","399275","Jazz","Bop",""
"The Trio","The Oscar Peterson Trio","1974","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/249807","255646","Jazz","Bop",""
"No Mystery","Return To Forever, Chick Corea","1975","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/41940","41893; 37731","Jazz; Rock","Fusion",""
"The Leprechaun","Chick Corea","1976","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/119938","37731","Jazz; Latin","Fusion",""
"Live From The Showboat","The Phil Woods Six","1977","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/712835","2844340","Jazz","",""
"Friends","Chick Corea","1978","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/123537","37731","Jazz","Contemporary Jazz",""
"Duet","Gary Burton / Chick Corea","1979","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/9720","2692662","Jazz","Contemporary Jazz",""
"In Concert, Zürich, October 28, 1979","Gary Burton / Chick Corea","1980","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/390162","2692662","Jazz","Contemporary Jazz",""
"We Will Meet Again","Bill Evans","1980","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/371751","252310","Jazz","Modal; Post Bop",""
"'More' Live","The Phil Woods Quartet","1981","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/493039","1670013","Jazz","Bop; Post Bop",""
"At The Vanguard","The Phil Woods Quartet","1983","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/531783","1670013","Jazz","Bop; Post Bop",""
"New York Scene","Art Blakey & The Jazz Messengers","1984","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/62519","262128","Jazz","Contemporary Jazz; Hard Bop; Modal; Post Bop",""
"Black Codes (From The Underground)","Wynton Marsalis","1985","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/65074","253392","Jazz","Contemporary Jazz; Modal; Post Bop",""
"J Mood","Wynton Marsalis","1986","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/65077","253392","Jazz","Contemporary Jazz",""
"Marsalis Standard Time, Vol. 1","Wynton Marsalis","1987","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/65081","253392","Jazz","Contemporary Jazz; Post Bop",""
"A Tribute To John Coltrane / Blues For Coltrane","McCoy Tyner, Pharoah Sanders, David Murray, Cecil McBee, Roy Haynes","1988","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/529528","10620; 21147; 259154; 258511; 255556","Jazz","Free Jazz; Modal",""
"Chick Corea Akoustic Band","Chick Corea Akoustic Band","1989","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/396328","1020684","Jazz","Fusion; Latin Jazz",""
"The Legendary Oscar Peterson Trio Live At The Blue Note","The Oscar Peterson Trio, Oscar Peterson, Herb Ellis, Ray Brown","1990","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/570716","255646; 254394; 256065; 252998","Jazz","Bop; Swing",""
