"The Blues And The Beat","Henry Mancini","1960","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/378579","10529","Jazz; Pop","Easy Listening",""
"Adventures In Jazz","Stan Kenton","1961","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/295176","212786","Jazz","Big Band",""
"Kenton's West Side Story","Stan Kenton","1961","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/214807","212786","Jazz","Big Band; Contemporary Jazz",""
"Encore","Woody Herman","1963","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/514549","239399","Jazz","Big Band",""
"Guitar From Ipanema","Laurindo Almeida","1964","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/526992","255947","Jazz","Bossa Nova; Easy Listening",""
"Ellington '66","Duke Ellington","1965","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/410335","145257","Jazz","Big Band",""
"The Far East Suite","Duke Ellington","1967","Grammy for Best Large Jazz Ensemble; /mu/ Essentials","https://www.discogs.com/master/280135","145257","Jazz","Big Band",""
"""...And His Mother Called Him Bill""","Duke Ellington And His Orchestra","1968","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/175058","284747","Jazz","Big Band; Post Bop",""
"Walking In Space","Quincy Jones","1969","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/117354","17546","Jazz","Big Band; Jazz-Funk; Soul-Jazz",""
"Bitches Brew","Miles Davis","1970","1001 Albums You Must Hear Before You Die; Grammy for Best Large Jazz Ensemble; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/8260","23755","Jazz","Fusion",""
"New Orleans Suite","Duke Ellington","1971","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/163644","145257","Jazz","Swing",""
"The English Concert","Duke Ellington","1972","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/500248","145257","Jazz","Big Band",""
"Giant Steps","Woody Herman","1973","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/476646","239399","Jazz","Big Band; Fusion; Jazz-Funk; Latin Jazz; Soul-Jazz",""
"Thundering Herd","Woody Herman","1974","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/59870","239399","Jazz","Big Band; Jazz-Funk",""
"Images","Phil Woods, Michel Legrand Et Son Orchestre","1975","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/345102","253777; 299191","Jazz","Contemporary Jazz",""
"The Ellington Suites","Duke Ellington","1976","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/249745","145257","Jazz","Big Band",""
"Live In Munich","Thad Jones & Mel Lewis","1977","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/415534","4189947","Jazz","Big Band; Swing",""
"Prime Time","Count Basie Orchestra","1977","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/410010","253011","Jazz","Big Band; Swing",""
"At Fargo 1940 Live","Duke Ellington","1978","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/690392","145257","Jazz","Big Band",""
"On The Road","Count Basie Orchestra","1980","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/238077","253011","Jazz","Big Band; Swing",""
"Walk On The Water","Gerry Mulligan And His Orchestra","1980","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/463839","2607291","Jazz","Cool Jazz",""
"Warm Breeze","Count Basie Orchestra","1981","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/513917","253011","Jazz","Big Band; Swing",""
"All In Good Time","Rob McConnell & The Boss Brass","1983","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/471169","931123","Jazz","Big Band; Contemporary Jazz",""
"The Cotton Club (Original Music Soundtrack)","John Barry","1984","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/114791","19502","Jazz; Stage & Screen","Dixieland; Ragtime; Soundtrack",""
