"Poverty's Paradise","Naughty By Nature","1995","Grammy for Best Rap","https://www.discogs.com/master/67165","7686","Hip Hop",""
"The Score","Fugees","1996","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/124666","18231","Hip Hop",""
"No Way Out","Puff Daddy & The Family","1997","Grammy for Best Rap","https://www.discogs.com/master/121238","21001","Hip Hop",""
"Vol. 2... Hard Knock Life","Jay-Z","1998","Grammy for Best Rap","https://www.discogs.com/master/46840","21742","Hip Hop",""
"The Slim Shady LP","Eminem","1999","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/12172","38661","Hip Hop","Thug Rap"
"Stankonia","OutKast","2000","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/26124","38561","Funk / Soul; Hip Hop","Conscious; Crunk; Gangsta; P.Funk"
"The Marshall Mathers LP","Eminem","2000","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; /mu/ Essentials","https://www.discogs.com/master/12236","38661","Hip Hop","Hardcore Hip-Hop; Horrorcore"
"The Eminem Show","Eminem","2002","AMA for Pop/Rock; AMA for Rap/HipHop; AMA for Soul/R&B; Grammy for Best Rap; Brit Award for International Album of the Year","https://www.discogs.com/master/12344","38661","Hip Hop","Hardcore Hip-Hop; Pop Rap"
"Speakerboxxx / The Love Below","OutKast","2003","1001 Albums You Must Hear Before You Die; AMA for Rap/HipHop; Grammy for Album of the Year; Grammy for Best Rap; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/26106","38561","Electronic; Funk / Soul; Hip Hop; Jazz","Drum n Bass; Funk; Fusion; Hip Hop; P.Funk; Soul"
"The College Dropout","Kanye West","2004","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/6983","137880","Hip Hop","Conscious; Contemporary R&B; Pop Rap"
"Late Registration","Kanye West","2005","Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; /mu/ Essentials","https://www.discogs.com/master/7087","137880","Hip Hop","Conscious; Contemporary R&B; Pop Rap"
"Release Therapy","Ludacris","2006","Grammy for Best Rap","https://www.discogs.com/master/93064","36100","Hip Hop","Bounce; Contemporary R&B; Pop Rap; Trap"
"Graduation","Kanye West","2007","AMA for Rap/HipHop; Grammy for Best Rap; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/8497","137880","Funk / Soul; Hip Hop","Contemporary R&B; Pop Rap"
"Tha Carter III","Lil Wayne","2008","Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/93041","1065010","Hip Hop","Pop Rap; Thug Rap"
"Relapse","Eminem","2009","Grammy for Best Rap","https://www.discogs.com/master/100118","38661","Hip Hop","Hardcore Hip-Hop; Pop Rap"
"My Beautiful Dark Twisted Fantasy","Kanye West","2010","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/288153","137880","Hip Hop","Avantgarde; Contemporary R&B; Pop Rap"
"Recovery","Eminem","2010","AMA for Rap/HipHop; Grammy for Best Rap","https://www.discogs.com/master/264119","38661","Hip Hop","Conscious; Pop Rap"
"Take Care","Drake","2011","Grammy for Best Rap","https://www.discogs.com/master/394138","151199","Funk / Soul; Hip Hop","Contemporary R&B; Pop Rap"
"The Heist","Macklemore, Ryan Lewis","2012","AMA for Rap/HipHop; Grammy for Best Rap","https://www.discogs.com/master/481686","792536; 803809","Hip Hop",""
"The Marshall Mathers LP 2","Eminem","2013","Grammy for Best Rap","https://www.discogs.com/master/615877","38661","Hip Hop","Hardcore Hip-Hop"
"To Pimp A Butterfly","Kendrick Lamar","2015","Grammy for Best Rap; Pitchfork Album of the Year; 1001 Albums You Must Hear Before You Die; Fantano Top 200 Albums of 2010s; /mu/ Essentials","https://www.discogs.com/master/810214","1778977","Funk / Soul; Hip Hop","Conscious; G-Funk; Jazzy Hip-Hop; Pop Rap"
"Coloring Book","Chance The Rapper","2016","Grammy for Best Rap","https://www.discogs.com/master/1041739","3268583","Hip Hop",""
"Damn","Kendrick Lamar","2017","AMA for Rap/HipHop; Grammy for Best Rap; Pitchfork Album of the Year","https://www.discogs.com/master/1164779","1778977","Hip Hop","Conscious"
"Invasion Of Privacy","Cardi B","2018","Grammy for Best Rap","https://www.discogs.com/master/1348255","5153025","Hip Hop","Trap"
"Igor","Tyler, The Creator","2019","Grammy for Best Rap; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/1591877","1967268","Funk / Soul; Hip Hop","Contemporary R&B; Neo Soul"
"King's Disease","Nas","2020","Grammy for Best Rap","https://www.discogs.com/master/1793153","50997","Hip Hop",""
"Call Me If You Get Lost","Tyler, The Creator","2021","Grammy for Best Rap","https://www.discogs.com/master/2192617","1967268","Funk / Soul; Hip Hop","Contemporary R&B; Jazzy Hip-Hop; Trap"
