"Anthem","Black Uhuru","1983","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/542xRv2BLzspeOBwL2Mj6A2tQN7JuUyMi7Q4tDvgR4Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MDc1MjktMTIwODMx/OTkwOS5qcGVn.jpeg"")","https://www.discogs.com/master/35592","3924","Reggae","Dub; Roots Reggae",""
"Babylon The Bandit","Steel Pulse","1985","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/K3ewivTkb87GbIBAOJ-TyoH98cfehI5pNCD5Ztpd930/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU0/NjIzOC0xMTMwMTcx/MDc4LmpwZWc.jpeg"")","https://www.discogs.com/master/202648","169498","Reggae","Roots Reggae",""
"Cliff Hanger","Jimmy Cliff","1985","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/YLb1tN4T-r3zKre1fhVMMdYW4JJXXyEk0dwbbcuc21U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/OTc5MjUtMTI4OTg1/OTQ5MC5qcGVn.jpeg"")","https://www.discogs.com/master/191339","63019","Reggae","Reggae",""
"No Nuclear War","Peter Tosh","1987","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/xZpAC4VB-qfEF7VHB4QkzO1n7Kbt40DVHImWKJ_rb5c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg5/NDEzNi0xMzg1ODA3/OTA4LTg3NjMuanBl/Zw.jpeg"")","https://www.discogs.com/master/99998","88495","Reggae","Roots Reggae",""
"Conscious Party","Ziggy Marley And The Melody Makers","1988","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/bc_RisgB-WqSr4Yx6G_YVRAj9iwECXvA4Zsg7tGj2vc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE2/OTIxNjUtMTU1Nzg1/MjM3OC0xOTMwLnBu/Zw.jpeg"")","https://www.discogs.com/master/79551","67126","Reggae","Reggae",""
"One Bright Day","Ziggy Marley And The Melody Makers","1989","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/gNCV-1PbAamVz5vz3TbjvgAQj9QIPULxkj4HcQKT2tU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU1/NTYwNy0xMjExMjEz/NDAyLmpwZWc.jpeg"")","https://www.discogs.com/master/79571","67126","Reggae","Reggae-Pop",""
"Time Will Tell - A Tribute To Bob Marley","Bunny Wailer","1990","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/dfTq9Qsa3-EUTNNwhrZtQECr6HeGebVbjwhGZmjce6I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE5/OTA0NzYtMTU5MDk1/MzEyMC05MzczLmpw/ZWc.jpeg"")","https://www.discogs.com/master/638931","149561","Reggae","Roots Reggae",""
"As Raw As Ever","Shabba Ranks","1991","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/16UDxe5dSjyDgBwMTyXaMK2m6pp-1V9MO6mdKnSjiBY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTYz/OTQzMC0xMjE4ODkw/NTMzLmpwZWc.jpeg"")","https://www.discogs.com/master/45936","37234","Hip Hop; Reggae","Ragga; Ragga HipHop",""
"X-Tra Naked","Shabba Ranks","1992","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/tFa0fn7yYotBO6Nc6KpM3rtdHP7-n-_AcYc08t08bCw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM2/OTI3OC0xMjY4OTg2/MTgzLmpwZWc.jpeg"")","https://www.discogs.com/master/46037","37234","Electronic; Hip Hop","Downtempo; Ragga HipHop",""
"Bad Boys","Inner Circle","1993","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/SbDQW7qn-gKf3EqqajeTYpKKjjRbEWB-yEpR0dUkVzk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIy/MTc2MTktMTI3MDQ1/NjMxNi5qcGVn.jpeg"")","https://www.discogs.com/master/101497","37236","Electronic; Reggae","Reggae; Reggae-Pop",""
"Crucial! Roots Classics","Bunny Wailer","1994","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/Kp9K3vRjTK_NHMIW1V07QsOsTZozLaa-BetZ5XIxeDk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIw/MjM5MzktMTMyOTQy/ODA0NC5qcGVn.jpeg"")","https://www.discogs.com/master/204724","149561","Reggae","Roots Reggae",""
"Boombastic (Full Length Album)","Shaggy","1995","Grammy for Best Reggae","=IMAGE(""https://i.discogs.com/V6WHr7anPeeAPP101OyU_ycU2wwSuz8jNknTr_WsOms/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/MjQ2NjgtMTM1MTM5/OTc1Mi05Mzg3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/83436","7708","Hip Hop; Reggae","Dancehall; Ragga HipHop",""
