"Alright Again!","Clarence ""Gatemouth"" Brown","1982","Grammy for Best Traditional Blues","https://www.discogs.com/master/390413","640280","Blues; Folk, World, & Country; Jazz","Big Band; Country; Country Blues; Electric Blues; Louisiana Blues; Texas Blues"
"Blues 'N' Jazz","B.B. King","1983","Grammy for Best Traditional Blues","https://www.discogs.com/master/359681","37729","Blues; Jazz","Big Band; Electric Blues"
"Blues Explosion","Various","1984","Grammy for Best Traditional Blues","https://www.discogs.com/master/436574","194","Blues; Rock","Blues Rock"
"Big Boss Man / My Guitar Sings The Blues","B.B. King","1985","Grammy for Best Traditional Blues","https://www.discogs.com/master/676602","37729","Blues",""
"Showdown!","Albert Collins, Robert Cray, Johnny Copeland","1985","Grammy for Best Traditional Blues","https://www.discogs.com/master/203463","282723; 276076; 330433","Blues","Texas Blues"
"House Party New Orleans Style (The Lost Sessions 1971-1972)","Professor Longhair","1987","Grammy for Best Traditional Blues","https://www.discogs.com/master/334644","18394","Blues; Funk / Soul","Delta Blues; Louisiana Blues"
"Hidden Charms","Willie Dixon","1988","Grammy for Best Traditional Blues","https://www.discogs.com/master/318469","166684","Blues",""
"I'm In The Mood","John Lee Hooker, Bonnie Raitt","1990","Grammy for Best Traditional Blues","https://www.discogs.com/master/244797","94557; 271392","Blues","Louisiana Blues"
"Live At San Quentin","B.B. King","1990","Grammy for Best Traditional Blues","https://www.discogs.com/master/146587","37729","Blues","East Coast Blues; Electric Blues"
"Live At The Apollo","B.B. King","1991","Grammy for Best Traditional Blues","https://www.discogs.com/master/146588","37729","Blues",""
"Goin' Back To New Orleans","Dr. John","1992","Grammy for Best Traditional Blues","https://www.discogs.com/master/238501","15152","Funk / Soul; Jazz","Bayou Funk; Rhythm & Blues; Soul; Soul-Jazz"
"Blues Summit","B.B. King","1993","Grammy for Best Traditional Blues","https://www.discogs.com/master/401230","37729","Blues","Chicago Blues; Modern Electric Blues"
"From The Cradle","Eric Clapton","1994","Grammy for Best Traditional Blues","https://www.discogs.com/master/85154","17827","Blues; Rock","Blues Rock; Chicago Blues; Country Blues; Electric Blues"
"Chill Out","John Lee Hooker","1995","Grammy for Best Traditional Blues","https://www.discogs.com/master/173407","94557","Blues","Modern Electric Blues"
"Deep In The Blues","James Cotton, Joe Louis Walker, Charlie Haden","1996","Grammy for Best Traditional Blues","https://www.discogs.com/master/1103449","36605; 655875; 253592","Blues","Harmonica Blues"
"Don't Look Back","John Lee Hooker","1997","Grammy for Best Traditional Blues","https://www.discogs.com/master/137783","94557","Blues","Modern Electric Blues"
"Any Place I'm Going","Otis Rush","1998","Grammy for Best Traditional Blues","https://www.discogs.com/master/1044796","340680","Blues; Funk / Soul",""
"Blues On The Bayou","B.B. King","1998","Grammy for Best Traditional Blues","https://www.discogs.com/master/467910","37729","Blues","Electric Blues"
"Riding With The King","B.B. King, Eric Clapton","2000","Grammy for Best Traditional Blues","https://www.discogs.com/master/85205","37729; 17827","Rock","Blues Rock"
"A Christmas Celebration of Hope","B.B. King","2001","Grammy for Best Traditional Blues","https://www.discogs.com/master/1001378","37729","Blues","Holiday"
"Do You Get The Blues?","Jimmie Vaughan","2001","Grammy for Best Traditional Blues","https://www.discogs.com/master/867565","330441","Blues","Texas Blues"
"Blues Singer","Buddy Guy","2003","Grammy for Best Traditional Blues","https://www.discogs.com/master/295615","259799","Blues","Country Blues"
"Blues To The Bone","Etta James","2004","Grammy for Best Traditional Blues","https://www.discogs.com/master/615810","89660","Blues","Chicago Blues; Electric Blues"
"80","B.B. King, Various","2005","Grammy for Best Traditional Blues","https://www.discogs.com/master/344383","37729; 194","Blues; Jazz; Rock","Electric Blues"
"Risin' With The Blues","Ike Turner","2006","Grammy for Best Traditional Blues","https://www.discogs.com/master/346166","238213","Blues; Funk / Soul; Jazz","Electric Blues"
"Live In Dallas","Last Of The Great Mississippi Delta Bluesmen","2007","Grammy for Best Traditional Blues","https://www.discogs.com/release/5669219","3816426","Blues","Delta Blues"
"One Kind Favor","B.B. King","2008","Grammy for Best Traditional Blues","https://www.discogs.com/master/303024","37729","Blues","Electric Blues"
"A Stranger Here","Ramblin' Jack Elliott","2009","Grammy for Best Traditional Blues","https://www.discogs.com/master/1074280","273141","Blues; Folk, World, & Country","Country; Country Blues; Folk"
"Joined At The Hip","Pinetop Perkins, Willie Smith","2010","Grammy for Best Traditional Blues","https://www.discogs.com/release/7169277","1313534; 304417","Blues",""
"Blue & Lonesome","The Rolling Stones","2016","Grammy for Best Traditional Blues","https://www.discogs.com/master/1097985","20991","Blues; Rock","Chicago Blues; Electric Blues"
"Porcupine Meat","Bobby Rush","2016","Grammy for Best Traditional Blues","https://www.discogs.com/master/1094383","476365","Blues","Delta Blues; Modern Electric Blues; Rhythm & Blues"
"The Blues Is Alive And Well ","Buddy Guy","2018","Grammy for Best Traditional Blues","https://www.discogs.com/master/1379791","259799","Blues; Rock","Blues Rock"
"Tall, Dark, & Handsome","Delbert McClinton & Self-Made Men, Dana Robbins","2019","Grammy for Best Traditional Blues","https://www.discogs.com/master/1586389","7240861; 1466072","Blues; Funk / Soul; Jazz",""
"Rawer Than Raw","Bobby Rush","2020","Grammy for Best Traditional Blues","https://www.discogs.com/master/1807426","476365","Blues",""
"I Be Trying","Cedric Burnside","2021","Grammy for Best Traditional Blues","https://www.discogs.com/master/2181910","384455","Blues","Hill Country Blues"
