"Unforgettable With Love","Natalie Cole","1991","Grammy for Album of the Year; Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/113224","12686","Jazz; Pop","Ballad; Soul-Jazz; Swing; Vocal",""
"Perfectly Frank","Tony Bennett","1992","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/699098","170754","Jazz; Pop","Vocal",""
"Steppin' Out","Tony Bennett","1993","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/644902","170754","Jazz; Pop","Easy Listening; Vocal",""
"Duets II","Frank Sinatra","1994","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/307456","52833","Jazz; Pop","Ballad; Big Band; Swing; Vocal",""
"MTV Unplugged","Tony Bennett","1994","Grammy for Album of the Year; Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/345389","170754","Jazz","Big Band",""
"Here's To The Ladies","Tony Bennett","1995","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/600403","170754","Jazz; Pop","Ballad; Big Band; Swing; Vocal",""
"On Holiday","Tony Bennett","1997","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/716993","170754","Jazz; Pop","Vocal",""
"Live at Carnegie Hall: The 50th Anniversary Concert","Patti Page","1998","Grammy for Best Traditional Pop Vocal","","57628","Country","Vocal",""
"Sings Ellington Hot & Cool","Tony Bennett","1999","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/491141","170754","Jazz; Pop","Contemporary Jazz; Swing; Vocal",""
"Both Sides Now","Joni Mitchell","2000","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/47822","90233","Jazz","Contemporary Jazz; Vocal",""
"Playin' With My Friends: Bennett Sings The Blues","Tony Bennett","2001","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/480031","170754","Blues; Pop","Vocal",""
"Songs I Heard","Harry Connick, Jr.","2001","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/104246","352440","Jazz; Stage & Screen","Big Band; Musical",""
"A Wonderful World","Tony Bennett, k.d. lang","2002","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/128957","170754; 110570","Jazz; Pop","Big Band; Vocal",""
"Stardust... The Great American Songbook Volume III","Rod Stewart","2004","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/473649","11012","Jazz; Pop","Big Band; Easy Listening; Swing",""
"The Art Of Romance","Tony Bennett","2004","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/431109","170754","Jazz; Pop","Big Band; Vocal",""
"Duets (An American Classic)","Tony Bennett","2006","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/372253","170754","Jazz; Pop","Soft Rock; Soul-Jazz; Vocal",""
"Call Me Irresponsible","Michael Bublé","2007","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/79693","257663","Jazz","Easy Listening; Swing",""
"Still Unforgettable","Natalie Cole","2008","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/301310","12686","Jazz; Pop","Ballad; Big Band; Soul-Jazz; Swing",""
"Crazy Love","Michael Bublé","2009","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/215190","257663","Jazz; Pop","Easy Listening; Swing",""
"Meets Madison Square Garden","Michael Bublé","2009","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/615300","257663","Jazz; Pop","Vocal",""
"Duets II","Tony Bennett","2011","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/375329","170754","Jazz","Easy Listening; Vocal",""
"Kisses On The Bottom","Paul McCartney","2012","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/407115","35301","Jazz; Pop; Stage & Screen","Vocal",""
"To Be Loved","Michael Bublé","2013","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/557971","257663","Jazz; Pop","Easy Listening; Swing",""
"Cheek To Cheek","Tony Bennett, Lady Gaga","2014","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/735298","170754; 1103159","Jazz","Swing",""
"The Silver Lining (The Songs Of Jerome Kern)","Tony Bennett, Bill Charlap","2015","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/908555","170754; 619319","Jazz; Pop","Swing",""
"Summertime: Willie Nelson Sings Gershwin","Willie Nelson","2016","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/963801","249449","Folk, World, & Country; Pop","Country",""
"Tony Bennett Celebrates 90","Various","2016","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/1113058","194","Pop","",""
"Look Now","Elvis Costello & The Imposters","2018","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/1436418","308051","Rock","Indie Rock; Pop Rock",""
"My Way","Willie Nelson","2018","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/1422042","249449","Jazz; Pop","Ballad; Swing; Vocal",""
"American Standard","James Taylor","2020","Grammy for Best Traditional Pop Vocal","https://www.discogs.com/master/1690409","262944","Folk, World, & Country; Rock","",""
