"Cold Fact","Sixto Rodriguez","1970","Manual","https://www.discogs.com/master/176155","98580","Funk / Soul; Rock","Folk Rock; Psychedelic"
"2+2+1 = Ponderosa Twins Plus One","Ponderosa Twins + One","1971","Manual","https://www.discogs.com/master/581954","1799176","Funk / Soul","Funk; Soul"
"Coming From Reality","Sixto Rodriguez","1971","Manual","https://www.discogs.com/master/176156","98580","Rock","Folk Rock; Psychedelic Rock; Soft Rock"
"Breezin'","George Benson","1976","Manual","https://www.discogs.com/master/52525","2266","Funk / Soul; Jazz","Contemporary Jazz; Jazz-Funk; Smooth Jazz"
"Breakfast In America","Supertramp","1979","Manual","https://www.discogs.com/master/25362","251517","Rock","Art Rock; Pop Rock"
"Thunder Live","Casiopea","1980","Manual","https://www.discogs.com/master/486870","259140","Funk / Soul; Jazz","Fusion; Jazz-Funk"
"Casiopea Live","Casiopea","1985","Manual","https://www.discogs.com/master/490671","259140","Jazz","Fusion"
"魔女の宅急便 サントラ音楽集","Joe Hisaishi","1989","Manual","https://www.discogs.com/master/584837","221662","Stage & Screen","Soundtrack"
"Mother 2 (ギーグの逆襲)","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu","1994","Manual","https://www.discogs.com/master/964395","233123; 301091; 4637282","Stage & Screen","Soundtrack; Video Game Music"
"Southernplayalisticadillacmuzik","OutKast","1994","Manual","https://www.discogs.com/master/26075","38561","Hip Hop",""
"Neon Genesis Evangelion","Shiro Sagisu","1995","Manual","https://www.discogs.com/master/410501","388815","Stage & Screen","Score; Soundtrack; Theme"
"スーパーマリオ ヨッシーアイランド (オリジナル・サウンド・ヴァージョン)","Koji Kondo","1995","Manual","https://www.discogs.com/master/1817474","43032","Stage & Screen","Soundtrack; Video Game Music"
"Neon Genesis Evangelion II","Shiro Sagisu","1996","Manual","https://www.discogs.com/master/573211","388815","Stage & Screen","Score; Soundtrack; Theme"
"Neon Genesis Evangelion III","Shiro Sagisu","1996","Manual","https://www.discogs.com/master/457286","388815","Stage & Screen","Soundtrack"
"Dude Ranch","Blink-182","1997","Manual","https://www.discogs.com/master/38017","80395","Rock","Pop Rock; Punk"
"The White Goblin","Masayoshi Takanaka","1997","Manual","https://www.discogs.com/master/1095326","128537","Funk / Soul; Jazz",""
"もののけ姫（サウンドトラック）","Joe Hisaishi","1997","Manual","https://www.discogs.com/master/111103","221662","Classical; Stage & Screen","Ambient; Contemporary; Modern Classical; Soundtrack; Theme; Vocal"
"Cardcaptor Sakura Original Soundtrack","Various","1998","Manual","https://www.discogs.com/master/1793986","194","Pop; Stage & Screen","J-pop; Score; Soundtrack"
"NHKアニメーション カードキャプターさくら オリジナルサウンドトラック2","Takayuki Negishi","1998","Manual","https://www.discogs.com/master/2569379","583713","Stage & Screen","Soundtrack"
"Enema Of The State","Blink-182","1999","Manual","https://www.discogs.com/master/38033","80395","Rock","Alternative Rock; Pop Rock; Punk"
"NHKアニメーション カードキャプターさくら オリジナルサウンドトラック3","Takayuki Negishi","1999","Manual","https://www.discogs.com/release/17149582","583713","Stage & Screen","Soundtrack"
"Sweet","Suga Shikao","1999","Manual","https://www.discogs.com/master/2457187","2959353","Funk / Soul; Pop","J-pop"
"無罪モラトリアム","Shiina Ringo","1999","Manual","https://www.discogs.com/master/563227","2258062","Pop; Rock","Alternative Rock; J-pop"
"NHKアニメーション カードキャプターさくら オリジナルサウンドトラック4","Takayuki Negishi","2000","Manual","https://www.discogs.com/release/17164195","583713","Stage & Screen","Soundtrack"
"勝訴ストリップ","Shiina Ringo","2000","Manual","https://www.discogs.com/master/701735","2258062","Electronic; Pop; Rock","Alternative Rock; J-pop"
"絶頂集","Shiina Ringo","2000","Manual","https://www.discogs.com/master/1349257","2258062","Rock","Alternative Rock; Pop Rock"
"All Killer No Filler","Sum 41","2001","Manual","https://www.discogs.com/master/87580","115650","Hip Hop; Rock","Pop Punk; Pop Rock; Punk"
"s-CRY-ed O.S.T.1","Kotaro Nakagawa","2001","Manual","https://www.discogs.com/release/15978378","1055814","Stage & Screen","Score"
"s-CRY-ed O.S.T.2","Kotaro Nakagawa","2001","Manual","","1055814","Stage & Screen","Score"
"Take Off Your Pants And Jacket","Blink-182","2001","Manual","https://www.discogs.com/master/38108","80395","Rock","Alternative Rock; Pop Rock; Punk"
"千と千尋の神隠し サウンドトラック","Joe Hisaishi","2001","Manual","https://www.discogs.com/master/111105","221662","Classical; Electronic; Stage & Screen","Abstract; Ambient; Contemporary; Soundtrack"
"Does This Look Infected?","Sum 41","2002","Manual","https://www.discogs.com/master/87583","115650","Rock","Pop Punk"
