"Aquemini","OutKast","1998","Rolling Stone's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/25976","38561","Hip Hop","Conscious; Gangsta; Reggae; Soul",""
"Emergency & I","The Dismemberment Plan","1999","Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/300601","438732","Rock","Indie Rock",""
"Kid A","Radiohead","2000","1001 Albums You Must Hear Before You Die; Grammy for Best Alternative; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/21501","3840","Electronic; Rock","Alternative Rock; Experimental; IDM",""
"""The Glow"" Pt. 2","The Microphones","2001","Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/54873","303929","Rock","Experimental; Lo-Fi",""
"Turn On The Bright Lights","Interpol","2002","NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/9235","71725","Rock","Indie Rock",""
"Echoes","The Rapture","2003","Pitchfork Album of the Year","https://www.discogs.com/master/78275","9985","Electronic; Rock","Indie Rock; Post-Punk",""
"Funeral","Arcade Fire","2004","1001 Albums You Must Hear Before You Die; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/1945","281232","Rock","Indie Rock",""
"Illinois","Sufjan Stevens","2005","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/14863","202598","Pop; Rock; Stage & Screen","Folk Rock; Indie Pop; Theme",""
"Silent Shout","The Knife","2006","Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/12241","87717","Electronic","Downtempo; Electro; Synth-pop",""
"Person Pitch","Panda Bear","2007","Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/69822","218809","Electronic; Rock","Abstract; Experimental; Indie Rock",""
"Fleet Foxes","Fleet Foxes","2008","1001 Albums You Must Hear Before You Die; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/72463","1105843","Rock","Folk Rock; Indie Rock",""
"Merriweather Post Pavilion","Animal Collective","2009","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/5248","207958","Electronic; Funk / Soul; Rock","Experimental; Indie Rock; Psychedelic",""
"My Beautiful Dark Twisted Fantasy","Kanye West","2010","1001 Albums You Must Hear Before You Die; Grammy for Best Rap; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year; /mu/ Essentials","https://www.discogs.com/master/288153","137880","Hip Hop","Contemporary R&B; Pop Rap",""
"Bon Iver, Bon Iver","Bon Iver","2011","Grammy for Best Alternative; Pitchfork Album of the Year","https://www.discogs.com/master/345153","1042739","Rock","Folk Rock; Indie Rock",""
"Good Kid, M.A.A.d City","Kendrick Lamar","2012","1001 Albums You Must Hear Before You Die; NME's 500 Greatest Albums of All Time; Pitchfork Album of the Year","https://www.discogs.com/master/484590","1778977","Hip Hop","Conscious",""
"Modern Vampires Of The City","Vampire Weekend","2013","Grammy for Best Alternative; Pitchfork Album of the Year","https://www.discogs.com/master/553916","861083","Pop; Rock","Indie Pop; Indie Rock; Pop Rock",""
"Run The Jewels 2","Run The Jewels","2014","Pitchfork Album of the Year; Fantano Top 200 Albums of 2010s; /mu/ Essentials","https://www.discogs.com/master/733856","3351365","Hip Hop","Conscious; Hardcore Hip-Hop",""
"To Pimp A Butterfly","Kendrick Lamar","2015","Grammy for Best Rap; Pitchfork Album of the Year; 1001 Albums You Must Hear Before You Die; Fantano Top 200 Albums of 2010s; /mu/ Essentials","https://www.discogs.com/master/810214","1778977","Funk / Soul; Hip Hop","Conscious; G-Funk; Jazzy Hip-Hop; Pop Rap",""
"A Seat At The Table","Solange","2016","Pitchfork Album of the Year; 1001 Albums You Must Hear Before You Die; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/1071880","160408","Electronic; Funk / Soul; Hip Hop","Soul",""
"Damn.","Kendrick Lamar","2017","AMA for Rap/HipHop; Grammy for Best Rap; Pitchfork Album of the Year","https://www.discogs.com/master/1164779","1778977","Hip Hop","Conscious",""
"Be The Cowboy","Mitski","2018","Pitchfork Album of the Year","https://www.discogs.com/master/1406567","4110740","Rock","Indie Rock",""
"Norman Fucking Rockwell!","Lana Del Rey","2019","Pitchfork Album of the Year; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/1597875","2445772","Pop; Rock","Ballad; Classic Rock; Dream Pop; Folk Rock; Psychedelic Rock; Soft Rock; Trip Hop",""
"Fetch The Bolt Cutters","Fiona Apple","2020","Pitchfork Album of the Year; Grammy for Best Alternative","https://www.discogs.com/master/1719775","255740","Folk, World, & Country; Pop; Rock","Alternative Rock; Art Rock; Experimental; Indie Pop",""
