"Cold Spring Harbor","Billy Joel","1971","Relation","https://www.discogs.com/master/40714","137418","Pop; Rock","Ballad; Folk Rock"
"Piano Man","Billy Joel","1973","Relation","https://www.discogs.com/master/56943","137418","Rock","Folk Rock; Pop Rock"
"There Goes Rhymin' Simon","Paul Simon","1973","Relation","https://www.discogs.com/master/55686","106474","Rock","Folk Rock; Pop Rock"
"Streetlife Serenade","Billy Joel","1974","Relation","https://www.discogs.com/master/56963","137418","Pop; Rock","Folk Rock; Soft Rock"
"Seychelles","Masayoshi Takanaka","1976","Relation","https://www.discogs.com/master/602189","128537","Jazz; Latin","Fusion; Jazz-Funk"
"Turnstiles","Billy Joel","1976","Relation","https://www.discogs.com/master/56978","137418","Rock","Folk Rock; Pop Rock"
"An Insatiable High","Masayoshi Takanaka","1977","Relation","https://www.discogs.com/master/586368","128537","Funk / Soul; Jazz","Fusion; Jazz-Funk"
"Takanaka","Masayoshi Takanaka","1977","Relation","https://www.discogs.com/master/469706","128537","Jazz","Fusion; Jazz-Funk"
"Brasilian Skies","Masayoshi Takanaka","1978","Relation","https://www.discogs.com/master/602192","128537","Jazz","Fusion; Jazz-Funk; Latin Jazz"
"On Guitar","Masayoshi Takanaka","1978","Relation","https://www.discogs.com/master/1050166","128537","Blues; Funk / Soul; Jazz; Non-Music","Education; Fusion"
"Casiopea","Casiopea","1979","Relation","https://www.discogs.com/master/851695","259140","Jazz","Fusion; Jazz-Funk"
"Cha Cha Me","Bacco","1979","Relation","https://www.discogs.com/master/602195","7063334","Jazz","Fusion; Jazz-Funk"
"Jolly Jive = ジョリー・ジャイヴ","Masayoshi Takanaka","1979","Relation","https://www.discogs.com/master/602197","128537; 128537","Funk / Soul; Jazz; Pop","Fusion; Jazz-Funk"
"Super Flight","Casiopea","1979","Relation","https://www.discogs.com/master/461753","259140","Jazz","Fusion; Jazz-Funk"
"Ambient 2 (The Plateaux Of Mirror)","Harold Budd, Brian Eno","1980","Relation","https://www.discogs.com/master/6195","37749; 634","Electronic","Ambient"
"Make Up City","Casiopea","1980","Relation","https://www.discogs.com/master/383359","259140","Jazz","Fusion; Jazz-Funk"
"Ride On Time","Tatsuro Yamashita","1980","Relation","https://www.discogs.com/master/966502","119485","Funk / Soul; Pop","City Pop; Disco; Funk; Soul"
"Alone","Masayoshi Takanaka","1981","Relation","https://www.discogs.com/master/1011695","128537","Electronic; Funk / Soul; Jazz; Pop","Fusion; Jazz-Funk"
"Cross Point","Casiopea","1981","Relation","https://www.discogs.com/master/697884","259140","Jazz","Fusion"
"The Rainbow Goblins","Masayoshi Takanaka","1981","Relation","https://www.discogs.com/master/392507","128537","Jazz; Rock","Fusion; Psychedelic Rock"
"哀しみの孔雀","Anri","1981","Relation","https://www.discogs.com/master/1056252","1339554","Funk / Soul; Pop; Rock","Art Rock; City Pop; New Wave; Pop Rock"
"Ocean Breeze","Masayoshi Takanaka","1982","Relation","https://www.discogs.com/master/602218","128537","Jazz","Fusion; Jazz-Funk"
"Saudade","Masayoshi Takanaka","1982","Relation","https://www.discogs.com/master/513235","128537","Electronic; Funk / Soul; Rock","Disco; Fusion; Jazz-Funk"
"The Nylon Curtain","Billy Joel","1982","Relation","https://www.discogs.com/master/72046","137418","Rock","Pop Rock"
"An Innocent Man","Billy Joel","1983","Relation","https://www.discogs.com/master/43553","137418","Rock","Pop Rock; Rock & Roll"
"Bi・Ki・Ni","Anri","1983","Relation","https://www.discogs.com/master/743323","1339554","Funk / Soul; Pop","Boogie; City Pop; Disco; Funk"
"Kill 'Em All","Metallica","1983","Relation","https://www.discogs.com/master/6387","18839","Rock","Speed Metal; Thrash"
"Coool","Anri","1984","Relation","https://www.discogs.com/master/1056253","1339554; 1339554","Funk / Soul; Pop","Boogie; City Pop; Disco; Funk; Soul"
"Down Upbeat","Casiopea","1984","Relation","https://www.discogs.com/master/221546","259140","Jazz","Funk; Fusion"
