"Chega De Saudade","João Gilberto","1959","/mu/ Bossa Nova","https://www.discogs.com/master/167273","346760","Folk, World, & Country; Jazz; Latin","Bossa Nova; Samba"
"Jazz Samba","Stan Getz, Charlie Byrd","1962","1001 Albums You Must Hear Before You Die; /mu/ Bossa Nova","https://www.discogs.com/master/107195","30486; 252820","Jazz; Latin","Bossa Nova; Latin Jazz; Samba"
"À Vontade","Baden Powell","1963","/mu/ Bossa Nova","https://www.discogs.com/master/420482","59406","Jazz; Latin","Bossanova; Samba"
"Samba Esquema Novo","Jorge Ben","1963","/mu/ Bossa Nova","https://www.discogs.com/master/223606","30700","Jazz; Latin","Bossa Nova"
"Getz / Gilberto","Stan Getz, João Gilberto","1964","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Jazz Instrumental; Rolling Stone's 500 Greatest Albums of All Time; /mu/ Bossa Nova; /mu/ Essentials","https://www.discogs.com/master/85178","30486; 346760","Jazz","Bossa Nova; Latin Jazz"
"Opinião De Nara","Nara Leão","1964","/mu/ Bossa Nova","https://www.discogs.com/master/298675","83772","Latin","Bossanova"
"Braziliana","Luiz Bonfá, Maria Toledo","1965","/mu/ Bossa Nova","https://www.discogs.com/master/234036","252003; 358131","Jazz; Latin","Bossanova"
"The Astrud Gilberto Album","Astrud Gilberto","1965","/mu/ Bossa Nova","https://www.discogs.com/master/107174","8699","Jazz; Latin","Bossa Nova; Easy Listening"
"Edu E Bethania","Edu Lobo, Maria Bethânia","1966","/mu/ Bossa Nova","https://www.discogs.com/master/337398","3783; 465367","Jazz; Latin","Bossa Nova; MPB"
"Herb Alpert Presents Sergio Mendes & Brasil '66","Sérgio Mendes & Brasil '66","1966","/mu/ Bossa Nova","https://www.discogs.com/master/92984","58353","Jazz; Latin","Easy Listening; Latin Jazz"
"Quarteto Nôvo","Quarteto Novo","1967","/mu/ Bossa Nova","https://www.discogs.com/master/167276","83735","Jazz","Bossa Nova"
"Wave","Antonio Carlos Jobim","1967","/mu/ Bossa Nova","https://www.discogs.com/master/96362","27991","Jazz","Bossa Nova; Latin Jazz"
"Samba '68","Marcos Valle","1968","/mu/ Bossa Nova","https://www.discogs.com/master/167263","3756","Jazz","Bossa Nova; Latin Jazz"
"Stone Flower","Antonio Carlos Jobim","1970","/mu/ Bossa Nova","https://www.discogs.com/master/96349","27991","Jazz; Latin","Bossa Nova; Latin Jazz; Samba"
"Dez Anos Depois","Nara Leão","1971","/mu/ Bossa Nova","https://www.discogs.com/master/541232","83772","Jazz; Latin","Bossa Nova; MPB"
"Elis & Tom","Elis Regina, Antonio Carlos Jobim","1974","/mu/ Bossa Nova","https://www.discogs.com/master/96344","30703; 27991","Jazz; Latin","Bossa Nova; Latin Jazz"
