"Songs","Sugar Babe","1975","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/5OyHnuKpOEZxvDZRu-na2_AD9KXPPfLNaNF2FjkbSNQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NTY0MDgtMTMzNjEy/MzA3OS5qcGVn.jpeg"")","https://www.discogs.com/master/398344","1062022","Funk / Soul; Pop; Rock","AOR; City Pop; Folk Rock; Pop Rock; Soft Rock; Soul",""
"Lagoon","Shigeru Suzuki","1976","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/mF_rZMub8k3C5dAmQq_FVgRqBoMKCLwGJp3hNqdsjNQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE1/NDQ3MTEtMTQ5OTc1/MDU5OS05OTMwLmpw/ZWc.jpeg"")","https://www.discogs.com/master/915889","483912","Funk / Soul; Jazz; Latin","City Pop; Funk; Jazz-Funk; Samba",""
"Sunshower","Taeko Ohnuki","1977","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/M1WaaI0231XNYl34KkMilWAxk4gFV4v-mKaA6Ahvh1E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM2/NjQyODYtMTUyNjU3/NTQ5NC03NDMxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/742672","556509","Funk / Soul; Jazz; Pop","City Pop; Funk; Jazz-Funk; Soul",""
"Pacific","Haruomi Hosono, Shigeru Suzuki, Tatsuro Yamashita","1978","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/-3pYU0sUSeVDQXxebkK2lHuHU3nKEJEgWFnVRJ15FZU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMz/ODE5MzQtMTU5NjQ1/NzIxOS02ODY0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/408982","19132; 483912; 119485","Electronic; Jazz","Easy Listening; Electro; Fusion; Jazz-Funk; Synth-pop",""
"Thousand Knives Of","Ryuichi Sakamoto","1978","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/gP4wk8DIOPWRMV5WuQAZKd7wuHt4gD4lBrj9XoSdYmU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjUzOTQtMTQxMzEw/NjM3OC0xNTE3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/47218","5087","Classical; Electronic","Abstract; Experimental; Modern Classical; Synth-pop",""
"Late Late Summer","Bread & Butter","1979","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/wrXlEikaP5A2IB3tGnB749maVNuK1SGJl0NJpoIiBro/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU0/MTIyNzUtMTYwODQ2/MTMyNi02MjkxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/874928","1431495","Funk / Soul; Rock","City Pop; Funk; Soft Rock",""
"Papa Hemingway","Kazuhiko Kato","1979","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/Mfs4DRpsqBpjgQeg9Fdg53ylW7ZYaY1UfsxNWqYw7U4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM2/ODg4MDYtMTU0NDA5/MDg2Ni01NzgyLmpw/ZWc.jpeg"")","https://www.discogs.com/master/448486","165582","Electronic; Pop; Rock","City Pop; Pop Rock; Synth-pop; Vocal",""
"Monochrome","Minako Yoshida","1980","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/AvFETVL2AMHC1Y6ChmbHZczArt9g320kx_WXY87niB8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/MzQzMjMtMTUyMjky/NjEzOC00MTYyLmpw/ZWc.jpeg"")","https://www.discogs.com/master/675183","315098","Funk / Soul; Pop","City Pop; Disco; Funk; Soul",""
"Pocket Park","Miki Matsubara","1980","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/d5AUzxTc2G7-roBbuVllGeOkv2sCUObpehU3Yg0pd8A/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM3/NzA2MzYtMTQ3NzM2/NTA2NS0xMzE5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/949357","2859515","Funk / Soul; Pop","City Pop; Disco",""
"Tasogare = たそがれ","Mai Yamane, Mai Yamane","1980","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/k7jQ9mOUaC31W8KTrydYhs0AmZOPExnMN2cJG9mGhtY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY2/ODk1NTQtMTQyNDY5/MDQzNy04MzM3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/1197334","294155; 294155","Funk / Soul; Jazz; Pop; Rock","City Pop; Jazz-Funk",""
