1972,Charley Pride,A Sunshiny Day with Charley Pride,Won
1973,Charlie Rich,Behind Closed Doors,Nominated
1973,Tammy Wynette,First Songs of the First Lady,Nominated
1973,Olivia Newton-John,Let Me Be There,Won
1974,Charlie Rich,A Very Special Love Song,Nominated
1973,Charlie Rich,Behind Closed Doors,Nominated
1974,John Denver,Back Home Again,Won
1974,Freddy Fender,Before the Next Teardrop Falls,Nominated
1975,Olivia Newton-John,Have You Never Been Mellow,Nominated
1975,Glen Campbell,Rhinestone Cowboy,Won
1976,Ronnie Milsap,20/20 Vision,Nominated
1975,Willie Nelson,Red Headed Stranger,Nominated
1977,Dolly Parton,New Harvest – First Gathering,Won
1976,Waylon Jennings,Are You Ready for the Country,Nominated
1977,Waylon Jennings,Ol' Waylon,Nominated
1978,Kenny Rogers,Ten Years of Gold,Won
1977,Dolly Parton,Here You Come Again,Nominated
1977,Linda Ronstadt,Simple Dreams,Nominated
1978,Kenny Rogers,The Gambler,Won
1979,Crystal Gayle,Miss the Mississippi,Nominated
1979,Waylon Jennings,Greatest Hits,Nominated
1978,Kenny Rogers,The Gambler,Won
1980,Waylon Jennings,Music Man,Nominated
1978,Kenny Rogers,Ten Years of Gold,Nominated
1980,Kenny Rogers,Greatest Hits,Won
1981,Alabama,Feels So Right,Nominated
1979,Waylon Jennings,Greatest Hits,Nominated
1980,Anne Murray,Anne Murray's Greatest Hits,Nominated
1982,Willie Nelson,Always on My Mind,Won
1982,Alabama,Mountain Music,Nominated
1981,The Oak Ridge Boys,Fancy Free,Nominated
1983,Alabama,The Closer You Get...,Won
1983,Lee Greenwood,Somebody's Gonna Love You,Nominated
1983,Merle Haggard and Willie Nelson,Pancho & Lefty,Nominated
1982,Ricky Skaggs,Highways & Heartaches,Nominated
1983,Kenny Rogers,Eyes That See in the Dark,Won
1984,Alabama,Roll On,Nominated
1983,Ricky Skaggs,Don't Cheat in Our Hometown,Nominated
1985,Alabama,40-Hour Week,Won
1984,Willie Nelson,City of New Orleans,Nominated
1984,Ricky Skaggs,Country Boy,Nominated
1986,Alabama,Greatest Hits,Won
1985,The Judds,Rockin' with the Rhythm,Nominated
