1988,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",Won
1988,Public Enemy,It Takes a Nation of Millions to Hold Us Back,Nominated
1988,Run–D.M.C.,Tougher Than Leather,Nominated
1988,MC Hammer,Let's Get It Started,Won
1988,Eazy-E,Eazy-Duz-It,Nominated
1989,Tone Lōc,Lōc-ed After Dark,Nominated
1990,MC Hammer,"Please Hammer, Don't Hurt 'Em",Won
1990,Public Enemy,Fear of a Black Planet,Nominated
1989,Vanilla Ice,To the Extreme,Nominated
1991,DJ Jazzy Jeff & The Fresh Prince,Homebase,Won
1990,LL Cool J,Mama Said Knock You Out,Nominated
1991,Public Enemy,Apocalypse 91... The Enemy Strikes Black,Nominated
2002,Eminem,The Eminem Show,Won
2002,Ashanti,Ashanti,Nominated
2001,Ludacris,Word of Mouf,Nominated
2002,Nelly,Nellyville,Nominated
2003,50 Cent,Get Rich or Die Tryin',Won
2002,Missy Elliott,Under Construction,Nominated
2002,Eminem,8 Mile: Music from and Inspired by the Motion Picture,Nominated
2002,Sean Paul,Dutty Rock,Nominated
2003,Outkast,Speakerboxxx/The Love Below,Won
2003,Jay-Z,The Black Album,Nominated
2004,Kanye West,The College Dropout,Nominated
2005,50 Cent,The Massacre,Won
2004,Eminem,Encore,Nominated
2004,T.I.,Urban Legend,Nominated
2005,The Black Eyed Peas,Monkey Business,Won
2005,Eminem,Curtain Call: The Hits,Nominated
2006,T.I.,King,Nominated
2007,T.I.,T.I. vs. T.I.P.,Won
2007,Bone Thugs-n-Harmony,Strength & Loyalty,Nominated
2006,Young Jeezy,The Inspiration,Nominated
2007,Kanye West,Graduation,Won
2007,Jay-Z,American Gangster,Nominated
2008,Lil Wayne,Tha Carter III,Nominated
2009,Jay-Z,The Blueprint 3,Won
2009,Eminem,Relapse,Nominated
2008,T.I.,Paper Trail,Nominated
2010,Eminem,Recovery,Won
2010,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Nominated
2010,Drake,Thank Me Later,Nominated
2010,Nicki Minaj,Pink Friday,Won
2011,Jay-Z and Kanye West,Watch the Throne,Nominated
2011,Lil Wayne,Tha Carter IV,Nominated
2012,Nicki Minaj,Pink Friday: Roman Reloaded,Won
2011,Drake,Take Care,Nominated
2011,J. Cole,Cole World: The Sideline Story,Nominated
2012,Macklemore & Ryan Lewis,The Heist,Won
2013,Jay-Z,Magna Carta Holy Grail,Nominated
2012,Kendrick Lamar,"Good Kid, M.A.A.D City",Nominated
2014,Iggy Azalea,The New Classic,Won
2013,Drake,Nothing Was the Same,Nominated
2013,Eminem,The Marshall Mathers LP 2,Nominated
2014,Nicki Minaj,The Pinkprint,Won
2015,Drake,If You're Reading This It's Too Late,Nominated
2014,J. Cole,2014 Forest Hills Drive,Nominated
2016,Drake,Views,Won
2015,Drake and Future,What a Time to Be Alive,Nominated
2015,Fetty Wap,Fetty Wap,Nominated
2017,Kendrick Lamar,DAMN.,Won
2017,Drake,More Life,Nominated
2017,Migos,Culture,Nominated
2018,Beerbongs & Bentleys,Post Malone,Won
