1972,Charley Pride,A Sunshiny Day with Charley Pride,AMA for Country (Won)
1972,Al Green,I'm Still in Love with You,AMA for Soul/R&B (Won)
1972,Diana Ross,Lady Sings the Blues,AMA for Pop/Rock (Won)
1973,Charlie Rich,Behind Closed Doors,"AMA for Pop/Rock (Won), AMA for Country (Nominated), AMA for Country (Nominated)"
1973,Gladys Knight & the Pips,Imagination,AMA for Soul/R&B (Won)
1973,Olivia Newton-John,Let Me Be There,AMA for Country (Won)
1974,John Denver,Back Home Again,AMA for Country (Won)
1975,The Temptations,A Song for You,AMA for Soul/R&B (Won)
1975,Olivia Newton-John,Have You Never Been Mellow,"AMA for Pop/Rock (Won), AMA for Country (Nominated)"
1975,Glen Campbell,Rhinestone Cowboy,AMA for Country (Won)
1976,Stevie Wonder,Songs in the Key of Life,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1976,Eagles,Their Greatest Hits (1971–1975),AMA for Pop/Rock (Won)
1977,Dolly Parton,New Harvest – First Gathering,AMA for Country (Won)
1977,Fleetwood Mac,Rumours,"AMA for Pop/Rock (Won), AMA for Pop/Rock (Nominated)"
1977,Bee Gees,Saturday Night Fever,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1978,John Travolta and Olivia Newton-John,Grease: The Original Soundtrack from the Motion Picture,AMA for Pop/Rock (Won)
1978,Kenny Rogers,Ten Years of Gold,"AMA for Country (Won), AMA for Country (Nominated)"
1978,Kenny Rogers,The Gambler,"AMA for Country (Won), AMA for Country (Won)"
1979,Michael Jackson,Off the Wall,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won), AMA for Soul/R&B (Won)"
1979,Bee Gees,Spirits Having Flown,AMA for Pop/Rock (Won)
1980,Billy Joel,Glass Houses,AMA for Pop/Rock (Won)
1980,Kenny Rogers,Greatest Hits,"AMA for Pop/Rock (Won), AMA for Country (Won)"
1981,Rick James,Street Songs,AMA for Soul/R&B (Won)
1982,Willie Nelson,Always on My Mind,"AMA for Pop/Rock (Won), AMA for Country (Won)"
1982,Aretha Franklin,Jump to It,AMA for Soul/R&B (Won)
1982,Michael Jackson,Thriller,"AMA for Pop/Rock (Won), AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1983,Kenny Rogers,Eyes That See in the Dark,AMA for Country (Won)
1983,Alabama,The Closer You Get...,AMA for Country (Won)
1984,Bruce Springsteen,Born in the U.S.A.,AMA for Pop/Rock (Won)
1984,Kool & the Gang,Emergency,AMA for Soul/R&B (Won)
1984,Prince,Purple Rain,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Won)"
1985,Alabama,40-Hour Week,AMA for Country (Won)
1985,Whitney Houston,Whitney Houston,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Nominated), AMA for Soul/R&B (Won)"
1986,Paul Simon,Graceland,AMA for Pop/Rock (Won)
1986,Alabama,Greatest Hits,AMA for Country (Won)
1986,Anita Baker,Rapture,"AMA for Soul/R&B (Nominated), AMA for Soul/R&B (Won)"
1987,Randy Travis,Always & Forever,"AMA for Country (Won), AMA for Country (Won)"
1987,Various Artists,Dirty Dancing,AMA for Pop/Rock (Won)
1987,George Michael,Faith,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1988,Bobby Brown,Don't Be Cruel,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1988,New Kids on the Block,Hangin' Tough,AMA for Pop/Rock (Won)
1988,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",AMA for Rap/HipHop (Won)
1988,MC Hammer,Let's Get It Started,"AMA for Soul/R&B (Nominated), AMA for Rap/HipHop (Won)"
1988,Randy Travis,Old 8×10,AMA for Country (Won)
1989,Phil Collins,...But Seriously,AMA for Pop/Rock (Won)
1989,Reba McEntire,Reba Live,AMA for Country (Won)
1990,Garth Brooks,No Fences,AMA for Country (Won)
1990,MC Hammer,"Please Hammer, Don't Hurt 'Em","AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won), AMA for Rap/HipHop (Won)"
1991,Michael Jackson,Dangerous,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Nominated)"
1991,Reba McEntire,For My Broken Heart,AMA for Country (Won)
1991,DJ Jazzy Jeff & The Fresh Prince,Homebase,AMA for Rap/HipHop (Won)
1991,Luther Vandross,Power of Love,AMA for Soul/R&B (Won)
1991,Michael Bolton,"Time, Love & Tenderness",AMA for Pop/Rock (Won)
1992,Alan Jackson,A Lot About Livin' (And a Little 'bout Love),AMA for Country (Won)
1992,En Vogue,Funky Divas,AMA for Soul/R&B (Won)
1992,Whitney Houston,The Bodyguard,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Won)"
1993,Toni Braxton,Toni Braxton,AMA for Soul/R&B (Won)
1994,Eagles,Hell Freezes Over,AMA for Pop/Rock (Won)
1994,Boyz II Men,II,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1994,Reba McEntire,Read My Mind,AMA for Country (Won)
1994,Garth Brooks,The Hits,AMA for Country (Won)
