1959,Count Basie,Basie,Grammy Award for Best Jazz Instrumental (Won)
1959,Henry Mancini,The Music from Peter Gunn,Grammy Award for Album of the Year (Won)
1960,Frank Sinatra,Come Dance with Me!,Grammy Award for Album of the Year (Won)
1960,Jonah Jones,I Dig Chicks,Grammy Award for Best Jazz Instrumental (Won)
1961,Bob Newhart,The Button-Down Mind of Bob Newhart,Grammy Award for Album of the Year (Won)
1961,André Previn,West Side Story,Grammy Award for Best Jazz Instrumental (Won)
1962,André Previn,André Previn Plays Songs by Harold Arlen,Grammy Award for Best Jazz Instrumental (Won)
1962,Judy Garland,Judy at Carnegie Hall,Grammy Award for Album of the Year (Won)
1963,Stan Getz,Desafinado,Grammy Award for Best Jazz Instrumental (Won)
1963,Vaughn Meader,The First Family,Grammy Award for Album of the Year (Won)
1964,Bill Evans,Conversations with Myself,Grammy Award for Best Jazz Instrumental (Won)
1964,Barbra Streisand,The Barbra Streisand Album,Grammy Award for Album of the Year (Won)
1965,Roger Miller,Dang Me/Chug-a-Lug,Grammy Award for Best Country (Won)
1965,Stan Getz,Getz/Gilberto,"Grammy Award for Best Jazz Instrumental (Won), Grammy Award for Album of the Year (Won)"
1966,Frank Sinatra,September of My Years,Grammy Award for Album of the Year (Won)
1966,Ramsey Lewis,The In Crowd,Grammy Award for Best Jazz Instrumental (Won)
1966,Roger Miller,The Return of Roger Miller,Grammy Award for Best Country (Won)
1967,Frank Sinatra,A Man and His Music,Grammy Award for Album of the Year (Won)
1967,Wes Montgomery,Goin' Out of My Head,Grammy Award for Best Jazz Instrumental (Won)
1968,Cannonball Adderley,"Mercy, Mercy, Mercy! Live at 'The Club'",Grammy Award for Best Jazz Instrumental (Won)
1968,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Grammy Award for Best Pop Vocal (Won), Grammy Award for Album of the Year (Won)"
1969,Bill Evans,Bill Evans at the Montreux Jazz Festival,Grammy Award for Best Jazz Instrumental (Won)
1969,Glen Campbell,By the Time I Get to Phoenix,Grammy Award for Album of the Year (Won)
1970,"Blood, Sweat & Tears","Blood, Sweat & Tears",Grammy Award for Album of the Year (Won)
1970,Wes Montgomery,Willow Weep for Me,Grammy Award for Best Jazz Instrumental (Won)
1971,Bill Evans,Alone,Grammy Award for Best Jazz Instrumental (Won)
1971,Simon & Garfunkel,Bridge over Troubled Water,Grammy Award for Album of the Year (Won)
1972,Charley Pride,A Sunshiny Day with Charley Pride,AMA for Country (Won)
1972,Al Green,I'm Still in Love with You,AMA for Soul/R&B (Won)
1972,Diana Ross,Lady Sings the Blues,AMA for Pop/Rock (Won)
1972,Carole King,Tapestry,Grammy Award for Album of the Year (Won)
1972,Bill Evans,The Bill Evans Album,Grammy Award for Best Jazz Instrumental (Won)
1973,Charlie Rich,Behind Closed Doors,"AMA for Pop/Rock (Won), AMA for Country (Nominated), AMA for Country (Nominated)"
1973,Freddie Hubbard,First Light,Grammy Award for Best Jazz Instrumental (Won)
1973,Gladys Knight & the Pips,Imagination,AMA for Soul/R&B (Won)
1973,Olivia Newton-John,Let Me Be There,AMA for Country (Won)
1973,George Harrison,The Concert for Bangladesh,Grammy Award for Album of the Year (Won)
1974,John Denver,Back Home Again,AMA for Country (Won)
1974,Stevie Wonder,Innervisions,Grammy Award for Album of the Year (Won)
1974,Supersax,Supersax Plays Bird,Grammy Award for Best Jazz Instrumental (Won)
1975,The Temptations,A Song for You,AMA for Soul/R&B (Won)
1975,Stevie Wonder,Fulfillingness' First Finale,Grammy Award for Album of the Year (Won)
1975,Olivia Newton-John,Have You Never Been Mellow,"AMA for Pop/Rock (Won), AMA for Country (Nominated)"
1975,Glen Campbell,Rhinestone Cowboy,AMA for Country (Won)
1975,Joe Pass|Niels-Henning Ørsted Pedersen|Oscar Peterson,The Trio,Grammy Award for Best Jazz Instrumental (Won)
1976,Chick Corea|Return to Forever,No Mystery,Grammy Award for Best Jazz Instrumental (Won)
1976,Stevie Wonder,Songs in the Key of Life,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won), Grammy Award for Album of the Year (Won)"
1976,Paul Simon,Still Crazy After All These Years,Grammy Award for Album of the Year (Won)
1976,Eagles,Their Greatest Hits (1971–1975),AMA for Pop/Rock (Won)
1977,Dolly Parton,New Harvest – First Gathering,AMA for Country (Won)
1977,Fleetwood Mac,Rumours,"AMA for Pop/Rock (Won), AMA for Pop/Rock (Nominated), Grammy Award for Album of the Year (Won)"
1977,Bee Gees,Saturday Night Fever,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won)"
1977,Chick Corea,The Leprechaun,Grammy Award for Best Jazz Instrumental (Won)
1978,Ella Fitzgerald,Fitzgerald and Pass... Again,Grammy Award for Best Jazz Vocal (Won)
1978,John Travolta and Olivia Newton-John,Grease: The Original Soundtrack from the Motion Picture,AMA for Pop/Rock (Won)
1978,Kenny Rogers,Ten Years of Gold,"AMA for Country (Won), AMA for Country (Nominated)"
1978,Kenny Rogers,The Gambler,"AMA for Country (Won), AMA for Country (Won)"
1978,Phil Woods,The Phil Woods Six – Live from the Showboat,Grammy Award for Best Jazz Instrumental (Won)
1979,Al Jarreau,All Fly Home,Grammy Award for Best Jazz Vocal (Won)
1979,Chick Corea,Friends,Grammy Award for Best Jazz Instrumental (Won)
1979,Michael Jackson,Off the Wall,"AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won), AMA for Soul/R&B (Won)"
1979,Bee Gees|Various artists,Saturday Night Fever: The Original Movie Sound Track,Grammy Award for Album of the Year (Won)
1979,Bee Gees,Spirits Having Flown,AMA for Pop/Rock (Won)
1980,Billy Joel,52nd Street,Grammy Award for Album of the Year (Won)
1980,Chick Corea|Gary Burton,Duet,Grammy Award for Best Jazz Instrumental (Won)
1980,Ella Fitzgerald,Fine and Mellow,Grammy Award for Best Jazz Vocal (Won)
1980,Billy Joel,Glass Houses,AMA for Pop/Rock (Won)
1980,Kenny Rogers,Greatest Hits,"AMA for Pop/Rock (Won), AMA for Country (Won)"
1981,Christopher Cross,Christopher Cross,Grammy Award for Album of the Year (Won)
1981,Rick James,Street Songs,AMA for Soul/R&B (Won)
1981,Bill Evans,We Will Meet Again,Grammy Award for Best Jazz Instrumental (Won)
1982,Willie Nelson,Always on My Mind,"AMA for Pop/Rock (Won), AMA for Country (Won)"
1982,Chick Corea|Gary Burton,"Chick Corea & Gary Burton in Concert - Zurich, October 28, 1979",Grammy Award for Best Jazz Instrumental (Won)
1982,John Lennon,Double Fantasy,Grammy Award for Album of the Year (Won)
1982,Aretha Franklin,Jump to It,AMA for Soul/R&B (Won)
1982,Michael Jackson,Thriller,"AMA for Pop/Rock (Won), AMA for Pop/Rock (Nominated), AMA for Soul/R&B (Won), Grammy Award for Album of the Year (Won)"
1983,Phil Woods,"""More"" Live",Grammy Award for Best Jazz Instrumental (Won)
1983,"Clarence ""Gatemouth"" Brown",Alright Again,Grammy Award for Best Traditional Blues (Won)
1983,Kenny Rogers,Eyes That See in the Dark,AMA for Country (Won)
1983,Alabama,The Closer You Get...,AMA for Country (Won)
1983,Toto,Toto IV,Grammy Award for Album of the Year (Won)
1984,Phil Woods,At the Vanguard,Grammy Award for Best Jazz Instrumental (Won)
1984,B.B. King,Blues 'N' Jazz,Grammy Award for Best Traditional Blues (Won)
1984,Bruce Springsteen,Born in the U.S.A.,AMA for Pop/Rock (Won)
1984,Kool & the Gang,Emergency,AMA for Soul/R&B (Won)
1984,José Feliciano,Me Enamoré,Grammy Award for Best Latin Pop (Won)
1984,Tito Puente,On Broadway,Grammy Award for Best Tropical Latin (Won)
1984,Prince,Purple Rain,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Won)"
1985,Alabama,40-Hour Week,AMA for Country (Won)
1985,Black Uhuru,Anthem,Grammy Award for Best Reggae (Won)
1985,"John P. Hammond|Stevie Ray Vaughan|Double Trouble|Sugar Blue|Koko Taylor & the Blues Machine|Luther ""Guitar Junior"" Johnson|J.B. Hutto & the New Hawks",Blues Explosion,Grammy Award for Best Traditional Blues (Won)
1985,Lionel Richie,Can't Slow Down,Grammy Award for Album of the Year (Won)
1985,Art Blakey,New York Scene,Grammy Award for Best Jazz Instrumental (Won)
1985,Joe Williams,Nothin' but the Blues,Grammy Award for Best Jazz Vocal (Won)
1985,Eddie Palmieri,Palo Pa' Rumba,Grammy Award for Best Tropical Latin (Won)
1985,Plácido Domingo,Siempre en Mi Corazón — Always in My Heart,Grammy Award for Best Latin Pop (Won)
1985,Whitney Houston,Whitney Houston,"AMA for Pop/Rock (Won), AMA for Soul/R&B (Nominated), AMA for Soul/R&B (Won)"
1986,B.B. King,"""My Guitar Sings the Blues""",Grammy Award for Best Traditional Blues (Won)
1986,Wynton Marsalis,Black Codes (From the Underground),Grammy Award for Best Jazz Instrumental (Won)
1986,Jimmy Cliff,Cliff Hanger,Grammy Award for Best Reggae (Won)
1986,Lani Hall,Es Fácil Amar,Grammy Award for Best Latin Pop (Won)
