Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,https://www.discogs.com/master/23934,Rock,Psychedelic Rock|Rock & Roll
Kings Of The Wild Frontier,Adam And The Ants,1980,https://www.discogs.com/master/63446,Pop|Rock,New Wave|Post-Punk
Memories,Barbra Streisand,1981,https://www.discogs.com/master/74324,Pop|Rock,Ballad|Disco|Soft Rock|Vocal
Thriller,Michael Jackson,1982,https://www.discogs.com/master/8883,Funk / Soul|Pop,Disco
Diamond Life,Sade,1984,https://www.discogs.com/master/43936,Funk / Soul|Jazz,Soul
Brothers In Arms,Dire Straits,1985,https://www.discogs.com/master/23684,Rock,AOR|Classic Rock
No Jacket Required,Phil Collins,1985,https://www.discogs.com/master/98041,Funk / Soul|Pop|Rock,Pop Rock
...Nothing Like The Sun,Sting,1987,https://www.discogs.com/master/33572,Rock,Pop Rock|Soft Rock
The First Of A Million Kisses,Fairground Attraction,1988,https://www.discogs.com/master/122442,Pop|Rock,Folk Rock
The Raw & The Cooked,Fine Young Cannibals,1988,https://www.discogs.com/master/70185,Electronic|Funk / Soul|Pop|Rock,Alternative Rock|Pop Rock|Synth-pop
Listen Without Prejudice Vol. 1,George Michael,1990,https://www.discogs.com/master/96742,Electronic|Funk / Soul|Pop|Rock,Contemporary R&B|Dance-pop|Pop Rock|Soul
Seal,Seal,1991,https://www.discogs.com/master/61188,Electronic|Funk / Soul|Pop|Rock,Downtempo|Soul|Synth-pop
Connected,Stereo MC's,1992,https://www.discogs.com/master/108368,Electronic|Funk / Soul,Acid Jazz|Funk|Trip Hop
Diva,Annie Lennox,1992,https://www.discogs.com/master/33599,Electronic|Pop,Ballad|Synth-pop
Parklife,Blur,1994,https://www.discogs.com/master/94761,Rock,Brit Pop|Indie Rock
(What's The Story) Morning Glory?,Oasis,1995,https://www.discogs.com/master/52220,Pop|Rock,Brit Pop
Everything Must Go,Manic Street Preachers,1996,https://www.discogs.com/master/102213,Rock,Alternative Rock|Brit Pop|Indie Rock
Urban Hymns,The Verve,1997,https://www.discogs.com/master/20634,Rock,Alternative Rock|Brit Pop
This Is My Truth Tell Me Yours,Manic Street Preachers,1998,https://www.discogs.com/master/102232,Rock,Alternative Rock
No Angel,Dido,1999,https://www.discogs.com/master/29015,Electronic,Downtempo
The Man Who,Travis,1999,https://www.discogs.com/master/33515,Rock,Alternative Rock|Brit Pop|Indie Rock
Parachutes,Coldplay,2000,https://www.discogs.com/master/3334,Rock,Alternative Rock
A Rush Of Blood To The Head,Coldplay,2002,https://www.discogs.com/master/3354,Rock,Alternative Rock|Pop Rock
Permission To Land,The Darkness,2003,https://www.discogs.com/master/52484,Rock,Arena Rock|Glam
Hopes And Fears,Keane,2004,https://www.discogs.com/master/101340,Rock,Brit Pop
X&Y,Coldplay,2005,https://www.discogs.com/master/26787,Rock,Alternative Rock|Pop Rock
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006,https://www.discogs.com/master/76279,Rock,Indie Rock
Favourite Worst Nightmare,Arctic Monkeys,2007,https://www.discogs.com/master/69774,Rock,Alternative Rock|Indie Rock
Rockferry,Duffy,2008,https://www.discogs.com/master/71659,Funk / Soul|Pop,Neo Soul|Soul|Vocal
Lungs,Florence And The Machine,2009,https://www.discogs.com/master/164106,Electronic|Pop|Rock,Pop Rock|Synth-pop
Sigh No More,Mumford & Sons,2009,https://www.discogs.com/master/203099,Pop|Rock,Bluegrass|Folk|Folk Rock
21,Adele,2011,https://www.discogs.com/master/303567,Blues|Funk / Soul|Jazz|Pop,Acoustic|Neo Soul|Piano Blues|Soul-Jazz
Our Version Of Events,Emeli Sande,2012,https://www.discogs.com/master/426454,Electronic|Funk / Soul|Pop,Breakbeat|Rhythm & Blues|Soul
AM,Arctic Monkeys,2013,https://www.discogs.com/master/593987,Rock,Alternative Rock|Indie Rock
X,Ed Sheeran,2014,https://www.discogs.com/master/701407,Pop|Rock,Acoustic|Pop Rock
25,Adele,2015,https://www.discogs.com/master/912912,Blues|Funk / Soul|Pop,Ballad|Neo Soul|Piano Blues
★ (Blackstar),David Bowie,2016,https://www.discogs.com/master/939598,Electronic|Jazz|Rock,Art Rock|Experimental|Jazz-Rock
Gang Signs & Prayer,Stormzy,2017,https://www.discogs.com/master/1140860,Hip Hop,Grime
