1959,Henry Mancini,The Music from Peter Gunn,Won
1959,Frank Sinatra,Come Fly with Me,Nominated
1959,Ella Fitzgerald,Ella Fitzgerald Sings the Irving Berlin Songbook,Nominated
1959,Frank Sinatra,Frank Sinatra Sings for Only the Lonely,Nominated
1959,Van Cliburn,"Tchaikovsky: Concerto No. 1 in B Flat Minor, Op. 23",Nominated
1960,Frank Sinatra,Come Dance with Me!,Won
1960,Harry Belafonte,Belafonte at Carnegie Hall,Nominated
1960,Henry Mancini,More Music From Peter Gunn,Nominated
1960,Van Cliburn,Rachmaninoff Piano Concerto No. 3,Nominated
1960,Robert Russell Bennett,"Victory at Sea, Vol. 1",Nominated
1961,Bob Newhart,The Button-Down Mind of Bob Newhart,Won
1961,Harry Belafonte,Belafonte Returns to Carnegie Hall,Nominated
1961,Sviatoslav Richter,Brahms: Concert No. 2 in B-Flat,Nominated
1961,Frank Sinatra,Nice 'n' Easy,Nominated
1961,Erich Leinsdorf,Puccini: Turandot,Nominated
1961,Nat King Cole,Wild Is Love,Nominated
1962,Judy Garland,Judy at Carnegie Hall,Won
1962,Henry Mancini,Breakfast at Tiffany's Soundtrack,Nominated
1962,Ray Charles,Genius+Soul=Jazz,Nominated
1962,Si Zentner|Johnny Mann,Great Band with Great Voices,Nominated
1962,Nat King Cole,The Nat King Cole Story,Nominated
1962,Various Artists,West Side Story Soundtrack,Nominated
1963,Vaughn Meader,The First Family,Won
1963,Tony Bennett,I Left My Heart in San Francisco,Nominated
1963,Stan Getz|Charlie Byrd,Jazz Samba,Nominated
1963,Ray Charles,Modern Sounds in Country and Western Music,Nominated
1963,Allan Sherman,"My Son, the Folk Singer",Nominated
1964,Barbra Streisand,The Barbra Streisand Album,Won
1964,The Swingle Singers,Bach's Greatest Hits,Nominated
1964,Andy Williams,Days of Wine and Roses and Other TV Requests,Nominated
1964,Al Hirt,Honey in the Horn,Nominated
1964,The Singing Nun,The Singing Nun,Nominated
1965,Stan Getz,Getz/Gilberto,Won
1965,Al Hirt,Cotton Candy,Nominated
1965,Various Artists,Funny Girl: Original Broadway Cast,Nominated
1965,Barbra Streisand,People,Nominated
1965,Henry Mancini,The Pink Panther,Nominated
1966,Frank Sinatra,September of My Years,Won
1966,The Beatles,Help!,Nominated
1966,Barbra Streisand,My Name Is Barbra,Nominated
1966,Eddy Arnold,My World,Nominated
1966,Various Artists,The Sound of Music Soundtrack,Nominated
1967,Frank Sinatra,A Man and His Music,Won
1967,Barbra Streisand,Color Me Barbra,Nominated
1967,Maurice Jarre,Dr. Zhivago Soundtrack,Nominated
1967,The Beatles,Revolver,Nominated
1967,Herb Alpert & the Tijuana Brass,What Now My Love,Nominated
1968,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Won
1968,Frank Sinatra|Antonio Carlos Jobim,Frank Sinatra & Antonio Carlos Jobim,Nominated
1968,Vikki Carr,It Must Be Him,Nominated
1968,Ed Ames,My Cup Runneth Over,Nominated
1968,Bobbie Gentry,Ode to Billie Joe,Nominated
1969,Glen Campbell,By the Time I Get to Phoenix,Won
1969,Simon & Garfunkel,Bookends,Nominated
1969,José Feliciano,Feliciano!,Nominated
1969,The Beatles,Magical Mystery Tour,Nominated
1969,Richard Harris,A Tramp Shining,Nominated
1970,"Blood, Sweat & Tears","Blood, Sweat & Tears",Won
1970,The Beatles,Abbey Road,Nominated
1970,The 5th Dimension,The Age of Aquarius,Nominated
1970,"Crosby, Stills & Nash","Crosby, Stills & Nash",Nominated
1970,Johnny Cash,At San Quentin,Nominated
1971,Simon & Garfunkel,Bridge over Troubled Water,Won
1971,Chicago,Chicago,Nominated
1971,Carpenters,Close to You,Nominated
1971,"Crosby, Stills, Nash and Young",Déjà Vu,Nominated
1971,Elton John,Elton John,Nominated
1971,James Taylor,Sweet Baby James,Nominated
1972,Carole King,Tapestry,Won
1972,George Harrison,All Things Must Pass,Nominated
1972,Carpenters,Carpenters,Nominated
1972,Various Artists,Jesus Christ Superstar (London Production),Nominated
1972,Isaac Hayes,Shaft,Nominated
1973,George Harrison,The Concert for Bangladesh,Won
1973,Don McLean,American Pie,Nominated
1973,Various Artists,Jesus Christ Superstar (Original Broadway Cast Recording),Nominated
1973,Neil Diamond,Moods,Nominated
1973,Nilsson,Nilsson Schmilsson,Nominated
1974,Stevie Wonder,Innervisions,Won
1974,Charlie Rich,Behind Closed Doors,Nominated
1974,Bette Midler,The Divine Miss M,Nominated
1974,Roberta Flack,Killing Me Softly,Nominated
1974,Paul Simon,There Goes Rhymin' Simon,Nominated
1975,Stevie Wonder,Fulfillingness' First Finale,Won
1975,John Denver,Back Home Again,Nominated
1975,Paul McCartney|Wings,Band on the Run,Nominated
1975,Elton John,Caribou,Nominated
1975,Joni Mitchell,Court and Spark,Nominated
1976,Paul Simon,Still Crazy After All These Years,Won
1976,Janis Ian,Between the Lines,Nominated
1976,Elton John,Captain Fantastic and the Brown Dirt Cowboy,Nominated
1976,Linda Ronstadt,Heart Like a Wheel,Nominated
1976,The Eagles,One of These Nights,Nominated
1977,Stevie Wonder,Songs in the Key of Life,Won
1977,George Benson,Breezin',Nominated
1977,Chicago,Chicago X,Nominated
1977,Peter Frampton,Frampton Comes Alive!,Nominated
1977,Boz Scaggs,Silk Degrees,Nominated
1978,Fleetwood Mac,Rumours,Won
1978,Steely Dan,Aja,Nominated
1978,The Eagles,Hotel California,Nominated
1978,James Taylor,JT,Nominated
1978,John Williams conducting the London Symphony Orchestra,Star Wars Soundtrack,Nominated
1979,Bee Gees|Various artists,Saturday Night Fever: The Original Movie Sound Track,Won
1979,Barry Manilow,Even Now,Nominated
1979,Various Artists,Grease Original Soundtrack Album,Nominated
1979,Jackson Browne,Running on Empty,Nominated
1979,The Rolling Stones,Some Girls,Nominated
1980,Billy Joel,52nd Street,Won
1980,The Doobie Brothers,Minute by Minute,Nominated
1980,Kenny Rogers,The Gambler,Nominated
1980,Donna Summer,Bad Girls,Nominated
1980,Supertramp,Breakfast in America,Nominated
1981,Christopher Cross,Christopher Cross,Won
1981,Billy Joel,Glass Houses,Nominated
1981,Pink Floyd,The Wall,Nominated
1981,Frank Sinatra,Trilogy: Past Present Future,Nominated
1981,Barbra Streisand,Guilty,Nominated
1982,John Lennon,Double Fantasy,Won
1982,Kim Carnes,Mistaken Identity,Nominated
1982,Al Jarreau,Breakin' Away,Nominated
1982,Quincy Jones,The Dude,Nominated
1982,Steely Dan,Gaucho,Nominated
1983,Toto,Toto IV,Won
1983,John Cougar,American Fool,Nominated
1983,Donald Fagen,The Nightfly,Nominated
1983,Billy Joel,The Nylon Curtain,Nominated
1983,Paul McCartney,Tug of War,Nominated
1984,Michael Jackson,Thriller,Won
1984,David Bowie,Let's Dance,Nominated
1984,Billy Joel,An Innocent Man,Nominated
1984,The Police,Synchronicity,Nominated
1984,Various Artists,Flashdance Soundtrack,Nominated
1985,Lionel Richie,Can't Slow Down,Won
1985,Cyndi Lauper,She's So Unusual,Nominated
1985,Prince & The Revolution,Purple Rain,Nominated
1985,Bruce Springsteen,Born in the U.S.A.,Nominated
1985,Tina Turner,Private Dancer,Nominated
1986,Phil Collins,No Jacket Required,Won
