1991,Sinéad O'Connor,I Do Not Want What I Haven't Got,Won
1991,Laurie Anderson,Strange Angels,Nominated
1991,Kate Bush,The Sensual World,Nominated
1991,The Replacements,All Shook Down,Nominated
1991,World Party,Goodbye Jumbo,Nominated
1992,R.E.M.,Out of Time,Won
1992,Elvis Costello,Mighty Like a Rose,Nominated
1992,Jesus Jones,Doubt,Nominated
1992,Nirvana,Nevermind,Nominated
1992,Richard Thompson,Rumor and Sigh,Nominated
1993,Tom Waits,Bone Machine,Won
1993,The B-52s,Good Stuff,Nominated
1993,The Cure,Wish,Nominated
1993,Morrissey,Your Arsenal,Nominated
1993,XTC,Nonsuch,Nominated
1994,U2,Zooropa,Won
1994,Belly,Star,Nominated
1994,Nirvana,In Utero,Nominated
1994,R.E.M.,Automatic for the People,Nominated
1994,The Smashing Pumpkins,Siamese Dream,Nominated
1995,Green Day,Dookie,Won
1995,Tori Amos,Under the Pink,Nominated
1995,Crash Test Dummies,God Shuffled His Feet,Nominated
1995,Sarah McLachlan,Fumbling Towards Ecstasy,Nominated
1995,Nine Inch Nails,The Downward Spiral,Nominated
1996,Nirvana,MTV Unplugged in New York,Won
1996,Björk,Post,Nominated
1996,Foo Fighters,Foo Fighters,Nominated
1996,PJ Harvey,To Bring You My Love,Nominated
1996,The Presidents of the United States of America,The Presidents of the United States of America,Nominated
1997,Beck,Odelay,Won
1997,Tori Amos,Boys for Pele,Nominated
1997,Tracy Bonham,The Burdens of Being Upright,Nominated
1997,R.E.M.,New Adventures in Hi-Fi,Nominated
1997,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,Nominated
1998,Radiohead,OK Computer,Won
1998,Björk,Homogenic,Nominated
1998,David Bowie,Earthling,Nominated
1998,The Chemical Brothers,Dig Your Own Hole,Nominated
1998,The Prodigy,The Fat of the Land,Nominated
1999,Beastie Boys,Hello Nasty,Won
1999,Tori Amos,From the Choirgirl Hotel,Nominated
1999,PJ Harvey,Is This Desire?,Nominated
1999,Radiohead,Airbag/How Am I Driving?,Nominated
1999,The Smashing Pumpkins,Adore,Nominated
2000,Beck,Mutations,Won
2000,Tori Amos,To Venus and Back,Nominated
2000,Fatboy Slim,"You've Come a Long Way, Baby",Nominated
2000,Moby,Play,Nominated
2000,Nine Inch Nails,The Fragile,Nominated
2001,Radiohead,Kid A,Won
2001,Fiona Apple,When the Pawn…,Nominated
2001,Beck,Midnite Vultures,Nominated
2001,The Cure,Bloodflowers,Nominated
2001,Paul McCartney,Liverpool Sound Collage,Nominated
2002,Coldplay,Parachutes,Won
2002,Tori Amos,Strange Little Girls,Nominated
2002,Björk,Vespertine,Nominated
2002,Fatboy Slim,Halfway Between the Gutter and the Stars,Nominated
2002,Radiohead,Amnesiac,Nominated
2003,Coldplay,A Rush of Blood to the Head,Won
2003,Beck,Sea Change,Nominated
2003,Clinic,Walking with Thee,Nominated
2003,Elvis Costello and the Imposters,Cruel Smile,Nominated
2003,The Soundtrack of Our Lives,Behind the Music,Nominated
2004,The White Stripes,Elephant,Won
2004,The Flaming Lips,Fight Test,Nominated
2004,Radiohead,Hail to the Thief,Nominated
2004,Sigur Rós,( ),Nominated
2004,Yeah Yeah Yeahs,Fever to Tell,Nominated
2005,Wilco,A Ghost Is Born,Won
2005,Björk,Medúlla,Nominated
2005,Franz Ferdinand,Franz Ferdinand,Nominated
2005,PJ Harvey,Uh Huh Her,Nominated
2005,Modest Mouse,Good News for People Who Love Bad News,Nominated
2006,The White Stripes,Get Behind Me Satan,Won
2006,Arcade Fire,Funeral,Nominated
2006,Beck,Guero,Nominated
2006,Death Cab for Cutie,Plans,Nominated
2006,Franz Ferdinand,You Could Have It So Much Better,Nominated
2007,Gnarls Barkley,St. Elsewhere,Won
2007,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Nominated
2007,The Flaming Lips,At War with the Mystics,Nominated
2007,Yeah Yeah Yeahs,Show Your Bones,Nominated
2007,Thom Yorke,The Eraser,Nominated
2008,The White Stripes,Icky Thump,Won
2008,Lily Allen,"Alright, Still",Nominated
2008,Arcade Fire,Neon Bible,Nominated
2008,Björk,Volta,Nominated
2008,The Shins,Wincing the Night Away,Nominated
2009,Radiohead,In Rainbows,Won
2009,Beck,Modern Guilt,Nominated
2009,Death Cab for Cutie,Narrow Stairs,Nominated
2009,Gnarls Barkley,The Odd Couple,Nominated
