2010,Levon Helm,Electric Dirt,Won
2010,Together Through Life,Bob Dylan,Nominated
2010,Willie Nelson|Asleep at the Wheel,Willie and the Wheel,Nominated
2010,Wilco (The Album),Wilco,Nominated
2010,Little Honey,Lucinda Williams,Nominated
2011,Mavis Staples,You Are Not Alone,Won
2011,The List,Rosanne Cash,Nominated
2011,Tin Can Trust,Los Lobos,Nominated
2011,Country Music,Willie Nelson,Nominated
2011,Band of Joy,Robert Plant,Nominated
2012,Levon Helm,Ramble at the Ryman,Won
2012,Emotional Jukebox,Linda Chorney,Nominated
2012,Ry Cooder,Pull Up Some Dust and Sit Down,Nominated
2012,Hard Bargain,Emmylou Harris,Nominated
2012,Blessed,Lucinda Williams,Nominated
2013,Bonnie Raitt,Slipstream,Won
2013,The Carpenter,The Avett Brothers,Nominated
2013,From the Ground Up,John Fullbright,Nominated
2013,The Lumineers,The Lumineers,Nominated
2013,Babel,Mumford & Sons,Nominated
2014,Emmylou Harris|Rodney Crowell,Old Yellow Moon,Won
2014,Love Has Come for You,Steve Martin and Edie Brickell,Nominated
2014,Buddy Miller|Jim Lauderdale,Buddy and Jim,Nominated
2014,One True Vine,Mavis Staples,Nominated
2014,Songbook,Allen Toussaint,Nominated
2015,Rosanne Cash,The River and the Thread,Won
2015,Terms of My Surrender,John Hiatt,Nominated
2015,BLUESAmericana,Keb' Mo',Nominated
2015,A Dotted Line,Nickel Creek,Nominated
2015,Metamodern Sounds in Country Music,Sturgill Simpson,Nominated
2016,Jason Isbell,Something More Than Free,Won
2016,The Firewatcher's Daughter,Brandi Carlile,Nominated
2016,The Traveling Kind,Emmylou Harris and Rodney Crowell,Nominated
2016,Mono,The Mavericks,Nominated
2016,The Phosphorescent Blues,Punch Brothers,Nominated
2017,William Bell,This Is Where I Live,Won
2017,True Sadness,The Avett Brothers,Nominated
2017,The Cedar Creek Sessions,Kris Kristofferson,Nominated
2017,Lori McKenna,The Bird and the Rifle,Nominated
2017,Kid Sister,The Time Jumpers,Nominated
2018,Jason Isbell and the 400 Unit,The Nashville Sound,Won
2018,Southern Blood,Gregg Allman,Nominated
2018,Shine on Rainy Day,Brent Cobb,Nominated
2018,Beast Epic,Iron & Wine,Nominated
2018,Brand New Day,The Mavericks,Nominated
