1989,Bill Monroe,Southern Flavor,Won
1989,Béla Fleck,Drive,Nominated
1989,David Grisman,Home Is Where the Heart Is,Nominated
1989,Peter Rowan|Nashville Bluegrass Band,New Moon Rising,Nominated
1989,The Seldom Scene,15th Anniversary Celebration,Nominated
1990,Bruce Hornsby|Nitty Gritty Dirt Band,"""The Valley Road""",Won
1990,Doug Dillard Band,Heartbreak Hotel,Nominated
1990,Johnson Mountain Boys,At the Old Schoolhouse,Nominated
1990,Alison Krauss|Union Station,Two Highways,Nominated
1990,Bill Monroe and the Bluegrass Boys,Live at the Opry,Nominated
1991,Alison Krauss,I've Got That Old Feeling,Won
1991,Hot Rize,Take It Home,Nominated
1991,Mac Wiseman,Grassroots to Bluegrass,Nominated
1991,Nashville Bluegrass Band,The Boys Are Back in Town,Nominated
1991,The Dillards,Darlin' Boys,Nominated
1992,Carl Jackson,Spring Training,Won
1992,Alison Brown,Simple Pleasures,Nominated
1992,Jim & Jesse,Music Among Friends,Nominated
1992,Nashville Bluegrass Band,Home of the Blues,Nominated
1992,Osborne Brothers,Hillbilly Fever,Nominated
1993,Alison Krauss|Union Station,Every Time You Say Goodbye,Won
1993,Larry Cordle|Glen Duncan|Lonesome Standard Time,"Larry Cordle, Glen Duncan & Lonesome Standard Time",Nominated
1993,Jerry Douglas,Slide Rule,Nominated
1993,David Grisman|Herb Pedersen|Red Allen|Jim Buchanan|James Kerwin|Jerry Garcia,Bluegrass Reunion,Nominated
1993,The Seldom Scene,Scene 20: 20th Anniversary Concert,Nominated
1994,Nashville Bluegrass Band,Waitin' for the Hard Times to Go,Won
1994,Stuart Duncan,Stuart Duncan,Nominated
1994,Johnson Mountain Boys,Blue Diamond,Nominated
1994,Tony Rice,Tony Rice Plays and Sings Bluegrass,Nominated
1994,Ralph Stanley,Saturday Night & Sunday Morning,Nominated
1995,[II],The Great Dobro Sessions,Won
1995,J.D. Crowe|New South,Flashback,Nominated
1995,Del McCoury,A Deeper Shade of Blue,Nominated
1995,Osborne Brothers,When the Roses Bloom in Dixieland,Nominated
1995,The Seldom Scene,Like We Used to Be,Nominated
1996,Nashville Bluegrass Band,Unleashed,Won
1996,Byron Berline,Fiddle and a Song,Nominated
1996,The Cox Family,Beyond the City,Nominated
1996,Claire Lynch,Moonlighter,Nominated
1996,Rose Maddox,$35 and a Dream,Nominated
1997,[III],True Life Blues: The Songs of Bill Monroe,Won
1997,Del McCoury Band,The Cold Hard Facts,Nominated
1997,Tim O'Brien,Red on Blonde,Nominated
1997,Peter Rowan,Bluegrass Boy,Nominated
1997,Various artists,The Stanley Tradition: Tribute to a Bluegrass Legacy,Nominated
1998,Alison Krauss|Union Station,So Long So Wrong,Won
1998,Richard Greene and The Grass Is Greener,Sales Tax Toddle,Nominated
1998,Claire Lynch,Silver and Gold,Nominated
1998,Kate MacKenzie,Age of Innocence,Nominated
1998,Ralph Stanley,Short Life of Trouble,Nominated
1999,Ricky Skaggs|Kentucky Thunder,Bluegrass Rules!,Won
1999,Jim & Jesse,Songs from the Homeplace,Nominated
1999,Nashville Bluegrass Band,American Beauty,Nominated
1999,Ralph Stanley and Friends,Clinch Mountain Country,Nominated
1999,Doc and Merle Watson,Home Sweet Home,Nominated
2000,Ricky Skaggs|Kentucky Thunder,Ancient Tones,Won
2000,Steve Earle|Del McCoury Band,The Mountain,Nominated
2000,Béla Fleck,The Bluegrass Sessions,Nominated
2000,David Grisman|Ricky Skaggs|Sam Bush|Jesse McReynolds|Frank Wakefield,Bluegrass Mandolin Extravaganza,Nominated
2000,Jim Lauderdale|Ralph Stanley|Clinch Mountain Boys,I Feel Like Singing Today,Nominated
2001,Dolly Parton,The Grass Is Blue,Won
2001,Alison Brown,Fair Weather,Nominated
2001,Larry Cordle and Lonesome Standard Time,Murder On Music Row,Nominated
2001,Nickel Creek,Nickel Creek,Nominated
2001,Ricky Skaggs and Friends,Big Mon: The Songs of Bill Monroe,Nominated
2002,Alison Krauss|Union Station,New Favorite,Won
2002,Patty Loveless,Mountain Soul,Nominated
2002,Dolly Parton,Little Sparrow,Nominated
2002,Ricky Skaggs and Kentucky Thunder,History of the Future,Nominated
2002,Ralph Stanley and Friends,Clinch Mountain Sweethearts,Nominated
2003,Jim Lauderdale|Ralph Stanley,Lost in the Lonesome Pines,Won
2003,Doyle Lawson and Quicksilver,The Hard Game of Love,Nominated
2003,Ralph Stanley,Ralph Stanley,Nominated
2003,Ralph Stanley II,Stanley Blues,Nominated
2003,Roland White Band,Jelly on My Tofu,Nominated
2004,Alison Krauss|Union Station,Live,Won
2004,Del McCoury Band,It's Just the Night,Nominated
2004,Ricky Skaggs and Kentucky Thunder,Live at the Charleston Music Hall,Nominated
2004,Various artists,Christmas on the Mountain: A Bluegrass Christmas,Nominated
2004,Rhonda Vincent,One Step Ahead,Nominated
