1988,The Robert Cray Band,Strong Persuader,Won
1989,The Robert Cray Band,Don't Be Afraid of the Dark,Won
1990,Stevie Ray Vaughan & Double Trouble,In Step,Won
1991,Jimmie Vaughan & Stevie Ray Vaughan,Family Style,Won
1992,Buddy Guy,"Damn Right, I've Got the Blues",Won
1993,Stevie Ray Vaughan & Double Trouble,The Sky Is Crying,Won
1994,Buddy Guy,Feels Like Rain,Won
1995,Pops Staples,Father Father,Won
1996,Buddy Guy,Slippin' In,Won
1997,Keb' Mo',Just Like You,Won
1998,Taj Mahal,Señor Blues,Won
1999,Keb' Mo',Slow Down,Won
2000,The Robert Cray Band,Take Your Shoes Off,Won
2001,Taj Mahal & the Phantom Blues Band,Shoutin' in Key,Won
2002,Delbert McClinton,Nothing Personal,Won
2003,Solomon Burke,Don't Give Up on Me,Won
2004,Etta James,Let's Roll,Won
2005,Keb' Mo',Keep It Simple,Won
2006,Delbert McClinton,Cost of Living,Won
2007,Irma Thomas,After the Rain,Won
2008,J. J. Cale & Eric Clapton,The Road to Escondido,Won
2009,Dr. John & The Lower 911,City That Care Forgot,Won
2010,The Derek Trucks Band,Already Free,Won
2011,Buddy Guy,Living Proof,Won
2017,Fantastic Negrito,The Last Days of Oakland,Won
2018,Taj Mahal & Keb' Mo',TajMo,Won
