1965,Roger Miller,Dang Me/Chug-a-Lug,Won
1965,Chet Atkins,Guitar Country,Nominated
1965,Johnny Cash,Bitter Tears: Ballads of the American Indian,Nominated
1965,Buck Owens,The Best of Buck Owens,Nominated
1965,Jim Reeves,The Best of Jim Reeves,Nominated
1965,Hank Williams Jr.,Hank Williams Jr. Sings Songs of Hank Williams,Nominated
1966,Roger Miller,The Return of Roger Miller,Won
1966,Eddy Arnold,My World,Nominated
1966,Chet Atkins,More of That Guitar Country,Nominated
1966,Jim Reeves,The Jim Reeves Way,Nominated
1966,Hank Williams|Hank Williams Jr.,Father and Son: Hank Williams and Hank Williams Jr.,Nominated
1995,Mary Chapin Carpenter,Stones in the Road,Won
1995,Asleep at the Wheel,Tribute to the Music of Bob Wills and the Texas Playboy,Nominated
1995,Vince Gill,When Love Finds You,Nominated
1995,Reba McEntire,Read My Mind,Nominated
1995,Trisha Yearwood,The Song Remembers When,Nominated
1996,Shania Twain,The Woman in Me,Won
1996,Junior Brown,Junior High,Nominated
1996,The Mavericks,Music for All Occasions,Nominated
1996,John Michael Montgomery,John Michael Montgomery,Nominated
1996,Trisha Yearwood,Thinkin' About You,Nominated
1996,Dwight Yoakam,Dwight Live,Nominated
1997,Lyle Lovett,The Road to Ensenada,Won
1997,Brooks & Dunn,Borderline,Nominated
1997,Vince Gill,High Lonesome Sound,Nominated
1997,Patty Loveless,The Trouble with the Truth,Nominated
1997,Trisha Yearwood,Everybody Knows,Nominated
1997,Dwight Yoakam,Gone,Nominated
1998,Johnny Cash,Unchained,Won
1998,Alan Jackson,Everything I Love,Nominated
1998,Patty Loveless,Long Stretch of Lonesome,Nominated
1998,George Strait,Carrying Your Love With Me,Nominated
1998,Dwight Yoakam,Under The Covers,Nominated
1999,Dixie Chicks,Wide Open Spaces,Won
1999,Garth Brooks,Sevens,Nominated
1999,Faith Hill,Faith,Nominated
1999,Shania Twain,Come On Over,Nominated
