2005,Basement Jaxx,Kish Kash,Won
2005,The Crystal Method,Legion of Boom,Nominated
2005,Paul Oakenfold,Creamfields,Nominated
2005,The Prodigy,"Always Outnumbered, Never Outgunned",Nominated
2005,Paul van Dyk,Reflections,Nominated
2006,The Chemical Brothers,Push the Button,Won
2006,Daft Punk,Human After All,Nominated
2006,Fatboy Slim,Palookaville,Nominated
2006,Kraftwerk,Minimum-Maximum,Nominated
2006,LCD Soundsystem,LCD Soundsystem,Nominated
2007,Madonna,Confessions on a Dance Floor,Won
2007,Goldfrapp,Supernature,Nominated
2007,Paul Oakenfold,A Lively Mind,Nominated
2007,Pet Shop Boys,Fundamental,Nominated
2007,Zero 7,The Garden,Nominated
2008,The Chemical Brothers,We Are the Night,Won
2008,Justice,†,Nominated
2008,LCD Soundsystem,Sound of Silver,Nominated
2008,Shiny Toy Guns,We Are Pilots,Nominated
2008,Tiësto,Elements of Life,Nominated
2009,Daft Punk,Alive 2007,Won
2009,Brazilian Girls,New York City,Nominated
2009,Cyndi Lauper,Bring Ya to the Brink,Nominated
2009,Kylie Minogue,X,Nominated
2009,Moby,Last Night,Nominated
2009,Robyn,Robyn,Nominated
2010,Lady Gaga,The Fame,Won
2010,The Crystal Method,Divided by Night,Nominated
2010,David Guetta,One Love,Nominated
2010,LMFAO,Party Rock,Nominated
2010,Pet Shop Boys,Yes,Nominated
2011,La Roux,La Roux,Won
2011,BT,These Hopeful Machines,Nominated
2011,The Chemical Brothers,Further,Nominated
2011,Goldfrapp,Head First,Nominated
2011,Groove Armada,Black Light,Nominated
2012,Skrillex,Scary Monsters and Nice Sprites,Won
2012,Cut Copy,Zonoscope,Nominated
2012,Deadmau5,4x4=12,Nominated
2012,David Guetta,Nothing but the Beat,Nominated
2012,Robyn,Body Talk Pt. 3,Nominated
2013,Skrillex,Bangarang,Won
2013,Steve Aoki,Wonderland,Nominated
2013,The Chemical Brothers,Don't Think,Nominated
2013,Deadmau5,Album Title Goes Here,Nominated
2013,Kaskade,Fire & Ice,Nominated
2014,Daft Punk,Random Access Memories,Won
2014,Disclosure,Settle,Nominated
2014,Calvin Harris,18 Months,Nominated
2014,Kaskade,Atmosphere,Nominated
2014,Pretty Lights,A Color Map of the Sun,Nominated
2015,Aphex Twin,Syro,Won
2015,Deadmau5,While (1<2),Nominated
2015,Little Dragon,Nabuma Rubberband,Nominated
2015,Röyksopp|Robyn,Do It Again,Nominated
2015,Mat Zo,Damage Control,Nominated
2016,Jack Ü,Skrillex and Diplo Present Jack Ü,Won
2016,Caribou,Our Love,Nominated
2016,The Chemical Brothers,Born in the Echoes,Nominated
2016,Disclosure,Caracal,Nominated
2016,Jamie xx,In Colour,Nominated
2017,Flume,Skin,Won
2017,Jean-Michel Jarre,Electronica 1: The Time Machine,Nominated
2017,Tycho,Epoch,Nominated
2017,Underworld,"Barbara Barbara, We Face a Shining Future",Nominated
2017,Louie Vega,Louie Vega Starring...XXVIII,Nominated
2018,Kraftwerk,3-D The Catalogue,Won
2018,Bonobo,Migration,Nominated
2018,Mura Masa,Mura Masa,Nominated
2018,Odesza,A Moment Apart,Nominated
2018,Sylvan Esso,What Now,Nominated
