1959,Count Basie,Basie,Won
1960,Jonah Jones,I Dig Chicks,Won
1961,André Previn,West Side Story,Won
1962,André Previn,André Previn Plays Songs by Harold Arlen,Won
1963,Stan Getz,Desafinado,Won
1964,Bill Evans,Conversations with Myself,Won
1965,Stan Getz,Getz/Gilberto,Won
1966,Ramsey Lewis,The In Crowd,Won
1967,Wes Montgomery,Goin' Out of My Head,Won
1968,Cannonball Adderley,"Mercy, Mercy, Mercy! Live at 'The Club'",Won
1969,Bill Evans,Bill Evans at the Montreux Jazz Festival,Won
1970,Wes Montgomery,Willow Weep for Me,Won
1971,Bill Evans,Alone,Won
1972,Bill Evans,The Bill Evans Album,Won
1973,Freddie Hubbard,First Light,Won
1974,Supersax,Supersax Plays Bird,Won
1975,Joe Pass|Niels-Henning Ørsted Pedersen|Oscar Peterson,The Trio,Won
1976,Chick Corea|Return to Forever,No Mystery,Won
1977,Chick Corea,The Leprechaun,Won
1978,Phil Woods,The Phil Woods Six – Live from the Showboat,Won
1979,Chick Corea,Friends,Won
1980,Chick Corea|Gary Burton,Duet,Won
1981,Bill Evans,We Will Meet Again,Won
1982,Chick Corea|Gary Burton,"Chick Corea & Gary Burton in Concert - Zurich, October 28, 1979",Won
1983,Phil Woods,"""More"" Live",Won
1984,Phil Woods,At the Vanguard,Won
1985,Art Blakey,New York Scene,Won
1986,Wynton Marsalis,Black Codes (From the Underground),Won
1987,Wynton Marsalis,J Mood,Won
1988,Wynton Marsalis,"Marsalis Standard Time, Vol. I",Won
1989,Roy Haynes|Cecil McBee|David Murray|Pharoah Sanders|McCoy Tyner,Blues for Coltrane: A Tribute to John Coltrane,Won
1990,Chick Corea,Chick Corea Akoustic Band,Won
1991,Oscar Peterson,Live at the Blue Note,Won
1992,Oscar Peterson,Saturday Night at the Blue Note,Won
1993,Branford Marsalis,I Heard You Twice the First Time,Won
1994,Joe Henderson,"So Near, So Far (Musings for Miles)",Won
1995,Ron Carter|Herbie Hancock|Wallace Roney|Wayne Shorter|Tony Williams,A Tribute to Miles,Won
1996,McCoy Tyner Trio|Michael Brecker,Infinity,Won
1997,Michael Brecker,Tales from the Hudson,Won
1998,Charlie Haden|Pat Metheny,Beyond the Missouri Sky (Short Stories),Won
1999,Herbie Hancock,Gershwin's World,Won
2000,Gary Burton|Chick Corea|Roy Haynes|Dave Holland|Pat Metheny,Like Minds,Won
2001,Branford Marsalis,Contemporary Jazz,Won
2002,Sonny Rollins,This Is What I Do,Won
2003,Herbie Hancock|Michael Brecker|Roy Hargrove,Directions in Music: Live at Massey Hall,Won
2004,Wayne Shorter,Alegría,Won
2005,McCoy Tyner,Illuminations,Won
2006,Wayne Shorter,Beyond the Sound Barrier,Won
2007,Chick Corea,The Ultimate Adventure,Won
2008,Michael Brecker,Pilgrimage,Won
2009,Chick Corea|Gary Burton,The New Crystal Silence,Won
2010,Chick Corea|John McLaughlin,Five Peace Band Live,Won
2011,James Moody,Moody 4B,Won
2012,"Corea, Clarke & White",Forever,Won
2013,Pat Metheny,Unity Band,Won
2014,Terri Lyne Carrington,Money Jungle: Provocative in Blue,Won
2015,Chick Corea,Trilogy,Won
2016,John Scofield,Past Present,Won
2016,Joey Alexander,My Favorite Things,Nominated
2016,Terence Blanchard|E-Collective,Breathless,Nominated
2016,Robert Glasper and the Robert Glasper Trio,Covered: Recorded Live at Capitol Studios,Nominated
2016,Jimmy Greene,Beautiful Life,Nominated
2017,John Scofield,Country for Old Men,Won
2017,Kenny Barron Trio,Book of Intuition,Nominated
2017,Peter Erskine,Dr Um,Nominated
2017,Fred Hersch Trio,Sunday Night at the Vanguard,Nominated
2017,Joshua Redman|Brad Mehldau,Nearness,Nominated
2018,Billy Childs,Rebirth,Won
2018,Bill Charlap Trio,Uptown,Nominated
2018,Joey DeFrancesco & The People,Project Freedom,Nominated
2018,Fred Hersch,Open Book,Nominated
2018,Chris Potter,The Dreamer Is the Dream,Nominated
