1992,Mel Tormé,"""Ellington Medley"" from Mel and George ""Do"" World War II",Nominated
1992,Natalie Cole,"""Long 'Bout Midnight"" from Garfield",Nominated
1992,The Manhattan Transfer,The Offbeat of Avenues,Nominated
1992,Shirley Horn,You Won't Forget Me,Nominated
1993,Shirley Horn,Here's to Life,Nominated
1993,Abbey Lincoln,"""You Gotta Pay the Band""",Nominated
1993,Jimmy Scott,"""All the Way""",Nominated
1993,Take 6,"""I'm Always Chasing Rainbows"" from Glengarry Glen Ross",Nominated
1994,Ernestine Anderson,Now and Then,Nominated
1994,Shirley Horn,Light Out of Darkness,Nominated
1994,Bobby McFerrin,"""The Pink Panther Theme""",Nominated
1994,Bobby Short with the Alden-Barrett Quintet,Swing That Music,Nominated
1995,Dee Dee Bridgewater,Keeping Tradition,Nominated
1995,Shirley Horn,"I Love You, Paris",Nominated
1995,Lena Horne,We'll Be Together Again,Nominated
1995,Cassandra Wilson,Blue Light 'til Dawn,Nominated
1996,Dee Dee Bridgewater,Love and Peace: A Tribute to Horace Silver,Nominated
1996,Kurt Elling,Close Your Eyes,Nominated
1996,Abbey Lincoln,A Turtle's Dream,Nominated
1996,Dianne Reeves,Quiet After the Storm,Nominated
1997,Ernestine Anderson,"Blues, Dues and Love News",Nominated
1997,Nnenna Freelon,Shaking Free,Nominated
1997,Shirley Horn,The Main Ingredient,Nominated
1997,Diana Krall,All for You,Nominated
1998,Kurt Elling,The Messenger,Nominated
1998,Shirley Horn,Loving You,Nominated
1998,Diana Krall,Love Scenes,Nominated
1998,Mark Murphy,Song for the Geese,Nominated
1999,Kurt Elling,This Time It's Love,Nominated
1999,Nnenna Freelon,Maiden Voyage,Nominated
1999,Etta Jones,My Buddy – Etta Jones Sings the Songs of Buddy Johnson,Nominated
1999,Dianne Reeves,That Day...,Nominated
2000,Carla Cook,It's All About Love,Nominated
2000,Etta James,Heart of a Woman,Nominated
2000,Dianne Reeves,Bridges,Nominated
2000,Cassandra Wilson,Traveling Miles,Nominated
2001,Dee Dee Bridgewater,Live at Yoshi's,Nominated
2001,Freddy Cole,Merry Go Round,Nominated
2001,Kurt Elling,Live in Chicago,Nominated
2001,Nnenna Freelon,Soulcall,Nominated
2002,Mose Allison,"The Mose Chronicles – Live in London, Vol. 1",Nominated
2002,Karrin Allyson,Ballads – Remembering John Coltrane,Nominated
2002,Kurt Elling,Flirting with Twilight,Nominated
2002,Shirley Horn,You're My Thrill,Nominated
2003,Patti Austin,For Ella,Nominated
2003,Natalie Cole,Ask a Woman Who Knows,Nominated
2003,Etta Jones,Etta Jones Sings Lady Day,Nominated
2003,Luciana Souza,Brazilian Duos,Nominated
2004,Kurt Elling,Man in the Air,Nominated
2004,Shirley Horn,May the Music Never End,Nominated
2004,Aaron Neville,Nature Boy – The Standards Album,Nominated
2004,Luciana Souza,North and South,Nominated
