1961,Henry Mancini,The Blues and the Beat,Won
1962,Stan Kenton,Kenton's West Side Story,Won
1963,Stan Kenton,Adventures In Jazz,Won
1964,Woody Herman,"Encore: Woody Herman, 1963",Won
1965,Laurindo Almeida,Guitar from Ipanema,Won
1966,Duke Ellington,Ellington '66,Won
1968,Duke Ellington,The Far East Suite,Won
1969,Duke Ellington,...And His Mother Called Him Bill,Won
1970,Quincy Jones,Walking in Space,Won
1971,Miles Davis,Bitches Brew,Won
1972,Duke Ellington,New Orleans Suite,Won
1973,Duke Ellington,Togo Brava Suite,Won
1974,Woody Herman,Giant Steps,Won
1975,Woody Herman,Thundering Herd,Won
1976,Phil Woods,Images,Won
1977,Duke Ellington,The Ellington Suites,Won
1978,Count Basie,Prime Time,Won
1979,The Thad Jones/Mel Lewis Orchestra,Live in Munich,Won
1980,Duke Ellington,"Duke Ellington at Fargo, 1940 Live",Won
1981,Count Basie,On the Road,Won
1982,Gerry Mulligan,Walk on the Water,Won
1983,Count Basie,Warm Breeze,Won
1984,Rob McConnell,All in Good Time,Won
1985,Count Basie,88 Basie Street,Won
1986,Bob Wilber & John Barry,The Cotton Club,Won
1987,Doc Severinsen,The Tonight Show Band with Doc Severinsen,Won
1988,Mercer Ellington,Digital Duke,Won
1989,Gil Evans,Bud and Bird,Won
1990,Miles Davis,Aura,Won
1991,Frank Foster,Basie's Bag,Won
1992,Dizzy Gillespie,Live at the Royal Festival Hall,Won
1993,McCoy Tyner,The Turning Point,Won
1994,Miles Davis & Quincy Jones,Miles & Quincy Live at Montreux,Won
1995,McCoy Tyner,Journey,Won
1996,"Tom Scott, GRP All-Star Big Band",All Blues,Won
1997,Grover Mitchell,Live at Manchester Craftsmen's Guild,Won
1998,Joe Henderson,Big Band,Won
1999,"Grover Mitchell, Count Basie Orchestra",Count Plays Duke,Won
2000,Bob Florence,Serendipity 18,Won
2001,Joe Lovano,52nd Street Themes,Won
2002,Bob Mintzer,Homage to Count Basie,Won
2003,Dave Holland,What Goes Around,Won
2004,Michael Brecker,Wide Angles,Won
2005,Maria Schneider,Concert in the Garden,Won
2006,Dave Holland,Overtime,Won
2007,"Randy Brecker, Michael Brecker, WDR Big Band",Some Skunk Funk,Won
2008,Terence Blanchard,A Tale of God's Will (A Requiem for Katrina),Won
2009,Vanguard Jazz Orchestra,Monday Night Live at the Village Vanguard,Won
2010,New Orleans Jazz Orchestra,Book One,Won
2011,Mingus Big Band,Mingus Big Band Live at Jazz Standard,Won
2012,Christian McBride Big Band,The Good Feeling,Won
2013,Arturo Sandoval,Dear Diz (Every Day I Think of You),Won
2014,"Randy Brecker, Wlodek Pawlik Trio, Kalisz Philharmonic",Night in Calisia,Won
2015,Gordon Goodwin's Big Phat Band,Life in the Bubble,Won
2016,Maria Schneider Orchestra,The Thompson Fields,Won
2017,Ted Nash Big Band,Presidential Suite: Eight Variations on Freedom,Won
2018,Christian McBride Big Band,Bringin' It,Won
