1995,Arturo Sandoval,Danzón (Dance On),Won
1995,Ray Barretto|New World Spirit,Taboo,Nominated
1995,Mario Bauza and the Afro-Cuban Jazz Orchestra,944 Columbus,Nominated
1995,Jerry Gonzalez and the Fort Apache Band,Crossroads,Nominated
1995,Eddie Palmieri,Palmas,Nominated
1996,Jobim,Antonio Brasileiro,Won
1996,Jerry Gonzalez and the Fort Apache Band,Pensativo,Nominated
1996,Chico O'Farrill and His Afro-Cuban Jazz Orchestra,Pure Emotion,Nominated
1996,Eddie Palmieri,Arete,Nominated
1996,Patato|Changuito|Orestes,Ritmo y Candela: Rhythm at the Crossroads,Nominated
1997,Paquito D'Rivera,Portraits of Cuba,Won
1997,Ray Barretto,My Summertime,Nominated
1997,Steve Berrios|Son Bacheche,And Then Some!,Nominated
1997,Terence Blanchard|Ivan Lins,The Heart Speaks,Nominated
1997,Don Grolnick,Medianoche,Nominated
1998,Roy Hargrove's Crisol,Habana,Won
1998,Conrad Herwig,The Latin Side of John Coltrane,Nominated
1998,Giovanni Hidalgo,Hands of Rhythm,Nominated
1998,Banda Mantiqueira,Aldeia,Nominated
1998,"Carlos ""Patato"" Valdes",Ritmo y Candela II: African Crossroads,Nominated
1999,Arturo Sandoval,Hot House,Won
1999,Ray Barretto|New World Spirit,Contact,Nominated
1999,Paquito D'Rivera and the United Nation Orchestra,Paquito D'Rivera and the United Nation Orchestra,Nominated
1999,Danilo Pérez,Central Avenue,Nominated
1999,David Sánchez,Obsession,Nominated
1999,Chucho Valdés,Bele Bele en la Habana,Nominated
2000,Poncho Sanchez,Latin Soul,Won
2000,Al McKibbon,Tumbao Para los Congueros di Mi Vida,Nominated
2000,Bobby Rodríguez,Latin Jazz Explosion,Nominated
2000,Gonzalo Rubalcaba and Cuban Quartet,Antiguo,Nominated
2000,Chucho Valdés,Briyumba Palo Congo – Religion of the Congo,Nominated
2001,Chucho Valdés,Live at the Village Vanguard,Won
2001,Bobby Sanabria Big Band,Afro-Cuban Dream... Live & in Clave,Nominated
2001,Gary Burton,Libertango: The Music of Ástor Piazzolla,Nominated
2001,Danilo Pérez,Motherland,Nominated
2001,David Sánchez,Melaza,Nominated
2002,Charlie Haden,Nocturne,Won
2002,Los Hombres Calientes,Vol. 3: New Congo Square,Nominated
2002,Gonzalo Rubalcaba Trio,Supernova,Nominated
2002,David Sánchez,Travesía,Nominated
2002,Various artists,Calle 54,Nominated
2003,Dave Samuels,The Gathering,Won
2003,Jane Bunnett,Alma de Santiago,Nominated
2003,Duduka Da Fonseca,Samba Jazz Fantasia,Nominated
2003,John Santos|Machete Ensemble,S.F. Bay,Nominated
2003,Omar Sosa,Sentir,Nominated
2004,Michel Camilo|Charles Flores|Horacio Hernandez,Live at the Blue Note,Won
2004,Jane Bunnett,Cuban Odyssey,Nominated
2004,Caribbean Jazz Project,Birds of a Feather,Nominated
2004,Mark Levine and the Latin Tinge,Isla,Nominated
2004,Chucho Valdés,New Conceptions,Nominated
2005,Charlie Haden,Land of the Sun,Won
2005,Raphael Cruz,Bebop Timba,Nominated
2005,Jerry Gonzalez y los Piratas del Flamenco,Jerry Gonzalez y los Piratas del Flamenco,Nominated
2005,Conrad Herwig Nonet,Another Kind of Blue: The Latin Side of Miles Davis,Nominated
2005,Diego Urcola,Soundances,Nominated
2006,Eddie Palmieri, Listen Here!,Won
2006,Ray Barretto,Time Was – Time Is,Nominated
2006,Caribbean Jazz Project featuring Dave Samuels,Here and Now – Live in Concert,Nominated
2006,Sammy Figueroa and His Latin Jazz Explosion,...And Sammy Walked In,Nominated
2006,Omar Sosa,Mulatos,Nominated
2007,The Brian Lynch/Eddie Palmieri Project,Simpático,Won
2007,Ignacio Berroa,Codes,Nominated
2007,Edsel Gómez,Cubist Music,Nominated
2007,Dafnis Prieto,Absolute Quintet,Nominated
2007,Diego Urcola|Edward Simon|Avishai Cohen|Antonio Sánchez|Pernell Saturnino,Viva,Nominated
2008,Paquito D'Rivera Quintet?,Funk Tango,Won
2008,Bobby Sanabria Big Band,Big Band Urban Folktales,Nominated
2008,Sammy Figueroa and His Latin Jazz Explosion,The Magician,Nominated
2008,Steve Khan,Borrowed Time,Nominated
2008,Héctor Martignon,Refugee,Nominated
2009,Arturo O'Farrill,Song for Chico,Won
2009,Caribbean Jazz Project,Afro Bop Alliance,Nominated
2009,Conrad Herwig and the Latin Side Band,The Latin Side of Wayne Shorter,Nominated
2009,Nestor Torres,Nouveau Latino,Nominated
2009,Papo Vázquez and The Mighty Pirates,Marooned/Aislado,Nominated
2010,Bebo Valdés,Juntos Para Siempre,Won
2010,Chembo Corniel,Things I Wanted to Do,Nominated
2010,Geoffrey Keezer,Áurea,Nominated
2010,Claudio Roditi,Brazilliance X 4,Nominated
2010,Miguel Zenón,Esta Plena,Nominated
2011,Chucho Valdés and the Afro-Cuban Messengers,Chucho's Steps,Won
2011,Pablo Aslan,Tango Grill,Nominated
2011,Hector Martignon,Second Chance,Nominated
2011,Poncho Sánchez,Psychedelic Blues,Nominated
2011,Wayne Wallace Latin Jazz Quintet,¡Bien Bien!,Nominated
2013,Clare Fischer Latin Jazz Big Band,Ritmo!,Won
2013,Bobby Sanabria Big Band,Multiverse,Nominated
2013,Chano Dominguez,Flamenco Sketches,Nominated
2013,Manuel Valera New Cuban Express,New Cuban Express,Nominated
2013,Luciana Souza,Duos III,Nominated
2014,Paquito D'Rivera| Trio Corrente,Song for Maura,Won
