1984,José Feliciano,Me Enamoré,Won
1984,Plácido Domingo,"""Bésame Mucho""",Nominated
1984,Lani Hall,Lani,Nominated
1984,Menudo,Una Aventura Llamada Menudo,Nominated
1984,José Luis Rodríguez,Ven,Nominated
1985,Plácido Domingo,Siempre en Mi Corazón — Always in My Heart,Won
1985,María Conchita Alonso,María Conchita,Nominated
1985,José Feliciano,Como Tu Quieres,Nominated
1985,José José,Secretos,Nominated
1985,Johnny,Invítame,Nominated
1985,Menudo,Evolución,Nominated
1986,Lani Hall,Es Fácil Amar,Won
1986,José Feliciano,Ya Soy Tuyo,Nominated
1986,José Feliciano|José José,"""Por Ella""",Nominated
1986,José José,Reflexiones,Nominated
1986,Lucía Méndez,Sólo Una Mujer,Nominated
1987,José Feliciano,"""Le Lo Lai""",Won
1987,José José,"""Pruébame""",Nominated
1987,Pandora,"""¿Cómo Te Va Mi Amor?""",Nominated
1987,Danny Rivera,Inolvidable Tito... A Mi Me Pasa lo Mismo que a Usted,Nominated
1987,Yuri,Yo Te Pido Amor,Nominated
1988,Julio Iglesias,Un Hombre Solo,Won
1988,María Conchita Alonso,"""Otra Mentira Más""",Nominated
1988,Braulio,"""En Bancarrota""",Nominated
1988,Emmanuel,Solo,Nominated
1988,José José,Siempre Contigo,Nominated
1988,Lunna,Lunna,Nominated
1988,Luis Miguel,Luis Miguel '87 Soy Como Quiero Ser,Nominated
1988,Yolandita Monge,Laberinto de Amor,Nominated
1988,Danny Rivera,Amar o Morir,Nominated
1989,Roberto Carlos,Roberto Carlos,Won
1989,Dyango,Cae la Noche,Nominated
1989,José José,Soy Así,Nominated
1989,José Luis Perales,Sueño de Libertad,Nominated
1989,Raphael,Las Apariencias Engañan,Nominated
1990,José Feliciano,"""Cielito Lindo""",Won
1990,Chayanne,Chayanne,Nominated
1990,Dyango,Suspiros,Nominated
1990,Miguel Gallardo,América,Nominated
1990,José Luis Rodríguez,"""Baila Mi Rumba""",Nominated
1991,José Feliciano,"""¿Por Qué Te Tengo Que Olvidar?""",Won
1991,Duncan Dhu,Autobiografía,Nominated
1991,Ana Gabriel,Quién Como Tú,Nominated
1991,Luis Miguel,20 Años,Nominated
1991,Isabel Pantoja,"""Se Me Enamora el Alma""",Nominated
1992,Vikki Carr,Cosas del Amor,Won
1992,Los Bukis,A Través de Tus Ojos,Nominated
1992,Alejandra Guzmán,Flor de Papel,Nominated
1992,Pandora,...Con Amor Eterno,Nominated
1992,Daniela Romo,Amada Más Que Nunca,Nominated
1993,Jon Secada,Otro Día Más Sin Verte,Won
1993,Cristian Castro,Agua Nueva,Nominated
1993,Julio Iglesias,Calor,Nominated
1993,Luis Miguel,Romance,Nominated
1993,Raphael,Ave Fénix,Nominated
1993,José Luis Rodríguez,El Puma en Ritmo,Nominated
1994,Luis Miguel,Aries,Won
1994,María Conchita Alonso,Imáginame,Nominated
1994,Vikki Carr,"Brindo a la Vida, al Bolero, a Ti",Nominated
1994,José Feliciano,Latin Street '92,Nominated
1994,The Triplets,Algo Más Que Amor,Nominated
1995,Luis Miguel,Segundo Romance,Won
1995,Cristian Castro,El Camino del Alma,Nominated
1995,Plácido Domingo,De Mi Alma Latina,Nominated
1995,Juan Gabriel,Gracias Por Esperar,Nominated
1995,La Mafia,Vida,Nominated
1996,Jon Secada,Amor,Won
1996,Adolfo Angel|Gustavo Angel,Nuestras Canciones,Nominated
1996,Rocío Dúrcal,Hay Amores Y Amores,Nominated
1996,Julio Iglesias,La Carretera,Nominated
1996,Maná,Cuando los Ángeles Lloran,Nominated
1997,Enrique Iglesias,Enrique Iglesias,Won
1997,Vikki Carr,Emociones,Nominated
1997,José Feliciano,Americano,Nominated
1997,Luis Miguel,Nada Es Igual...,Nominated
1997,Marco Antonio Solís,En Pleno Vuelo,Nominated
1998,Luis Miguel,Romances,Won
1998,Cristian Castro,Lo Mejor de Mí,Nominated
1998,Alejandro Fernández,Me Estoy Enamorando,Nominated
1998,Enrique Iglesias,Vivir,Nominated
1998,Julio Iglesias,Tango,Nominated
1999,Ricky Martin,Vuelve,Won
1999,Chayanne,Atado a Tu Amor,Nominated
1999,José Feliciano,Señor Bolero,Nominated
1999,Juan Gabriel,Celebrando 25 Años de Juan Gabriel: En Concierto en el Palacio de Bellas Artes,Nominated
1999,Enrique Iglesias,Cosas del Amor,Nominated
2000,Rubén Blades,Tiempos,Won
2000,Juan Luis Guerra,Ni Es Lo Mismo Ni Es Igual,Nominated
2000,Maná,MTV Unplugged,Nominated
2000,Luis Miguel,Amarte Es Un Placer,Nominated
2000,Jaci Velasquez,Llegar a Tí,Nominated
2001,Shakira,MTV Unplugged,Won
2001,Christina Aguilera,Mi Reflejo,Nominated
2001,Oscar de la Hoya,Oscar de la Hoya,Nominated
2001,Luis Miguel,Vivo,Nominated
2001,Alejandro Sanz,El Alma al Aire,Nominated
2002,Freddy Fender,La Música de Baldemar Huerta,Won
2002,Chayanne,Simplemente,Nominated
2002,Cristian Castro,Azul,Nominated
2002,Juan Gabriel,Abrázame Muy Fuerte,Nominated
2002,Jaci Velasquez,Mi Corazón,Nominated
2003,Bacilos,Caraluna,Won
2003,Jorge Moreno,Moreno,Nominated
2003,Donato Poveda,Bohemio Enamorado,Nominated
2003,Sin Bandera,Sin Bandera,Nominated
