1998,Los Fabulosos Cadillacs,Fabulosos Calavera,Won
1998,La Pipa de la Paz,Aterciopelados,Nominated
1998,Avalancha de Éxitos,Café Tacvba,Nominated
1998,Cuando Tú No Estás,El Tri,Nominated
1998,¿Dónde Jugarán las Niñas?,Molotov,Nominated
1999,Maná,Sueños Líquidos,Won
1999,Caribe Atómico,Aterciopelados,Nominated
1999,Fin de Siglo,El Tri,Nominated
1999,Tracción Acústica,Enanitos Verdes,Nominated
1999,Dónde Están los Ladrones?,Shakira,Nominated
2000,Chris Pérez Band,Resurrection,Won
2000,Café Tacvba,Revés/Yo Soy,Nominated
2000,Enanitos Verdes,Néctar,Nominated
2000,Los Fabulosos Cadillacs,La Marcha del Golazo Solitario,Nominated
2000,Jaguares,Bajo el Azul de Tu Misterio,Nominated
2001,La Ley,Uno,Won
2001,Café Quijano,La Extraordinaria Paradoja del Sonido Quijano,Nominated
2001,El Tri,No Podemos Volar,Nominated
2001,Fito Páez,Abre,Nominated
2001,Los Amigos Invisibles,Arepa 3000,Nominated
2002,Ozomatli,Embrace the Chaos,Won
2002,Aterciopelados,Gozo Poderoso,Nominated
2002,Jaguares,Cuando la Sangre Galopa,Nominated
2002,Juanes,Fíjate Bien,Nominated
2002,Manu Chao,Próxima Estación: Esperanza,Nominated
2003,Maná,Revolución de Amor,Won
2003,Juanes,Un Día Normal,Nominated
2003,Kinky,Kinky,Nominated
2003,Orishas,Emigrante,Nominated
2003,Sindicato Argentino del Hip Hop,Un Paso a la Eternidad,Nominated
2004,Café Tacvba,Cuatro Caminos,Won
2004,Akwid,Proyecto Akwid,Nominated
2004,Gustavo Cerati,Siempre Es Hoy,Nominated
2004,Molotov,Dance and Dense Denso,Nominated
2004,Yerba Buena,President Alien,Nominated
2005,Ozomatli,Street Signs,Won
2005,Akwid,Komp 104.9 Radio Compa,Nominated
2005,Alejandra Guzmán,Lipstick,Nominated
2005,Juanes,Mi Sangre,Nominated
2005,Julieta Venegas,Sí,Nominated
2006,Shakira,Fijación Oral Vol. 1,Won
2006,La Secta AllStar,Consejo,Nominated
2006,Molotov,Con Todo Respeto,Nominated
2006,Orishas,El Kilo,Nominated
2006,Vico C,Desahogo,Nominated
2007,Maná,Amar Es Combatir,Won
2007,Tego Calderón,The Underdog/El Subestimado,Nominated
2007,Calle 13,Calle 13,Nominated
2007,Los Amigos Invisibles,Super Pop Venezuela,Nominated
2007,Black Guayaba,Lo Demás es Plástico,Nominated
2008,Black Guayaba,No Hay Espacio,Won
2008,Jarabe de Palo,Adelantando,Nominated
2008,Panda,Amantes Sunt Amentes,Nominated
2008,Los Rabanes,Kamikaze,Nominated
2008,Zoé,Memo Rex Commander y el Corazón Atómico de la Vía Láctea,Nominated
2009,Jaguares,45,Won
2009,Grupo Fantasma,Sonidos Gold,Nominated
2009,Locos Por Juana,La Verdad,Nominated
2009,Nortec Collective Presents Bostich + Fussible,Tijuana Sound Machine,Nominated
2009,Ximena Sariñana,Mediocre,Nominated
2010,Calle 13,Los de Atrás Vienen Conmigo,Won
2010,Aterciopelados,Rio,Nominated
2010,Bebe,Y.,Nominated
2010,Los Fabulosos Cadillacs,La Luz del Ritmo,Nominated
2010,Wisin & Yandel,La Revolución,Nominated
2011,Grupo Fantasma,El Existential,Won
2011,ChocQuibTown,Oro,Nominated
2011,Draco,Amor Vincit Omnia,Nominated
2011,Nortec Collective Presents Bostich + Fussible,Bulevard 2000,Nominated
2011,Ana Tijoux,1977,Nominated
2013,Quetzal,Imaginaries,Won
2013,Campo,Campo,Nominated
2013,Déjenme Llorar,Carla Morrison,Nominated
2013,Electro-Jarocho,Sistema Bomb,Nominated
2013,La Bala,Ana Tijoux,Nominated
2014,La Santa Cecilia,Treinta Días,Won
2014,El Objeto Antes Llamado Disco,Café Tacvba,Nominated
2014,Ojo Por Ojo,El Tri,Nominated
2014,Chances,Illya Kuryaki and the Valderramas,Nominated
2014,Repeat After Me,Los Amigos Invisibles,Nominated
2015,Calle 13,Multi Viral,Won
2015,Behind the Machine (Detrás de la Máquina),ChocQuibTown,Nominated
2015,Bailar En La Cueva,Jorge Drexler,Nominated
2015,Agua Maldita,Molotov,Nominated
2015,Vengo,Ana Tijoux,Nominated
2016,Natalia Lafourcade,Hasta la Raíz,Won
2016,Amanecer,Bomba Estéreo,Nominated
2016,Mondongo,La Cuneta Son Machin,Nominated
2016,Caja de Musica,Monsieur Periné,Nominated
2016,Pitbull,Dale,Won
2017,Ile,Ilevitable,Won
2017,L.H.O.N. (La Humanidad o Nosotros,Illya Kuryaki and the Valderramas,Nominated
2017,Buenaventura,La Santa Cecilia,Nominated
2017,Los Rakas,Los Rakas,Nominated
2017,Amor Supremo,Carla Morrison,Nominated
2018,Residente,Residente,Won
2018,Ayo,Bomba Estéreo,Nominated
2018,Pa' Fuera,C4 Trío & Desorden Público,Nominated
2018,Salvavidas De Hielo,Jorge Drexler,Nominated
2018,El Paradise,Los Amigos Invisibles,Nominated
