1987,Andreas Vollenweider,Down to the Moon,Won
1987,Jean Michel Jarre,Rendez-Vous,Nominated
1987,Paul Winter,Canyon,Nominated
1987,Various artists (Windham Hill Records),A Winter Solstice,Nominated
1987,Various artists,Windham Hill Records Sampler '86,Nominated
1988,Yusef Lateef,Yusef Lateef's Little Symphony,Won
1988,Paul Horn,Traveler,Nominated
1988,Kitarō,"""The Field""",Nominated
1988,Montreaux,"""Sweet Intentions""",Nominated
1988,Patrick O'Hearn,Between Two Worlds,Nominated
1988,Liz Story,"""Reconciliations""",Nominated
1989,Shadowfax,Folksongs for a Nuclear Village,Won
1989,Suzanne Ciani,Neverland,Nominated
1989,Mark Isham,Castalia,Nominated
1989,Steve Khan|Rob Mounsey,Local Color,Nominated
1989,Paul Winter,"""Down in Belgorod""",Nominated
1990,Peter Gabriel,Passion: Music for The Last Temptation of Christ,Won
1990,Enya,Orinoco Flow (Sail Away),Nominated
1990,Mark Isham,Tibet,Nominated
1990,Andreas Vollenweider,Dancing with the Lion,Nominated
1990,Paul Winter,"""Icarus""",Nominated
1991,Mark Isham,Mark Isham,Won
1991,Acoustic Alchemy,"""Caravan of Dreams""",Nominated
1991,Michael Hedges,Taproot,Nominated
1991,Mannheim Steamroller,Yellowstone: The Music of Nature,Nominated
1991,Mysterious Voices of Bulgaria,Balkan,Nominated
1991,Paul Winter,Earth: Voices of a Planet,Nominated
1992,Chip Davis,Fresh Aire 7,Won
1992,David Arkenstone,In the Wake of the Wind,Nominated
1992,Suzanne Ciani,Hotel Luna,Nominated
1992,Ottmar Liebert,Borrasca,Nominated
1992,Tangerine Dream,Canyon Dreams,Nominated
1993,Enya,Shepherd Moons,Won
1993,Kitarō,Dream,Nominated
1993,Shadowfax,Esperanto,Nominated
1993,Tangerine Dream,Rockoon,Nominated
1993,Yanni,Dare to Dream,Nominated
1994,Paul Winter Consort,Spanish Angel,Won
1994,Clannad,Banba,Nominated
1994,Ottmar Liebert|Luna Negra,The Hours Between Night and Day,Nominated
1994,Tangerine Dream,220 Volt Live,Nominated
1994,Yanni,In My Time,Nominated
1995,Paul Winter,Prayer for the Wild Things,Won
1995,Craig Chaquico,Acoustic Planet,Nominated
1995,Kitarō,Mandala,Nominated
1995,Michael Nesmith,The Garden,Nominated
1995,Tangerine Dream,Turn of the Tides,Nominated
1996,George Winston,Forest,Won
1996,Suzanne Ciani,Dream Suite,Nominated
1996,Kitarō,An Enchanted Evening,Nominated
1996,Patrick O'Hearn,Trust,Nominated
1996,Tangerine Dream,Tyranny of Beauty,Nominated
1997,Enya,The Memory of Trees,Won
1997,Acoustic Alchemy,Arcanum,Nominated
1997,Suzanne Ciani,Pianissimo II,Nominated
1997,Clannad,Lore,Nominated
1997,Ottmar Liebert|Luna Negra,Opium,Nominated
1998,Michael Hedges,Oracle,Won
1998,Enigma,"Le Roi est mort, vive le Roi!",Nominated
1998,Mike Oldfield,Voyager,Nominated
1998,Vangelis,Oceanic,Nominated
1998,Paul Winter,Canyon Lullaby,Nominated
1999,Clannad,Landmarks,Won
1999,William Ackerman,Sound of Wind Driven Rain,Nominated
1999,Alex De Grassi,The Water Garden,Nominated
1999,Kitarō,Gaia Onbashira,Nominated
1999,John Tesh,Grand Passion,Nominated
2000,Paul Winter,Celtic Solstice,Won
2000,David Arkenstone,Citizen of the World,Nominated
2000,Suzanne Ciani,Turning,Nominated
2000,Paul Horn|R. Carlos Nakai,Inside Monument Valley,Nominated
2000,R. Carlos Nakai,Inner Voices,Nominated
2000,George Winston,Plains,Nominated
2001,Kitarō,Thinking of You,Won
2001,Maire Brennan,Whisper to the Wild Water,Nominated
2001,Phil Coulter,Highland Cathedral,Nominated
2001,David Lanz,East of the Moon,Nominated
2001,R. Carlos Nakai|William Eaton|Will Clipman|Nawang Khechog,In a Distant Place,Nominated
2002,Enya,A Day Without Rain,Won
2002,Philip Aaberg,Live from Montana,Nominated
2002,David Darling,Cello Blue,Nominated
2002,Kitarō,Ancient,Nominated
2002,Sacred Spirit,Sacred Spirit II: More Chants and Dances of the Native Americans,Nominated
2003,Tingstad and Rumbel,Acoustic Garden,Won
2003,William Ackerman,Hearing Voices,Nominated
2003,Kitarō,An Ancient Journey,Nominated
2003,R. Carlos Nakai,Fourth World,Nominated
2003,Jai Uttal|Pagan Love Orchestra,Mondo Rama,Nominated
2004,Pat Metheny,One Quiet Night,Won
2004,Cusco,Inner Journeys: Myths & Legends,Nominated
2004,Michael Hoppé,Solace,Nominated
2004,Peter Kater,Red Moon,Nominated
2004,Kitarō,Sacred Journey of Ku-Kai,Nominated
2005,William Ackerman,Returning,Won
2005,David Arkenstone,Atlantis: A Symphonic Journey,Nominated
2005,Moya Brennan,Two Horizons,Nominated
2005,Peter Kater,Piano,Nominated
2005,Jonathan Elias,American River,Nominated
2006,Paul Winter Consort,Silver Solstice,Won
2006,Jack DeJohnette,Music in the Key of Om,Nominated
2006,Kitarō,"Sacred Journey of Ku-Kai, Volume 2",Nominated
2006,R. Carlos Nakai Quartet,People of Peace,Nominated
2006,George Winston,Montana – A Love Story,Nominated
2007,Enya,Amarantine,Won
2007,Enigma,A posteriori,Nominated
2007,Gentle Thunder|Will Clipman|AmoChip Dabney,Beyond Words,Nominated
2007,Peter Kater,Elements Series: Fire,Nominated
2007,Andreas Vollenweider,The Magical Journeys of Andreas Vollenweider,Nominated
2008,Paul Winter Consort,Crestone,Won
2008,Peter Kater,Faces of the Sun,Nominated
2008,Kitarō,"Sacred Journey of Ku-Kai, Volume 3",Nominated
2008,Ottmar Liebert,One Guitar,Nominated
2008,Eric Tingstad,Southwest,Nominated
2009,Jack DeJohnette,Peace Time,Won
2009,William Ackerman,Meditations,Nominated
2009,Will Clipman,Pathfinder,Nominated
2009,Peter Kater,Ambrosia,Nominated
2009,Ottmar Liebert|Luna Negra,The Scent of Light,Nominated
2010,David Darling,Prayer for Compassion,Won
2010,Jim Brickman,Faith,Nominated
2010,Henta,Laserium for the Soul,Nominated
2010,Peter Kater|Dominic Miller|Kenny Loggins|Jaques Morelenbaum,In a Dream,Nominated
2010,Kitarō,Impressions of the West Lake,Nominated
2011,Paul Winter Consort,Miho: Journey to the Mountain,Won
2011,Michael Brant DeMaria,Ocean,Nominated
2011,Kitarō,"Sacred Journey of Ku-Kai, Volume 4",Nominated
2011,R. Carlos Nakai|William Eaton|Will Clipman,Dancing Into Silence,Nominated
2011,Zamora,"Instrumental Oasis, Vol 4",Nominated
2012,Pat Metheny,What's It All About,Won
2012,Al Conti,Northern Seas,Nominated
2012,Michael Brant DeMaria,Gaia,Nominated
2012,Peter Kater,"Wind, Rock, Sea & Flame",Nominated
2012,Zamora,"Instrumental Oasis, Vol. 6",Nominated
2013,Omar Akram,Echoes of Love,Won
2013,Krishna Das,Live Ananda,Nominated
2013,Michael Brant DeMaria,Bindu,Nominated
2013,Steven Halpern,Deep Alpha,Nominated
2013,Peter Kater,Light Body,Nominated
2013,Loreena McKennitt,Troubadours of the Rhine,Nominated
2014,Laura Sullivan,Love's River,Won
2014,Brian Eno,Lux,Nominated
2014,Peter Kater,Illumination,Nominated
2014,Kitarō,Final Call,Nominated
2014,R. Carlos Nakai|Will Clipman,Awakening the Fire,Nominated
2015,Ricky Kej|Wouter Kellerman,Winds of Samsara,Won
2015,Paul Avgerinos,Bhakti,Nominated
2015,Peter Kater|R. Carlos Nakai,Ritual,Nominated
2015,Kitarō,Symphony Live in Istanbul,Nominated
2015,Silvia Nakkach|David Darling,In Love and Longing,Nominated
2016,Paul Avgerinos,Grace,Won
2016,Madi Das,Bhakti Without Borders,Nominated
2016,Catherine Duc,Voyager,Nominated
2016,Peter Kater,Love,Nominated
2016,Ron Korb,Asia Beauty,Nominated
2017,White Sun,White Sun II,Won
2017,John Burke,Orogen,Nominated
2017,Enya,Dark Sky Island,Nominated
2017,Peter Kater|Tina Guo,Inner Passion,Nominated
2017,Vangelis,Rosetta,Nominated
2018,Peter Kater,Dancing on Water,Won
2018,Kitarō,Sacred Journey of Ku-Kai Vol. 5,Nominated
2018,Steve Roach,Spiral Revelation,Nominated
2018,Brian Eno,Reflection,Nominated
2018,India.Arie,SongVersation: Medicine,Nominated
