1968,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Won
1968,The Association,Insight Out,Nominated
1968,Vikki Carr,It Must Be Him,Nominated
1968,The 5th Dimension,"Up, Up and Away",Nominated
1968,Bobbie Gentry,Ode to Billie Joe,Nominated
1995,Bonnie Raitt,Longing in Their Hearts,Won
1995,Ace of Base,The Sign,Nominated
1995,José Carreras|Plácido Domingo|Luciano Pavarotti|Zubin Mehta,The Three Tenors in Concert 1994,Nominated
1995,Lyle Lovett,I Love Everybody,Nominated
1995,Seal,Seal,Nominated
1996,Joni Mitchell,Turbulent Indigo,Won
1996,Mariah Carey,Daydream,Nominated
1996,Eagles,Hell Freezes Over,Nominated
1996,Annie Lennox,Medusa,Nominated
1996,Madonna,Bedtime Stories,Nominated
1997,Celine Dion,Falling into You,Won
1997,Toni Braxton,Secrets,Nominated
1997,Tracy Chapman,New Beginning,Nominated
1997,Shawn Colvin,A Few Small Repairs,Nominated
1997,Sting,Mercury Falling,Nominated
1998,James Taylor,Hourglass,Won
1998,Paula Cole,This Fire,Nominated
1998,Fleetwood Mac,The Dance,Nominated
1998,Jamiroquai,Travelling Without Moving,Nominated
1998,Sarah McLachlan,Surfacing,Nominated
1999,Madonna,Ray of Light,Won
1999,Eric Clapton,Pilgrim,Nominated
1999,Celine Dion,Let's Talk About Love,Nominated
1999,Natalie Imbruglia,Left of the Middle,Nominated
1999,Brian Setzer Orchestra,The Dirty Boogie,Nominated
2000,Sting,Brand New Day,Won
2000,Backstreet Boys,Millennium,Nominated
2000,Cher,Believe,Nominated
2000,Ricky Martin,Ricky Martin,Nominated
2000,Sarah McLachlan,Mirrorball,Nominated
2001,Steely Dan,Two Against Nature,Won
2001,Don Henley,Inside Job,Nominated
2001,Madonna,Music,Nominated
2001,NSYNC,No Strings Attached,Nominated
2001,Britney Spears,Oops!... I Did It Again,Nominated
2002,Sade,Lovers Rock,Won
2002,Nelly Furtado,"Whoa, Nelly!",Nominated
2002,Janet Jackson,All for You,Nominated
2002,Elton John,Songs from the West Coast,Nominated
2002,NSYNC,Celebrity,Nominated
2003,Norah Jones,Come Away with Me,Won
2003,Avril Lavigne,Let Go,Nominated
2003,No Doubt,Rock Steady,Nominated
2003,Pink,Missundaztood,Nominated
2003,Britney Spears,Britney,Nominated
2004,Justin Timberlake,Justified,Won
2004,Christina Aguilera,Stripped,Nominated
2004,George Harrison,Brainwashed,Nominated
2004,Annie Lennox,Bare,Nominated
2004,Michael McDonald,Motown,Nominated
2005,Ray Charles,Genius Loves Company,Won
2005,Norah Jones,Feels like Home,Nominated
2005,Sarah McLachlan,Afterglow,Nominated
2005,Joss Stone,Mind Body & Soul,Nominated
2005,Brian Wilson,Brian Wilson Presents Smile,Nominated
2006,Kelly Clarkson,Breakaway,Won
2006,Fiona Apple,Extraordinary Machine,Nominated
2006,Sheryl Crow,Wildflower,Nominated
2006,Paul McCartney,Chaos and Creation in the Backyard,Nominated
2006,Gwen Stefani,Love. Angel. Music. Baby.,Nominated
2007,John Mayer,Continuum,Won
2007,Christina Aguilera,Back to Basics,Nominated
2007,James Blunt,Back to Bedlam,Nominated
2007,Allen Toussaint|Elvis Costello,The River in Reverse,Nominated
2007,Justin Timberlake,FutureSex/LoveSounds,Nominated
2008,Amy Winehouse,Back to Black,Won
2008,Bon Jovi,Lost Highway,Nominated
2008,Feist,The Reminder,Nominated
2008,Maroon 5,It Won't Be Soon Before Long,Nominated
2008,Paul McCartney,Memory Almost Full,Nominated
2009,Duffy,Rockferry,Won
2009,Sheryl Crow,Detours,Nominated
2009,Eagles,Long Road out of Eden,Nominated
2009,Leona Lewis,Spirit,Nominated
2009,James Taylor,Covers,Nominated
2010,The Black Eyed Peas,The E.N.D.,Won
2010,Colbie Caillat,Breakthrough,Nominated
2010,Kelly Clarkson,All I Ever Wanted,Nominated
2010,The Fray,The Fray,Nominated
2010,Pink,Funhouse,Nominated
2011,Lady Gaga,The Fame Monster,Won
2011,Justin Bieber,My World 2.0,Nominated
2011,Susan Boyle,I Dreamed a Dream,Nominated
2011,John Mayer,Battle Studies,Nominated
2011,Katy Perry,Teenage Dream,Nominated
2012,Adele,21,Won
2012,CeeLo Green,The Lady Killer,Nominated
2012,Lady Gaga,Born This Way,Nominated
2012,Bruno Mars,Doo-Wops & Hooligans,Nominated
2012,Rihanna,Loud,Nominated
2013,Kelly Clarkson,Stronger,Won
2013,Florence and the Machine,Ceremonials,Nominated
2013,Fun,Some Nights,Nominated
2013,Maroon 5,Overexposed,Nominated
2013,Pink,The Truth About Love,Nominated
2014,Bruno Mars,Unorthodox Jukebox,Won
2014,Lana Del Rey,Paradise,Nominated
2014,Lorde,Pure Heroine,Nominated
2014,Robin Thicke,Blurred Lines,Nominated
2014,Justin Timberlake,The 20/20 Experience – The Complete Experience,Nominated
2015,Sam Smith,In the Lonely Hour,Won
2015,Coldplay,Ghost Stories,Nominated
2015,Miley Cyrus,Bangerz,Nominated
2015,Ariana Grande,My Everything,Nominated
2015,Katy Perry,Prism,Nominated
2015,Ed Sheeran,x,Nominated
2016,Taylor Swift,1989,Won
2016,Kelly Clarkson,Piece by Piece,Nominated
2016,Florence and the Machine,"How Big, How Blue, How Beautiful",Nominated
2016,Mark Ronson,Uptown Special,Nominated
2016,James Taylor,Before This World,Nominated
2017,Adele,25,Won
2017,Justin Bieber,Purpose,Nominated
2017,Ariana Grande,Dangerous Woman,Nominated
2017,Demi Lovato,Confident,Nominated
2017,Sia,This Is Acting,Nominated
2018,Ed Sheeran,÷,Won
2018,Coldplay,Kaleidoscope EP,Nominated
