1995,Boyz II Men,II,Won
1995,Anita Baker,Rhythm of Love,Nominated
1995,Tevin Campbell,I'm Ready,Nominated
1995,Gladys Knight,Just for You,Nominated
1995,Me'Shell NdegéOcello,Plantation Lullabies,Nominated
1995,Luther Vandross,Songs,Nominated
1996,TLC,CrazySexyCool,Won
1996,Mary J. Blige,My Life,Nominated
1996,D'Angelo,Brown Sugar,Nominated
1996,Prince,The Gold Experience,Nominated
1996,Barry White,The Icon Is Love,Nominated
1997,Tony Rich,Words,Won
1997,Oleta Adams,Moving On,Nominated
1997,Maxwell,Maxwell's Urban Hang Suite,Nominated
1997,Curtis Mayfield,New World Order,Nominated
1997,Me'Shell NdegéOcello,Peace Beyond Passion,Nominated
1998,Erykah Badu,Baduizm,Won
1998,Babyface,The Day,Nominated
1998,Mary J. Blige,Share My World,Nominated
1998,Boyz II Men,Evolution,Nominated
1998,Patti LaBelle,Flame,Nominated
1998,Whitney Houston,The Preacher's Wife: Original Soundtrack Album,Nominated
1999,Lauryn Hill,The Miseducation of Lauryn Hill,Won
1999,Erykah Badu,Live,Nominated
1999,Brandy,Never Say Never,Nominated
1999,Aretha Franklin,A Rose Is Still a Rose,Nominated
1999,Maxwell,Embrya,Nominated
2000,TLC,FanMail,Won
2000,Mary J. Blige,Mary,Nominated
2000,Whitney Houston,My Love Is Your Love,Nominated
2000,R. Kelly,R.,Nominated
2000,Brian McKnight,Back at One,Nominated
2001,D'Angelo,Voodoo,Won
2001,Boyz II Men,Nathan Michael Shawn Wanya,Nominated
2001,Toni Braxton,The Heat,Nominated
2001,Joe,My Name Is Joe,Nominated
2001,Jill Scott,Who Is Jill Scott? Words and Sounds Vol. 1,Nominated
2001,Sisqó,Unleash the Dragon,Nominated
2002,Alicia Keys,Songs in A Minor,Won
2002,Aaliyah,Aaliyah,Nominated
2002,India.Arie,Acoustic Soul,Nominated
2002,Mary J. Blige,No More Drama,Nominated
2002,Destiny's Child,Survivor,Nominated
2003,India.Arie,Voyage to India,Won
2003,Joe,Better Days,Nominated
2003,Musiq,Juslisen,Nominated
2003,Raphael Saadiq,Instant Vintage,Nominated
2003,Remy Shand,The Way I Feel,Nominated
2004,Luther Vandross,Dance with My Father,Won
2004,Erykah Badu,Worldwide Underground,Nominated
2004,Blu Cantrell,Bittersweet,Nominated
2004,Aretha Franklin,So Damn Happy,Nominated
2004,The Isley Brothers,Body Kiss,Nominated
2005,Alicia Keys,The Diary of Alicia Keys,Won
2005,Anita Baker,My Everything,Nominated
2005,Al Green,I Can't Stop,Nominated
2005,Prince,Musicology,Nominated
2005,Jill Scott,Beautifully Human: Words and Sounds Vol. 2,Nominated
2006,John Legend,Get Lifted,Won
2006,Fantasia,Free Yourself,Nominated
2006,"Earth, Wind & Fire",Illumination,Nominated
2006,Alicia Keys,Unplugged,Nominated
2006,Stevie Wonder,A Time to Love,Nominated
2007,Mary J. Blige,The Breakthrough,Won
2007,Jamie Foxx,Unpredictable,Nominated
2007,India.Arie,"Testimony: Vol. 1, Life & Relationship",Nominated
2007,Prince,3121,Nominated
2007,Lionel Richie,Coming Home,Nominated
2008,Chaka Khan,Funk This,Won
2008,Ledisi,Lost & Found,Nominated
2008,Musiq Soulchild,Luvanmusiq,Nominated
2008,Jill Scott,The Real Thing: Words and Sounds Vol. 3,Nominated
2008,Tank,"Sex, Love & Pain",Nominated
2009,Jennifer Hudson,Jennifer Hudson,Won
2009,Eric Benét,Love & Life,Nominated
2009,Boyz II Men,Motown: A Journey Through Hitsville USA,Nominated
2009,Al Green,Lay It Down,Nominated
2009,Raphael Saadiq,The Way I See It,Nominated
2010,Maxwell,BLACKsummers'night,Won
2010,Anthony Hamilton,The Point of It All,Nominated
2010,India.Arie,"Testimony: Vol. 2, Love & Politics",Nominated
2010,Ledisi,Turn Me Loose,Nominated
2010,Charlie Wilson,Uncle Charlie,Nominated
2011,John Legend,Wake Up!,Won
2011,Raheem DeVaughn,The Love & War MasterPeace,Nominated
2011,Fantasia,Back to Me,Nominated
2011,Jaheim,Another Round,Nominated
2011,Monica,Still Standing,Nominated
2012,Chris Brown,F.A.M.E.,Won
2012,El DeBarge,Second Chance,Nominated
2012,Ledisi,Pieces of Me,Nominated
2012,Kelly Price,Kelly,Nominated
2012,R. Kelly,Love Letter,Nominated
2013,Robert Glasper Experiment,Black Radio,Won
2013,Anthony Hamilton,Back to Love,Nominated
2013,R. Kelly,Write Me Back,Nominated
2013,Tamia,Beautiful Surprise,Nominated
2013,Tyrese,Open Invitation,Nominated
2014,Alicia Keys,Girl On Fire,Won
2014,Faith Evans,R&B Divas,Nominated
2014,John Legend,Love In The Future,Nominated
2014,Chrisette Michele,Better,Nominated
2014,TGT,Three Kings,Nominated
2015,Toni Braxton|Babyface,"Love, Marriage & Divorce",Won
2015,Bern/hoft,Islander,Nominated
2015,Aloe Blacc,Lift Your Spirit,Nominated
2015,Robert Glasper Experiment,Black Radio 2,Nominated
2015,Sharon Jones & The Dap-Kings,Give The People What They Want,Nominated
2016,D'Angelo & The Vanguard,Black Messiah,Won
2016,Leon Bridges,Coming Home,Nominated
2016,Andra Day,Cheers to the Fall,Nominated
2016,Jazmine Sullivan,Reality Show,Nominated
2016,Charlie Wilson,Forever Charlie,Nominated
2017,Lalah Hathaway,Lalah Hathaway Live,Won
2017,BJ The Chicago Kid,In My Mind,Nominated
2017,Terrace Martin,Velvet Portraits,Nominated
2017,Mint Condition,Healing Season,Nominated
2017,Mýa,Smoove Jones,Nominated
2018,Bruno Mars,24K Magic,Won
2018,Daniel Caesar,Freudian,Nominated
2018,Ledisi,Let Love Rule,Nominated
2018,PJ Morton,Gumbo,Nominated
2018,Musiq Soulchild,Feel the Real,Nominated
