1985,Black Uhuru,Anthem,Won
1985,Jimmy Cliff,"""Reggae Nights""",Nominated
1985,Steel Pulse,"""Steppin' Out""",Nominated
1985,Peter Tosh,Captured Live,Nominated
1985,Yellowman,King Yellowman,Nominated
1986,Jimmy Cliff,Cliff Hanger,Won
1986,Blue Riddim Band,Alive in Jamaica,Nominated
1986,Burning Spear,Resistance,Nominated
1986,Judy Mowatt,Working Wonders,Nominated
1986,Ziggy Marley and the Melody Makers,Play the Game Right,Nominated
1987,Steel Pulse,Babylon the Bandit,Won
1987,Black Uhuru,Brutal,Nominated
1987,Jimmy Cliff,Club Paradise,Nominated
1987,Linton Kwesi Johnson and the Dub Band,Linton Kwesi Johnson in Concert with the Dub Band,Nominated
1987,The Itals,Rasta Philosophy,Nominated
1988,Peter Tosh,No Nuclear War,Won
1988,Black Uhuru,Brutal Dub,Nominated
1988,Burning Spear,People of the World,Nominated
1988,Third World,Hold On to Love,Nominated
1988,UB40,UB40 CCCP: Live in Moscow,Nominated
1989,Ziggy Marley and the Melody Makers,Conscious Party,Won
1989,Jimmy Cliff,Hanging Fire,Nominated
1989,Toots,Toots in Memphis,Nominated
1989,UB40,UB40,Nominated
1989,UB40|Chrissie Hynde,Breakfast in Bed,Nominated
1990,Ziggy Marley and the Melody Makers,One Bright Day,Won
1990,Bunny Wailer,Liberation,Nominated
1990,Burning Spear,Live in Paris Zenith '88,Nominated
1990,Third World,Serious Business,Nominated
1990,Wailers Band,I.D.,Nominated
1991,Bunny Wailer,Time Will Tell: A Tribute to Bob Marley,Won
1991,Black Uhuru,Now,Nominated
1991,Burning Spear,Mek We Dweet,Nominated
1991,Toots & the Maytals,An Hour Live,Nominated
1991,Andrew Tosh,Make Place for the Youth,Nominated
1992,Shabba Ranks,As Raw As Ever,Won
1992,Black Uhuru,Iron Storm,Nominated
1992,Bunny Wailer,Gumption,Nominated
1992,Rita Marley,We Must Carry On,Nominated
1992,Steel Pulse,Victims,Nominated
1992,Ziggy Marley and the Melody Makers,Jahmekya,Nominated
1993,Shabba Ranks,X-tra Naked,Won
1993,Jimmy Cliff,Breakout,Nominated
1993,Steel Pulse,Rastafari Centennial: Live in Paris – Elysee Montmartre,Nominated
1993,The Wailing Souls,All Over the World,Nominated
1993,Third World,Committed,Nominated
1994,Inner Circle,"""Bad Boys""",Won
1994,Black Uhuru,Mystical Truth,Nominated
1994,Burning Spear,The World Should Know,Nominated
1994,Maxi Priest,Fe Real,Nominated
1994,Ziggy Marley and the Melody Makers,Joy and Blues,Nominated
1995,Bunny Wailer,Crucial! Roots Classics,Won
1995,Aswad,Rise and Shine,Nominated
1995,Black Uhuru,Strongg,Nominated
1995,Dennis Brown,Light My Fire,Nominated
1995,Inner Circle,Reggae Dancer,Nominated
1995,Various artists,Stir It Up,Nominated
1996,Shaggy,Boombastic,Won
1996,Burning Spear,Rasta Business,Nominated
1996,The Skatalites,Hi-Bop Ska! The 30th Anniversary Recording,Nominated
1996,Third World,Live It Up,Nominated
1996,Ziggy Marley and the Melody Makers,Free Like We Want 2 B,Nominated
1997,Bunny Wailer,Hall of Fame: A Tribute to Bob Marley's 50th Anniversary,Won
1997,Gregory Isaacs,Mr. Cool,Nominated
1997,Maxi Priest,Man with the Fun,Nominated
1997,Sister Carol,Lyrically Potent,Nominated
1997,The Skatalites,Greetings from Skamania,Nominated
1998,Ziggy Marley and the Melody Makers,Fallen Is Babylon,Won
1998,Aswad,Big Up,Nominated
1998,Burning Spear,Appointment with His Majesty,Nominated
1998,Steel Pulse,Rage and Fury,Nominated
1998,Yellowman,Freedom of Speech,Nominated
1999,Sly and Robbie,Friends,Won
1999,Buju Banton,Inna Heights,Nominated
1999,Beenie Man,Many Moods of Moses,Nominated
1999,The Wailing Souls,Psychedelic Souls,Nominated
1999,Toots & the Maytals,Ska Father,Nominated
