2012,Pepe Aguilar,Bicentenario,Won
2012,Orale,Bicentenario,Nominated
2012,Amor a la Musica,Bicentenario,Nominated
2012,No Quiere Perderte,Bicentenario,Nominated
2012,Eres Un Farsante,Bicentenario,Nominated
2012,Huevos Rancheros,Bicentenario,Nominated
2013,Lila Downs,Pecados y Milagros,Won
2013,Los Cojolites,Sembrando Flores,Nominated
2013,Los Tucanes de Tijuana,365 Días,Nominated
2013,Mariachi Divas de Cindy Shea,Oye,Nominated
2013,Gerardo Ortíz,El Primer Ministro,Nominated
2014,Mariachi Divas de Cindy Shea,A Mi Manera,Won
2014,Banda Los Recoditos,El Free,Nominated
2014,25,El Free,Nominated
2014,Intocable,En Peligro de Extinción,Nominated
2014,Paquita la del Barrio,Romeo Y Su Nieta,Nominated
2014,Joan Sebastian,13 Celebrando El 13,Nominated
2015,Vicente Fernandez,Mano a Mano – Tangos a la Manera de Vicente Fernández,Won
2015,Pepe Aguilar,Lastima Que Sean Ajenas,Nominated
2015,Ixya Herrera,Voz y Guitarra,Nominated
2015,Mariachi Divas de Cindy Shea,15 Anniversario,Nominated
2015,Mariachi Los Arrieros Del Valle,Alegria del Mariachi,Nominated
2016,Los Tigres del Norte,Realidades (Deluxe Edition),Won
2016,Banda El Recodo De Don Cruz Lizarraga,Mi Vicio Mas Grande,Nominated
2016,La Maquinaria Norteña,Ya Dime Adiós,Nominated
2016,Los Cojolites,Zapateando,Nominated
2016,"Ni Para Bien, Ni Para Mal",Zapateando,Nominated
2016,Mariachi Los Camperos De Nati Cano,"Tradición, Arte y Passión",Nominated
2017,Vicente Fernández,"Un Azteca En El Azteca, Vol. 1",Won
2017,Banda El Recodo de Cruz Lizárraga,Raíces,Nominated
2017,Joss Favela,Hecho a Mano,Nominated
2017,Más Original que Nunca,Hecho a Mano,Nominated
2017,La Maquinaria Norteña,Generación Maquinaria Est. 2006,Nominated
2017,Mariachi Divas de Cindy Shea,Tributo a Joan Sebastian y Rigoberto Alfaro,Nominated
2018,Aida Cuevas,Arrieros Somos – Sesiones Acústicas,Won
2018,Julión Álvarez y su Norteño Banda,Ni Diablo Ni Santo,Nominated
2018,Banda El Recodo de Cruz Lizárraga,Ayer Y Hoy,Nominated
2018,Alex Campos,Momentos,Nominated
2018,Humberto Novoa (producer),Zapateando En El Norte (performed by Various Arists),Nominated
