2012,Rebirth Brass Band,Rebirth of New Orleans,Won
2012,C.J. Chenier,Can't Sit Down,Nominated
2012,George Kahumoku Jr.,Wao Akua — The Forest of the Gods,Nominated
2012,Steve Riley|The Mamou Playboys,Grand Isle,Nominated
2012,Jimmy Sturr & his Orchestra,Not Just Another Polka,Nominated
2013,Wayne Toups|Steve Riley|Wilson Savoy,The Band Courtbouillon,Won
2013,Keola Beamer,Malama Ko Aloha (Keep Your Love),Nominated
2013,Radmilla Cody,Shi Kéyah — Songs for the People,Nominated
2013,Weldon Kekauoha,Pilialoha,Nominated
2013,Corey Ledet|Anthony Dopsie|Dwayne Dopsie|Andre Thierry,Nothin' But the Best,Nominated
2014,Terrance Simien and the Zydeco Experience,Dockside Sessions,Won
2014,Hot 8 Brass Band,The Life & Times of...The Hot 8 Brass Band,Nominated
2014,Kahulanui,Hula Ku'i,Nominated
2014,Zachary Richard,Le Fou,Nominated
2014,Joe Tohonnie Jr.,Apache Blessing & Crown Dance Songs,Nominated
2015,Jo-El Sonnier,The Legacy,Won
2015,Bonsoir Catin,Light the Stars,Nominated
2015,Kamaka Kukona,Hanu 'A'ala,Nominated
2015,Magnolia Sisters,Love's Lies,Nominated
2015,Joe Tohonnie Jr.,Ceremony,Nominated
2016,Jon Cleary,Go Go Juice,Won
2016,Natalie Ai Kamauu,La La La La,Nominated
2016,Keali'i Reichel,Kawaiokalena,Nominated
2016,The Revelers,Get Ready,Nominated
2016,Windwalker & The MCW,Generations,Nominated
2017,Kalani Pe'a,E Walea,Won
2017,Barry Jean Ancelet|Sam Broussard,Broken Promised Land,Nominated
2017,Northern Cree,It's a Cree Thing,Nominated
2017,Roddie Romero & The Hub City All-Stars,Gulfstream,Nominated
2017,Various Artists,I Wanna Sing Right: Rediscovering Lomax in the Evangeline Country,Nominated
2018,The Lost Bayou Ramblers,Kalenda,Won
2018,Dwayne Dopsie and the Zydeco Hellraisers,Top of the Mountain,Nominated
2018,Ho'okena,Ho'okena 3.0,Nominated
2018,Northern Cree,"Miyo Kekisepa, Make a Stand [Live]",Nominated
2018,Josh Tatofi,Pua Kiele,Nominated
