1995,The Rolling Stones,Voodoo Lounge,Won
1995,Pearl Jam,Vs.,Nominated
1995,R.E.M.,Monster,Nominated
1995,Soundgarden,Superunknown,Nominated
1995,Neil Young|Crazy Horse,Sleeps with Angels,Nominated
1996,Alanis Morissette,Jagged Little Pill,Won
1996,Chris Isaak,Forever Blue,Nominated
1996,Pearl Jam,Vitalogy,Nominated
1996,Tom Petty,Wildflowers,Nominated
1996,Neil Young,Mirror Ball,Nominated
1997,Sheryl Crow,Sheryl Crow,Won
1997,Dave Matthews Band,Crash,Nominated
1997,No Doubt,Tragic Kingdom,Nominated
1997,Bonnie Raitt,Road Tested,Nominated
1997,Neil Young|Crazy Horse,Broken Arrow,Nominated
1998,John Fogerty,Blue Moon Swamp,Won
1998,Aerosmith,Nine Lives,Nominated
1998,Foo Fighters,The Colour and the Shape,Nominated
1998,The Rolling Stones,Bridges to Babylon,Nominated
1998,U2,Pop,Nominated
1999,Sheryl Crow,The Globe Sessions,Won
1999,Dave Matthews Band,Before These Crowded Streets,Nominated
1999,John Fogerty,Premonition,Nominated
1999,Garbage,Version 2.0,Nominated
1999,Hole,Celebrity Skin,Nominated
2000,Santana,Supernatural,Won
2000,Melissa Etheridge,Breakdown,Nominated
2000,Limp Bizkit,Significant Other,Nominated
2000,Red Hot Chili Peppers,Californication,Nominated
2000,Tom Petty and the Heartbreakers,Echo,Nominated
2001,Foo Fighters,There Is Nothing Left to Lose,Won
2001,Bon Jovi,Crush,Nominated
2001,Matchbox Twenty,Mad Season,Nominated
2001,No Doubt,Return of Saturn,Nominated
2001,Rage Against the Machine,The Battle of Los Angeles,Nominated
2002,U2,All That You Can't Leave Behind,Won
2002,Ryan Adams,Gold,Nominated
2002,Aerosmith,Just Push Play,Nominated
2002,PJ Harvey,"Stories from the City, Stories from the Sea",Nominated
2002,Linkin Park,Hybrid Theory,Nominated
2003,Bruce Springsteen,The Rising,Won
2003,Elvis Costello,When I Was Cruel,Nominated
2003,Sheryl Crow,C'mon C'mon,Nominated
2003,Robert Plant,Dreamland,Nominated
2003,Tonic,Head on Straight,Nominated
2004,Foo Fighters,One by One,Won
2004,Audioslave,Audioslave,Nominated
2004,Evanescence,Fallen,Nominated
2004,Matchbox Twenty,More Than You Think You Are,Nominated
2004,Nickelback,The Long Road,Nominated
2005,Green Day,American Idiot,Won
2005,Elvis Costello and the Imposters,The Delivery Man,Nominated
2005,Hoobastank,The Reason,Nominated
2005,The Killers,Hot Fuss,Nominated
2005,Velvet Revolver,Contraband,Nominated
2006,U2,How to Dismantle an Atomic Bomb,Won
2006,Coldplay,X&Y,Nominated
2006,Foo Fighters,In Your Honor,Nominated
2006,The Rolling Stones,A Bigger Bang,Nominated
2006,Neil Young,Prairie Wind,Nominated
2007,Red Hot Chili Peppers,Stadium Arcadium,Won
2007,John Mayer Trio,Try!,Nominated
2007,Tom Petty,Highway Companion,Nominated
2007,The Raconteurs,Broken Boy Soldiers,Nominated
2007,Neil Young,Living with War,Nominated
2008,Foo Fighters,"Echoes, Silence, Patience & Grace",Won
2008,Daughtry,Daughtry,Nominated
2008,John Fogerty,Revival,Nominated
2008,Bruce Springsteen,Magic,Nominated
2008,Wilco,Sky Blue Sky,Nominated
2009,Coldplay,Viva la Vida or Death and All His Friends,Won
2009,Kid Rock,Rock n Roll Jesus,Nominated
2009,Kings of Leon,Only by the Night,Nominated
2009,Metallica,Death Magnetic,Nominated
2009,The Raconteurs,Consolers of the Lonely,Nominated
2010,Green Day,21st Century Breakdown,Won
2010,AC/DC,Black Ice,Nominated
2010,Eric Clapton|Steve Winwood,Live from Madison Square Garden,Nominated
2010,Dave Matthews Band,Big Whiskey and the GrooGrux King,Nominated
2010,U2,No Line on the Horizon,Nominated
2011,Muse,The Resistance,Won
2011,Jeff Beck,Emotion & Commotion,Nominated
2011,Pearl Jam,Backspacer,Nominated
2011,Tom Petty and the Heartbreakers,Mojo,Nominated
2011,Neil Young,Le Noise,Nominated
2012,Foo Fighters,Wasting Light,Won
2012,Jeff Beck,Rock 'n' Roll Party (Honoring Les Paul),Nominated
2012,Kings of Leon,Come Around Sundown,Nominated
2012,Red Hot Chili Peppers,I'm with You,Nominated
2012,Wilco,The Whole Love,Nominated
2013,The Black Keys,El Camino,Won
2013,Coldplay,Mylo Xyloto,Nominated
2013,Muse,The 2nd Law,Nominated
2013,Bruce Springsteen,Wrecking Ball,Nominated
2013,Jack White,Blunderbuss,Nominated
2014,Led Zeppelin,Celebration Day,Won
2014,Black Sabbath,13,Nominated
2014,David Bowie,The Next Day,Nominated
