1983,"Clarence ""Gatemouth"" Brown",Alright Again,Won
1983,Johnny Otis,The New Johnny Otis Show,Nominated
1983,Hound Dog Taylor & the HouseRockers,Genuine Houserocking Music,Nominated
1983,"Eddie ""Cleanhead"" Vinson|Roomful of Blues","""He Was a Friend of Mine""",Nominated
1983,Sippie Wallace,Sippie,Nominated
1984,B.B. King,Blues 'N' Jazz,Won
1984,"Clarence ""Gatemouth"" Brown",One More Mile,Nominated
1984,Albert King,San Francisco '83,Nominated
1984,Big Joe Turner|Roomful of Blues,Blues Train,Nominated
1984,Stevie Ray Vaughan|Double Trouble,Texas Flood,Nominated
1985,"John P. Hammond|Stevie Ray Vaughan|Double Trouble|Sugar Blue|Koko Taylor & the Blues Machine|Luther ""Guitar Junior"" Johnson|J.B. Hutto & the New Hawks",Blues Explosion,Won
1985,Bobby Bland,You've Got Me Loving You,Nominated
1985,Albert King,"I'm in a Phone Booth, Baby",Nominated
1985,Big Joe Turner,Kansas City Here I Come,Nominated
1985,Johnny Winter,Guitar Slinger,Nominated
1986,B.B. King,"""My Guitar Sings the Blues""",Won
1986,Bobby Bland,Live from Chicago: Mr. Superharp Himself!,Nominated
1986,Roy Buchanan,When a Guitar Plays the Blues,Nominated
1986,Koko Taylor,Queen of the Blues,Nominated
1986,Big Joe Turner|Jimmy Witherspoon,"Patcha, Patcha, All Night Long",Nominated
1986,Big Joe Turner|Knocky Parker & His Houserockers,Big Joe Turner with Knocky Parker & His Houserockers,Nominated
1986,Johnny Winter,Serious Business,Nominated
1987,Albert Collins|Robert Cray|Johnny Copeland,Showdown!,Won
1987,"Clarence ""Gatemouth"" Brown",Pressure Cooker,Nominated
1987,James Cotton,Live from Chicago: Mr. Superharp Himself!,Nominated
1987,Willie Dixon,Live! Backstage Access,Nominated
1987,John Lee Hooker,Jealous,Nominated
1988,Professor Longhair,Houseparty New Orleans Style,Won
1988,Albert Collins,Cold Snap,Nominated
1988,James Cotton,Take Me Back,Nominated
1988,Koko Taylor,Live from Chicago: An Audience with the Queen,Nominated
1988,"Eddie ""Cleanhead"" Vinson","""Old Maid Boogie""",Nominated
1989,Willie Dixon,Hidden Charms,Won
1989,Johnny Copeland,Ain't Nothin' But a Party,Nominated
1989,James Cotton,Live at Antone's Nightclub,Nominated
1989,Guitar Slim Jr.,Story of My Life,Nominated
1989,Rockin' Dopsie,Saturday Night Zydeco,Nominated
1990,John Lee Hooker|Bonnie Raitt,"""I'm in the Mood""",Won
1990,Ruth Brown,"""If I Can't Sell It, I'll Keep Sitting on It""",Nominated
1990,Willie Dixon,Ginger Ale Afternoon,Nominated
1990,John Lee Hooker,The Healer,Nominated
1990,Memphis Slim,Memphis Blues: The Paris Sessions,Nominated
1991,B.B. King,Live at San Quentin,Won
1991,"Clarence ""Gatemouth"" Brown",Standing My Ground,Nominated
1991,Ruth Brown|Linda Hopkins,"""T'aint Nobody's Bizness If I Do""",Nominated
1991,John Lee Hooker|Earl Palmer|Tim Drummond|Miles Davis|Roy Rogers,"""Coming to Town""",Nominated
1991,Little Milton,Too Much Pain,Nominated
1992,B.B. King,Live at the Apollo,Won
1992,Charles Brown,All My Life,Nominated
1992,Johnnie Johnson,Johnnie B. Bad,Nominated
1992,John Lee Hooker,Mr. Lucky,Nominated
1992,Taj Mahal,Mule Bone,Nominated
1993,Dr. John,Goin' Back to New Orleans,Won
1993,Charles Brown,Someone to Love,Nominated
1993,"Clarence ""Gatemouth"" Brown",No Looking Back,Nominated
1993,John P. Hammond,Got Love If You Want It,Nominated
1993,Various Artists,Roots of Rhythm and Blues: A Tribute to the Robert Johnson Era,Nominated
1994,B.B. King,Blues Summit,Won
1994,Albert Collins,Collins Mix: The Best Of,Nominated
1994,John Lee Hooker,Boom Boom,Nominated
1994,Taj Mahal,Dancing the Blues,Nominated
1994,Various Artists,The Alligator Records 20th Anniversary Tour,Nominated
1995,Eric Clapton,From the Cradle,Won
1995,James Cotton,Living the Blues,Nominated
1995,John P. Hammond,Trouble No More,Nominated
1995,Charlie Musselwhite,In My Time,Nominated
1995,Otis Rush,Ain't Enough Comin' In,Nominated
1996,John Lee Hooker,Chill Out,Won
1996,Charles Brown,Charles Brown's Cool Christmas Blues,Nominated
1996,Lowell Fulson,Them Update Blues,Nominated
1996,The Last Real Texas Blues Band featuring Doug Sahm,The Last Real Texas Blues Band featuring Doug Sahm,Nominated
1996,Roomful of Blues,Turn It On! Turn It Up!,Nominated
1997,James Cotton,Deep in the Blues,Won
1997,John P. Hammond,Found True Love,Nominated
1997,The Muddy Waters Tribute Band,You're Gonna Miss Me (When I'm Dead & Gone),Nominated
1997,Junior Wells with Guest Slide Guitarists,Come on in This House,Nominated
1997,Jimmy Witherspoon,Live at the Mint,Nominated
