1992,Natalie Cole,Unforgettable... with Love,Won
1992,"Harry Connick, Jr.","Blue Light, Red Light",Nominated
1992,Johnny Mathis,In a Sentimental Mood: Mathis Sings Ellington,Nominated
1992,Diane Schuur,Pure Schuur,Nominated
1992,Barbra Streisand,"""Warm All Over""",Nominated
1993,Tony Bennett,Perfectly Frank,Won
1993,Rosemary Clooney,Girl Singer,Nominated
1993,Michael Feinstein,Michael Feinstein Sings the Jule Styne Songbook,Nominated
1993,Bobby Short,Late Night at the Cafe Carlyle,Nominated
1993,Nancy Wilson,With My Lover Beside Me,Nominated
1994,Tony Bennett,Steppin' Out,Won
1994,Rosemary Clooney,Do You Miss New York?,Nominated
1994,Michael Crawford,A Touch of Music in the Night,Nominated
1994,Diane Schuur,Love Songs,Nominated
1994,Barbra Streisand,Back to Broadway,Nominated
1995,Tony Bennett,MTV Unplugged: Tony Bennett,Won
1995,Roberta Flack,Roberta,Nominated
1995,Willie Nelson,Moonlight Becomes You,Nominated
1995,Frank Sinatra,Duets,Nominated
1995,Barbra Streisand,The Concert,Nominated
1996,Frank Sinatra,Duets II,Won
1996,Julie Andrews,Broadway: The Music of Richard Rodgers,Nominated
1996,Rosemary Clooney,Demi-Centennial,Nominated
1996,Eartha Kitt,Back in Business,Nominated
1996,John Raitt,Broadway Legend,Nominated
1997,Tony Bennett,Here's to the Ladies,Won
1997,Rosemary Clooney,Dedicated to Nelson,Nominated
1997,Natalie Cole,Stardust,Nominated
1997,Liza Minnelli,Gently,Nominated
1997,Bernadette Peters,I'll Be Your Baby Tonight,Nominated
1998,Tony Bennett,Tony Bennett on Holiday,Won
1998,Julie Andrews,Here I'll Stay,Nominated
1998,Rosemary Clooney,Mothers & Daughters,Nominated
1998,Bernadette Peters,"Sondheim, etc.",Nominated
1998,Carly Simon,Film Noir,Nominated
1999,Patti Page,Live at Carnegie Hall: The 50th Anniversary Concert,Won
1999,Shirley Bassey,The Birthday Concert,Nominated
1999,Michael Feinstein,Michael & George: Feinstein Sings Gershwin,Nominated
1999,Jack Jones,Jack Jones Paints a Tribute to Tony Bennett,Nominated
1999,Maureen McGovern,The Pleasure of His Company,Nominated
2000,Tony Bennett,Bennett Sings Ellington: Hot & Cool,Won
2000,"Harry Connick, Jr.",Come by Me,Nominated
2000,Neil Diamond,The Movie Album: As Time Goes By,Nominated
2000,Barry Manilow,Manilow Sings Sinatra,Nominated
2000,Bobby Short,You're the Top: Love Song of Cole Porter,Nominated
2001,Joni Mitchell,Both Sides Now,Won
2001,Bryan Ferry,As Time Goes By,Nominated
2001,Rickie Lee Jones,It's Like This,Nominated
2001,George Michael,Songs from the Last Century,Nominated
2001,Barbra Streisand,Timeless: Live in Concert,Nominated
2002,"Harry Connick, Jr.",Songs I Heard,Won
2002,Betty Buckley,Stars and the Moon: Live at the Donmar,Nominated
2002,Rosemary Clooney,Sentimental Journey: The Girl Singer and Her New Big Band,Nominated
2002,Michael Feinstein,"Romance on Film, Romance on Broadway",Nominated
2002,Keely Smith,Keely Sings Sinatra,Nominated
2003,Tony Bennett,Playin' with My Friends: Bennett Sings the Blues,Won
2003,Michael Feinstein,Michael Feinstein with the Israel Philharmonic Orchestra,Nominated
2003,Bernadette Peters,Bernadette Peters Loves Rodgers & Hammerstein,Nominated
2003,Rod Stewart,It Had to Be You: The Great American Songbook,Nominated
