1984,Tito Puente,On Broadway,Won
1984,Corazón Abierto,Willie Colón,Nominated
1984,El Que la Hace la Paga,Rubén Blades,Nominated
1984,Mongo Magic,Mongo Santamaría,Nominated
1984,Tremendo Trío,"Ray Barretto, Celia Cruz and Adalberto Santiago",Nominated
1985,Eddie Palmieri,Palo Pa' Rumba,Won
1985,Bien Sabroso!,Poncho Sánchez,Nominated
1985,In Alaska: Breaking the Ice,El Gran Combo de Puerto Rico,Nominated
1985,Buscando América,Rubén Blades,Nominated
1985,Criollo,Willie Colón,Nominated
1985,Y Ahora!,Los Socios del Ritmo,Nominated
1986,Eddie Palmieri,Solito,Won
1986,Noche de Discothèque,Bonny Cepeda and Orchestra,Nominated
1986,De Nuevo,Celia Cruz and Johnny Pacheco,Nominated
1986,Free Spirit,Espiritu Libre – Mongo Santamaría and his Latin Jazz Orchestra,Nominated
1986,Mucho Mejor,Rubén Blades,Nominated
1987,Rubén Blades,Escenas,Won
1987,Afro-Cuban Jazz,Mario Bauza,Nominated
1987,Especial No. 5,Willie Colón,Nominated
1987,"Homenaje a Beny Moré, Vol. 3",Celia Cruz and Tito Puente,Nominated
1987,Nueva Cosecha,Willie Rosario,Nominated
1988,Eddie Palmieri,La Verdad – The Truth,Won
1988,Agua de Luna (Moon Water),Rubén Blades,Nominated
1988,Aquí se Puede,Ray Barretto,Nominated
1988,Caribbean Express,Caribbean Express,Nominated
1988,Strikes Back,Héctor Lavoe,Nominated
1988,The Winners,Celia Cruz and Willie Colón,Nominated
1989,Rubén Blades,Antecedente,Won
1989,La Salsa Soy Yo,Oscar D'León,Nominated
1989,Mister E.,Pete Escovedo,Nominated
1989,Salsobita,"Johnny Pacheco and Pete ""El Conde"" Rodríguez",Nominated
1989,Sigo Atrevido,Eddie Santiago,Nominated
1990,Celia Cruz|Ray Barretto,Ritmo en el Corazón,Won
1990,Animation,Wilfrido Vargas,Nominated
1990,Azúcar,Eddie Palmieri,Nominated
1990,Irresistible,Ray Barretto,Nominated
1990,Top Secrets/Altos Secretos,Willie Colón,Nominated
