2013,Frank Ocean,Channel Orange,Won
2013,Miguel,Kaleidoscope Dream,Nominated
2013,Chris Brown,Fortune,Nominated
2014,Rihanna,Unapologetic,Won
2014,Mack Wilds,New York: A Love Story,Nominated
2014,Tamar Braxton,Love and War,Nominated
2014,Fantasia,Side Effects of You,Nominated
2014,Salaam Remi,One: In the Chamber,Nominated
2015,Pharrell Williams,GIRL,Won
2015,Beyoncé,Beyoncé,Nominated
2015,Chris Brown,X,Nominated
2015,Jhené Aiko,Sail Out,Nominated
2015,Mali Music,Mali Is...,Nominated
2016,The Weeknd,Beauty Behind the Madness,Won
2016,Lianne La Havas,Blood,Nominated
2016,Miguel,Wildheart,Nominated
2016,Kehlani,You Should Be Here,Nominated
2016,The Internet,Ego Death,Nominated
2017,Beyoncé,Lemonade,Won
2017,Gallant,Ology,Nominated
2017,KING,We Are King,Nominated
2017,Anderson .Paak,Malibu,Nominated
2017,Rihanna,Anti,Nominated
2018,The Weeknd,Starboy,Won
2018,6LACK,Free 6LACK,Nominated
2018,Childish Gambino,"""Awaken, My Love!""",Nominated
2018,Khalid,American Teen,Nominated
2018,SZA,CTRL,Nominated
