1992,Mickey Hart,Planet Drum,Won
1992,Brazilian Serenata,Dori Caymmi,Nominated
1992,Este Mundo,Gipsy Kings,Nominated
1992,Amen,Salif Keita,Nominated
1992,Txai,Milton Nascimento,Nominated
1993,Sérgio Mendes,Brasileiro,Won
1993,Gipsy Kings Live,Gipsy Kings,Nominated
1993,Kirya,Ofra Haza,Nominated
1993,Eyes Open,Youssou N'Dour,Nominated
1993,Americas,Strunz & Farah,Nominated
1994,Ry Cooder|Vishwa Mohan Bhatt,A Meeting by the River,Won
1994,Johnny Clegg|Savuka,"Heat, Dust and Dreams",Nominated
1994,Deep Forest,Deep Forest,Nominated
1994,"A World Out of Time, Vol. 2",Henry Kaiser and David Lindley,Nominated
1994,From Bulgaria with Love,Le Mystère des Voix Bulgares,Nominated
1995,Ry Cooder|Ali Farka Touré,Talking Timbuktu,Won
1995,Gipsy Kings,Love and Liberté,Nominated
1995,Angelus,Milton Nascimento,Nominated
1995,The Guide (Wommat),Youssou N'Dour,Nominated
1995,Sabsylma,Zap Mama,Nominated
1996,Deep Forest,Boheme,Won
1996,Cesária,Cesária Évora,Nominated
1996,Firin' in Fouta,Baaba Maal,Nominated
1996,Raga Aberi,Shankar with Zakir Hussain and Vikku Vinayakram,Nominated
1996,The Splendid Master Gnawa Musicians of Morocco,The Splendid Master Gnawa Musicians of Morocco featuring Randy Weston,Nominated
1997,The Chieftains,Santiago,Won
1997,Tabula Rasa,"Béla Fleck, V.M. Bhatt and Jiebing Chen",Nominated
1997,Tierra Gitana,Gipsy Kings,Nominated
1997,Legacy,Ali Akbar Khan,Nominated
1997,Night Song,Nusrat Fateh Ali Khan and Michael Brook,Nominated
1997,My People,Joe Zawinul,Nominated
1998,Milton Nascimento,Nascimento,Won
1998,Cabo Verde,Cesária Évora,Nominated
1998,Compas,Gipsy Kings,Nominated
1998,Passing on the Tradition,Ali Akbar Khan,Nominated
1998,Love Drum Talk,Babatunde Olatunji,Nominated
1999,Gilberto Gil,Quanta Live,Won
1999,Odu,King Sunny Adé,Nominated
1999,Miss Perfumado,Cesária Évora,Nominated
1999,Oremi,Angélique Kidjo,Nominated
1999,Contact from the Underworld of Redboy,Robbie Robertson,Nominated
2000,Caetano Veloso,Livro,Won
2000,Volume 2: Release,Afro Celt Sound System,Nominated
2000,Café Atlantico,Cesária Évora,Nominated
2000,Papa,Salif Keita,Nominated
2000,Niafunke,Ali Farka Touré,Nominated
2001,João Gilberto,João Voz e Violão,Won
2001,Homeland,Miriam Makeba,Nominated
2001,Joko (The Link),Youssou N'Dour,Nominated
2001,Water from the Well,The Chieftains,Nominated
2001,Journey with the Sun,Paul Winter and the Earth Band,Nominated
2002,Ravi Shankar,Full Circle: Carnegie Hall 2000,Won
2002,Volume 3: Further in Time,Afro Celt Sound System,Nominated
2002,São Vicente di Longe,Cesária Évora,Nominated
2002,Gilberto Gil|Milton Nascimento,Gil and Milton,Nominated
2002,Saturday Night in Bombay: Remember Shakti,John McLaughlin and various artists,Nominated
2003,Rubén Blades,Mundo,Won
2003,Moffou,Salif Keita,Nominated
2003,Black Ivory Soul,Angélique Kidjo,Nominated
2003,Fight to Win,Femi Kuti,Nominated
2003,Live at Carnegie Hall,Anoushka Shankar,Nominated
2012,Tinariwen,Tassili,Won
2012,AfroCubism,AfroCubism,Nominated
2012,Africa for Africa,Femi Kuti,Nominated
2012,Songs from a Zulu Farm,Ladysmith Black Mambazo,Nominated
2012,Tassili,Tinariwen,Nominated
2013,Ravi Shankar,The Living Room Sessions Part 1,Won
2013,Folila,Amadou & Mariam,Nominated
2013,On a Gentle Island Breeze,Daniel Ho,Nominated
2013,Jabulani,Hugh Masekela,Nominated
2013,Traveller,Anoushka Shankar,Nominated
2014,Gipsy Kings,Savor Flamenco,Won
2014,No Place for My Dream,Femi Kuti,Nominated
2014,The Living Room Sessions Part 2,Ravi Shankar,Nominated
2014,Ladysmith Black Mambazo,Live: Singing for Peace Around the World,Won
2015,Angelique Kidjo,Eve,Won
2015,Toumani Diabaté|Sidiki Diabaté,Toumani & Sidiki,Nominated
2015,Magic,Sérgio Mendes,Nominated
2015,Traces of You,Anoushka Shankar,Nominated
2015,Our World in Song,"Wu Man, Luis Conte & Daniel Ho",Nominated
2016,Angelique Kidjo,Sings,Won
2016,Gilbertos Samba Ao Vivo,Gilberto Gil,Nominated
2016,Music from Inala,Ladysmith Black Mambazo with Ella Spira and the Inala Ensemble,Nominated
2016,Home,Anoushka Shankar,Nominated
2016,I Have No Everything Here,Zomba Prison Project,Nominated
2017,Yo-Yo Ma|The Silk Road Ensemble,Sing Me Home,Won
2017,Celtic Woman,Destiny,Nominated
2017,Ladysmith Black Mambazo,Walking in the Footsteps of Our Fathers,Nominated
2017,Anoushka Shankar,Land of Gold,Nominated
2017,Caetano Veloso|Gilberto Gil,"Dois Amigos, Um Século de Música: Multishow Live",Nominated
2018,Ladysmith Black Mambazo,Shaka Zulu Revisited: 30th Anniversary Celebration,Won
2018,Vicente Amigo,Memoria de los Sentidos,Nominated
2018,Buika,Para Mi,Nominated
2018,Anat Cohen|Trio Brasileiro,Rosa Dos Ventos,Nominated
2018,Tinariwen,Elwan,Nominated
