Come Dance With Me!,Frank Sinatra,1959,https://www.discogs.com/master/144024,Jazz|Pop,Big Band|Swing
"The Music From ""Peter Gunn""",Henry Mancini,1959,https://www.discogs.com/master/87407,Jazz|Pop|Stage & Screen,Theme
The Button-Down Mind Of Bob Newhart,Bob Newhart,1960,https://www.discogs.com/master/109107,Non-Music,Comedy
Judy At Carnegie Hall - Judy In Person,Judy Garland,1961,https://www.discogs.com/master/282078,Jazz|Pop,Easy Listening|Vocal
The First Family,"Bob Booker, Earle Doud, Vaughn Meader, Earle Doud, Naomi Brossart, Bob Booker, Norma Macmillan",1962,https://www.discogs.com/master/168977,Non-Music,Comedy
The Barbra Streisand Album,Barbra Streisand,1963,https://www.discogs.com/master/291708,Pop,Vocal
Getz / Gilberto,"Stan Getz, João Gilberto, Antonio Carlos Jobim",1964,https://www.discogs.com/master/85178,Jazz,Bossa Nova|Latin Jazz
A Man And His Music,Frank Sinatra,1965,https://www.discogs.com/master/142347,Jazz|Pop,Swing|Vocal
September Of My Years,Frank Sinatra,1965,https://www.discogs.com/master/144085,Jazz,Easy Listening
By The Time I Get To Phoenix,Glen Campbell,1967,https://www.discogs.com/master/222751,"Folk, World, & Country",
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,https://www.discogs.com/master/23934,Rock,Psychedelic Rock|Rock & Roll
"Blood, Sweat And Tears","Blood, Sweat And Tears",1969,https://www.discogs.com/master/35401,Funk / Soul|Jazz|Rock,Blues Rock|Jazz-Funk|Jazz-Rock
Bridge Over Troubled Water,Simon & Garfunkel,1970,https://www.discogs.com/master/27765,Pop,Folk Rock|Pop Rock|Soft Rock
Tapestry,Carole King,1971,https://www.discogs.com/master/104166,Pop|Rock,Folk Rock|Soft Rock
The Concert For Bangla Desh,Various,1971,https://www.discogs.com/master/74943,"Folk, World, & Country|Rock",Folk Rock|Indian Classical|Pop Rock
Innervisions,Stevie Wonder,1973,https://www.discogs.com/master/86466,Funk / Soul,Soul
Fulfillingness' First Finale,Stevie Wonder,1974,https://www.discogs.com/master/87463,Funk / Soul,Soul
Still Crazy After All These Years,Paul Simon,1975,https://www.discogs.com/master/43964,Rock,Folk Rock|Pop Rock
Songs In The Key Of Life,Stevie Wonder,1976,https://www.discogs.com/master/87440,Funk / Soul|Jazz,Funk|Fusion|Jazz-Funk|Soul
Rumours,Fleetwood Mac,1977,https://www.discogs.com/master/38722,Rock,Pop Rock
Saturday Night Fever (The Original Movie Sound Track),Various,1977,https://www.discogs.com/master/23443,Electronic|Stage & Screen,Disco|Soundtrack
