Electric Dirt,Levon Helm,2009,https://www.discogs.com/master/380414,"Folk, World, & Country|Rock",
You Are Not Alone,Mavis Staples,2010,https://www.discogs.com/master/281795,"Folk, World, & Country|Funk / Soul",Gospel|Rhythm & Blues
Ramble At The Ryman,Levon Helm,2011,https://www.discogs.com/master/350887,"Folk, World, & Country|Rock",Blues Rock|Country Rock
Slipstream,Bonnie Raitt,2012,https://www.discogs.com/master/439236,Rock,Pop Rock
Old Yellow Moon,"Emmylou Harris, Rodney Crowell",2013,https://www.discogs.com/master/532223,"Folk, World, & Country|Rock",Country|Country Rock
The River & The Thread,Rosanne Cash,2014,https://www.discogs.com/master/643336,"Folk, World, & Country|Pop",
Something More Than Free,Jason Isbell,2015,https://www.discogs.com/master/861144,"Folk, World, & Country|Rock",
This Is Where I Live,William Bell,2016,https://www.discogs.com/master/1010462,Funk / Soul,Soul
The Nashville Sound,Jason Isbell And The 400 Unit,2017,https://www.discogs.com/master/1195163,"Folk, World, & Country",Country
"By The Way, I Forgive You",Brandi Carlile,2018,https://www.discogs.com/master/1316682,"Folk, World, & Country",Country|Folk
Oklahoma,Keb Mo,2019,https://www.discogs.com/master/1566290,Blues,
