Southern Flavor,Bill Monroe,1988,https://www.discogs.com/master/1142156,"Folk, World, & Country",Bluegrass
The Valley Road,Bruce Hornsby And The Range,1988,https://www.discogs.com/master/145357,Rock,Pop Rock
I've Got That Old Feeling,Alison Krauss,1990,https://www.discogs.com/master/377183,"Folk, World, & Country",Bluegrass
Spring Training,"Carl Jackson, John Starling, The Nash Ramblers",1991,https://www.discogs.com/master/1441066,"Folk, World, & Country",Bluegrass
Every Time You Say Goodbye,Alison Krauss & Union Station,1992,https://www.discogs.com/master/746441,"Folk, World, & Country",Bluegrass
Waitin' For the Hard Times to Go,The Nashville Bluegrass Band,1993,https://www.discogs.com/master/1374461,"Folk, World, & Country",Bluegrass
The Great Dobro Sessions,Various,1994,https://www.discogs.com/release/2467521,"Folk, World, & Country",Bluegrass|Country
Unleashed,The Nashville Bluegrass Band,1995,https://www.discogs.com/release/4722898,"Folk, World, & Country",Bluegrass
True Life Blues: The Songs of Bill Monroe,Bill Monroe & His Blue Grass Boys,1996,,"Folk, World, & Country",Bluegrass
Bluegrass Rules!,Ricky Skaggs & Kentucky Thunder,1997,https://www.discogs.com/master/1186327,"Folk, World, & Country",Bluegrass
So Long So Wrong,Alison Krauss & Union Station,1997,https://www.discogs.com/master/235527,"Folk, World, & Country",Bluegrass|Country
Ancient Tones,Ricky Skaggs & Kentucky Thunder,1999,https://www.discogs.com/master/1031109,"Folk, World, & Country",Bluegrass
The Grass Is Blue,Dolly Parton,1999,https://www.discogs.com/master/349021,"Folk, World, & Country",Bluegrass|Country
New Favorite,Alison Krauss & Union Station,2001,https://www.discogs.com/master/235528,"Folk, World, & Country|Rock",Bluegrass|Country
Live,Alison Krauss & Union Station,2002,https://www.discogs.com/master/267908,"Folk, World, & Country",Bluegrass|Country
Lost In The Lonesome Pines,"Jim Lauderdale, Ralph Stanley And The Clinch Mountain Boys",2002,https://www.discogs.com/master/1230077,"Folk, World, & Country",Bluegrass
Brand New Strings,Ricky Skaggs & Kentucky Thunder,2004,https://www.discogs.com/release/3562910,"Folk, World, & Country",Bluegrass
The Company We Keep,The Del McCoury Band,2005,https://www.discogs.com/release/7167143,"Folk, World, & Country",Bluegrass
Instrumentals,Ricky Skaggs & Kentucky Thunder,2006,https://www.discogs.com/release/7739582,"Folk, World, & Country",Bluegrass
The Bluegrass Diaries,Jim Lauderdale,2007,https://www.discogs.com/master/1187528,"Folk, World, & Country",Bluegrass
Honoring The Fathers Of Bluegrass,Ricky Skaggs & Kentucky Thunder,2008,https://www.discogs.com/release/3853317,"Folk, World, & Country",Bluegrass
Mountain Soul II,Patty Loveless,2009,https://www.discogs.com/release/5943516,"Folk, World, & Country",Bluegrass|Country
The Crow,Steve Martin,2009,https://www.discogs.com/master/371504,"Folk, World, & Country",Bluegrass
Paper Airplane,Alison Krauss & Union Station,2011,https://www.discogs.com/master/366570,"Folk, World, & Country",Bluegrass|Country
Nobody Knows You,Steep Canyon Rangers,2012,https://www.discogs.com/master/593155,"Folk, World, & Country",Bluegrass
The Streets Of Baltimore,The Del McCoury Band,2013,https://www.discogs.com/release/7676982,"Folk, World, & Country",Bluegrass
The Earls Of Leicester,The Earls Of Leicester,2014,https://www.discogs.com/master/768256,"Folk, World, & Country",Bluegrass
The Muscle Shoals Recordings,The SteelDrivers,2015,https://www.discogs.com/master/1035094,"Folk, World, & Country",Bluegrass
All The Rage - In Concert Volume One,Rhonda Vincent And The Rage,2016,https://www.discogs.com/release/9448970,"Folk, World, & Country",Bluegrass
Coming Home,"O'Connor Band, Mark O'Connor",2016,https://www.discogs.com/release/12096018,"Folk, World, & Country",Bluegrass|Country|Folk
The Travelin' McCourys,The Travelin' McCourys,2018,https://www.discogs.com/master/1475509,"Folk, World, & Country",Bluegrass
