Strong Persuader,Robert Cray,1986,https://www.discogs.com/master/131477,Blues|Rock,Blues Rock
Don't Be Afraid Of The Dark,The Robert Cray Band,1988,https://www.discogs.com/master/43617,Blues|Rock,Blues Rock|Soul
In Step,Stevie Ray Vaughan & Double Trouble,1989,https://www.discogs.com/master/49325,Blues|Rock,Blues Rock|Electric Blues
"Damn Right, I've Got The Blues",Buddy Guy,1991,https://www.discogs.com/master/519237,Blues,Modern Electric Blues
The Sky Is Crying,Stevie Ray Vaughan & Double Trouble,1991,https://www.discogs.com/master/49352,Blues|Rock,Blues Rock|Electric Blues
Feels Like Rain,Buddy Guy,1993,https://www.discogs.com/master/190231,Blues|Rock,Blues Rock|Chicago Blues
Father Father,Pops Staples,1994,https://www.discogs.com/master/450397,Funk / Soul,Gospel
Slippin' In,Buddy Guy,1994,https://www.discogs.com/master/190232,Blues,Chicago Blues
Just Like You,Keb Mo,1996,https://www.discogs.com/master/263333,Blues,Modern Electric Blues
Señor Blues,Taj Mahal,1997,https://www.discogs.com/master/305552,Blues|Rock,Blues Rock
Slow Down,Keb Mo,1998,https://www.discogs.com/master/263334,Blues,
Take Your Shoes Off,The Robert Cray Band,1999,https://www.discogs.com/master/1181373,Blues|Rock,Blues Rock|Electric Blues|Modern Electric Blues
Nothing Personal,Delbert McClinton,2001,https://www.discogs.com/master/643114,"Blues|Folk, World, & Country",Country Blues
Don't Give Up On Me,Solomon Burke,2002,https://www.discogs.com/master/179853,Blues|Funk / Soul,Soul
Let's Roll,Etta James,2003,https://www.discogs.com/master/838975,Blues|Funk / Soul|Jazz,Rhythm & Blues|Soul
Keep It Simple,Keb Mo,2004,https://www.discogs.com/master/543089,Blues,
Cost Of Living,Delbert McClinton,2005,https://www.discogs.com/master/1450183,"Folk, World, & Country|Funk / Soul|Rock",Blues Rock|Country|Rhythm & Blues
After The Rain,Irma Thomas,2006,https://www.discogs.com/master/1462430,Blues|Funk / Soul,
The Road To Escondido,"J.J. Cale, Eric Clapton",2006,https://www.discogs.com/master/248547,Blues|Rock,Blues Rock|Classic Rock
City That Care Forgot,"Dr. John, The Lower 911",2008,https://www.discogs.com/master/267249,Rock,Blues Rock
Already Free,The Derek Trucks Band,2009,https://www.discogs.com/master/241939,Blues|Rock,Blues Rock|Modern Electric Blues|Southern Rock
Living Proof,Buddy Guy,2010,https://www.discogs.com/master/334230,Blues,Chicago Blues
The Last Days Of Oakland,Fantastic Negrito,2016,https://www.discogs.com/master/1035675,Blues|Rock,
TajMo,"Taj Mahal, Keb Mo",2017,https://www.discogs.com/master/1176617,Blues,
Please Don't Be Dead,Fantastic Negrito,2018,https://www.discogs.com/master/1381756,Blues|Rock,
