Symphony No.1,Joe Jackson,1999,https://www.discogs.com/master/534966,Classical,Modern
"No Substitutions ""Live In Osaka""","Larry Carlton, Steve Lukather",2001,https://www.discogs.com/master/1066202,Jazz,Contemporary Jazz|Fusion
Just Chillin' ,Norman Brown,2002,https://www.discogs.com/master/565813,Funk / Soul|Jazz,Smooth Jazz
Mambo Sinuendo,"Ry Cooder, Manuel Galbán",2003,https://www.discogs.com/master/81132,Latin,Cubano
Henry Mancini: Pink Guitar,Various,2004,,Pop,Easy Listening
At This Time,Burt Bacharach,2005,https://www.discogs.com/master/86646,Jazz,Easy Listening
Fingerprints,Peter Frampton,2006,https://www.discogs.com/master/617628,Rock,Indie Rock|Rock & Roll
The Mix-Up,Beastie Boys,2007,https://www.discogs.com/master/20242,Funk / Soul|Rock,Lounge|Neo Soul
Jingle All The Way,Béla Fleck & The Flecktones,2008,https://www.discogs.com/master/445221,"Folk, World, & Country|Jazz",Folk|Free Jazz
Potato Hole,Booker T. Jones,2009,https://www.discogs.com/master/283673,Funk / Soul|Rock,Blues Rock|Funk|Southern Rock
Take Your Pick,"Larry Carlton, Tak Matsumoto",2010,https://www.discogs.com/master/1142307,Jazz|Pop|Rock,
The Road From Memphis,Booker T. Jones,2011,https://www.discogs.com/master/341342,Funk / Soul,Funk|Neo Soul|Soul
Impressions,Chris Botti,2012,https://www.discogs.com/master/567072,Jazz,Cool Jazz
Steppin' Out,"Herb Alpert, Lani Hall",2013,https://www.discogs.com/master/1118385,Funk / Soul|Jazz,Easy Listening|Rhythm & Blues|Smooth Jazz
Bass & Mandolin,"Chris Thile, Edgar Meyer",2014,https://www.discogs.com/master/826033,"Classical|Folk, World, & Country",
Sylva,"Snarky Puppy, Metropole Orchestra",2015,https://www.discogs.com/master/829721,Funk / Soul|Jazz,
Culcha Vulcha,Snarky Puppy,2016,https://www.discogs.com/master/1002833,Jazz|Rock,Fusion|Jazz-Rock|Prog Rock
Prototype,The Jeff Lorber Fusion,2017,https://www.discogs.com/master/1419287,Jazz,Fusion
Steve Gadd Band,Steve Gadd Band,2018,https://www.discogs.com/master/1355578,Jazz,
