Roger And Out,Roger Miller,1964,https://www.discogs.com/master/230032,"Folk, World, & Country",Country
The Return Of Roger Miller,Roger Miller,1965,https://www.discogs.com/master/336991,"Folk, World, & Country",Country
Stones In The Road,Mary Chapin Carpenter,1994,https://www.discogs.com/master/332048,"Folk, World, & Country|Pop|Rock",Country Rock|Folk Rock|Pop Rock|Soft Rock
The Woman In Me,Shania Twain,1995,https://www.discogs.com/master/132438,"Folk, World, & Country|Rock",Country Rock|Pop Rock
The Road To Ensenada,Lyle Lovett,1996,https://www.discogs.com/master/411646,"Folk, World, & Country|Rock",Country|Country Rock
Unchained,Johnny Cash,1996,https://www.discogs.com/master/27882,"Folk, World, & Country|Rock",Country Rock
Wide Open Spaces,Dixie Chicks,1998,https://www.discogs.com/master/121570,Rock,Country Rock
Breathe,Faith Hill,1999,https://www.discogs.com/master/132466,Pop,Europop|Pop Rock
Fly,Dixie Chicks,1999,https://www.discogs.com/master/121571,Rock,Country Rock|Pop Rock
Timeless,Various,2001,https://www.discogs.com/master/341343,"Folk, World, & Country|Blues|Rock",Acoustic|Blues Rock|Country|Rock & Roll
Home,Dixie Chicks,2002,https://www.discogs.com/master/121572,"Folk, World, & Country|Rock",Acoustic|Country Blues|Country Rock
"Livin', Lovin',  Losin' - Songs Of The Louvin Brothers",Various,2003,https://www.discogs.com/master/305304,"Folk, World, & Country",Bluegrass|Country
Lonely Runs Both Ways,Alison Krauss & Union Station,2004,https://www.discogs.com/master/267907,"Folk, World, & Country|Rock",Acoustic|Bluegrass|Country Rock
Van Lear Rose,Loretta Lynn,2004,https://www.discogs.com/master/156217,"Folk, World, & Country|Rock",Country|Country Rock
Taking The Long Way,Dixie Chicks,2006,https://www.discogs.com/master/121575,Rock,Acoustic|Country Rock
These Days,Vince Gill,2006,https://www.discogs.com/master/979006,"Folk, World, & Country|Jazz|Rock",Bluegrass|Country|Folk
Fearless,Taylor Swift,2008,https://www.discogs.com/master/222553,"Folk, World, & Country|Rock",Country|Country Rock
Troubadour,George Strait,2008,https://www.discogs.com/master/430128,"Folk, World, & Country",Country
Need You Now,Lady Antebellum,2010,https://www.discogs.com/master/260355,"Folk, World, & Country|Rock",Country|Country Rock
Own The Night,Lady Antebellum,2011,https://www.discogs.com/master/380949,"Folk, World, & Country|Pop|Rock",Country|Country Rock
Uncaged,Zac Brown Band,2012,https://www.discogs.com/master/521843,"Folk, World, & Country|Rock",
Same Trailer Different Park,Kacey Musgraves,2013,https://www.discogs.com/master/546085,"Folk, World, & Country|Pop",Country|Soft Rock
Platinum,Miranda Lambert,2014,https://www.discogs.com/master/745791,"Folk, World, & Country",Country
Traveller,Chris Stapleton,2015,https://www.discogs.com/master/845230,"Folk, World, & Country",Country
A Sailor's Guide To Earth,Sturgill Simpson,2016,https://www.discogs.com/master/986307,"Folk, World, & Country",Country
From A Room: Volume 1,Chris Stapleton,2017,https://www.discogs.com/master/1175078,"Folk, World, & Country",Country
Golden Hour,Kacey Musgraves,2018,https://www.discogs.com/master/1338231,"Folk, World, & Country|Pop",
While I'm Livin',Tanya Tucker,2019,https://www.discogs.com/master/1595708,"Folk, World, & Country",
